date,value,iso_code,name_short,source
2022-11-07,25.04,Africa (median),,WFP HungerMapLive
2022-11-08,25.07,Africa (median),,WFP HungerMapLive
2022-11-09,24.97,Africa (median),,WFP HungerMapLive
2022-11-10,24.97,Africa (median),,WFP HungerMapLive
2022-11-11,24.97,Africa (median),,WFP HungerMapLive
2022-11-12,25.04,Africa (median),,WFP HungerMapLive
2022-11-13,25.12,Africa (median),,WFP HungerMapLive
2022-11-14,25.1,Africa (median),,WFP HungerMapLive
2022-11-15,25.07,Africa (median),,WFP HungerMapLive
2022-11-16,25.04,Africa (median),,WFP HungerMapLive
2022-11-17,25.07,Africa (median),,WFP HungerMapLive
2022-11-18,25.09,Africa (median),,WFP HungerMapLive
2022-11-19,25.11,Africa (median),,WFP HungerMapLive
2022-11-20,25.06,Africa (median),,WFP HungerMapLive
2022-11-21,24.91,Africa (median),,WFP HungerMapLive
2022-11-22,24.57,Africa (median),,WFP HungerMapLive
2022-11-23,24.9,Africa (median),,WFP HungerMapLive
2022-11-24,24.93,Africa (median),,WFP HungerMapLive
2022-11-25,25.1,Africa (median),,WFP HungerMapLive
2022-11-26,24.34,Africa (median),,WFP HungerMapLive
2022-11-27,24.59,Africa (median),,WFP HungerMapLive
2022-11-28,23.73,Africa (median),,WFP HungerMapLive
2022-11-29,23.39,Africa (median),,WFP HungerMapLive
2022-11-30,23.29,Africa (median),,WFP HungerMapLive
2022-12-01,22.56,Africa (median),,WFP HungerMapLive
2022-12-02,23.11,Africa (median),,WFP HungerMapLive
2022-12-03,22.24,Africa (median),,WFP HungerMapLive
2022-12-04,22.7,Africa (median),,WFP HungerMapLive
2022-12-05,22.65,Africa (median),,WFP HungerMapLive
2022-12-06,22.89,Africa (median),,WFP HungerMapLive
2022-12-07,22.77,Africa (median),,WFP HungerMapLive
2022-12-08,23.4,Africa (median),,WFP HungerMapLive
2022-12-09,23.02,Africa (median),,WFP HungerMapLive
2022-12-10,22.2,Africa (median),,WFP HungerMapLive
2022-12-11,21.56,Africa (median),,WFP HungerMapLive
2022-12-12,21.33,Africa (median),,WFP HungerMapLive
2022-12-13,21.33,Africa (median),,WFP HungerMapLive
2022-12-14,21.33,Africa (median),,WFP HungerMapLive
2022-12-15,21.33,Africa (median),,WFP HungerMapLive
2022-12-16,21.33,Africa (median),,WFP HungerMapLive
2022-12-17,21.33,Africa (median),,WFP HungerMapLive
2022-12-18,21.33,Africa (median),,WFP HungerMapLive
2022-12-19,21.33,Africa (median),,WFP HungerMapLive
2022-12-20,21.32,Africa (median),,WFP HungerMapLive
