name_short,As of,indicator,value,note,source
Angola,2022,"Debt Service, Total (USD million)","7,860",6.3% of GDP,"World Bank International Debt Statistics database, 2022"
Burundi,2022,"Debt Service, Total (USD million)",85,2.47% of GDP,"World Bank International Debt Statistics database, 2022"
Benin,2022,"Debt Service, Total (USD million)",464,2.53% of GDP,"World Bank International Debt Statistics database, 2022"
Burkina Faso,2022,"Debt Service, Total (USD million)",286,1.46% of GDP,"World Bank International Debt Statistics database, 2022"
Botswana,2022,"Debt Service, Total (USD million)",160,0.87% of GDP,"World Bank International Debt Statistics database, 2022"
Central African Republic,2022,"Debt Service, Total (USD million)",21,0.78% of GDP,"World Bank International Debt Statistics database, 2022"
Cote d'Ivoire,2022,"Debt Service, Total (USD million)","1,993",2.73% of GDP,"World Bank International Debt Statistics database, 2022"
Cameroon,2022,"Debt Service, Total (USD million)","1,507",3.3% of GDP,"World Bank International Debt Statistics database, 2022"
DR Congo,2022,"Debt Service, Total (USD million)",514,0.79% of GDP,"World Bank International Debt Statistics database, 2022"
Congo Republic,2022,"Debt Service, Total (USD million)",574,3.6% of GDP,"World Bank International Debt Statistics database, 2022"
Comoros,2022,"Debt Service, Total (USD million)",21,1.57% of GDP,"World Bank International Debt Statistics database, 2022"
Cabo Verde,2022,"Debt Service, Total (USD million)",133,6.68% of GDP,"World Bank International Debt Statistics database, 2022"
Djibouti,2022,"Debt Service, Total (USD million)",206,5.37% of GDP,"World Bank International Debt Statistics database, 2022"
Algeria,2022,"Debt Service, Total (USD million)",123,0.06% of GDP,"World Bank International Debt Statistics database, 2022"
Egypt,2022,"Debt Service, Total (USD million)","12,433",2.85% of GDP,"World Bank International Debt Statistics database, 2022"
Eritrea,2022,"Debt Service, Total (USD million)",38,1.49% of GDP,"World Bank International Debt Statistics database, 2022"
Ethiopia,2022,"Debt Service, Total (USD million)","2,523",2.4% of GDP,"World Bank International Debt Statistics database, 2022"
Gabon,2022,"Debt Service, Total (USD million)",583,2.6% of GDP,"World Bank International Debt Statistics database, 2022"
Ghana,2022,"Debt Service, Total (USD million)","2,265",3.06% of GDP,"World Bank International Debt Statistics database, 2022"
Guinea,2022,"Debt Service, Total (USD million)",315,1.5% of GDP,"World Bank International Debt Statistics database, 2022"
Gambia,2022,"Debt Service, Total (USD million)",60,2.78% of GDP,"World Bank International Debt Statistics database, 2022"
Guinea-Bissau,2022,"Debt Service, Total (USD million)",40,2.44% of GDP,"World Bank International Debt Statistics database, 2022"
Kenya,2022,"Debt Service, Total (USD million)","3,412",2.98% of GDP,"World Bank International Debt Statistics database, 2022"
Liberia,2022,"Debt Service, Total (USD million)",40,1.04% of GDP,"World Bank International Debt Statistics database, 2022"
Lesotho,2022,"Debt Service, Total (USD million)",72,2.8% of GDP,"World Bank International Debt Statistics database, 2022"
Morocco,2022,"Debt Service, Total (USD million)","5,231",3.93% of GDP,"World Bank International Debt Statistics database, 2022"
Madagascar,2022,"Debt Service, Total (USD million)",170,1.16% of GDP,"World Bank International Debt Statistics database, 2022"
Mali,2022,"Debt Service, Total (USD million)",365,1.89% of GDP,"World Bank International Debt Statistics database, 2022"
Mozambique,2022,"Debt Service, Total (USD million)",836,4.62% of GDP,"World Bank International Debt Statistics database, 2022"
Mauritania,2022,"Debt Service, Total (USD million)",629,6.78% of GDP,"World Bank International Debt Statistics database, 2022"
Mauritius,2022,"Debt Service, Total (USD million)",208,1.84% of GDP,"World Bank International Debt Statistics database, 2022"
Malawi,2022,"Debt Service, Total (USD million)",108,0.9% of GDP,"World Bank International Debt Statistics database, 2022"
Niger,2022,"Debt Service, Total (USD million)",317,2.03% of GDP,"World Bank International Debt Statistics database, 2022"
Nigeria,2022,"Debt Service, Total (USD million)","2,296",0.45% of GDP,"World Bank International Debt Statistics database, 2022"
Rwanda,2022,"Debt Service, Total (USD million)",153,1.27% of GDP,"World Bank International Debt Statistics database, 2022"
Sudan,2022,"Debt Service, Total (USD million)",639,2.03% of GDP,"World Bank International Debt Statistics database, 2022"
Senegal,2022,"Debt Service, Total (USD million)","1,139",4.01% of GDP,"World Bank International Debt Statistics database, 2022"
Sierra Leone,2022,"Debt Service, Total (USD million)",61,1.44% of GDP,"World Bank International Debt Statistics database, 2022"
Somalia,2022,"Debt Service, Total (USD million)",55,0.65% of GDP,"World Bank International Debt Statistics database, 2022"
Sao Tome and Principe,2022,"Debt Service, Total (USD million)",8,1.6% of GDP,"World Bank International Debt Statistics database, 2022"
Eswatini,2022,"Debt Service, Total (USD million)",54,1.17% of GDP,"World Bank International Debt Statistics database, 2022"
Chad,2022,"Debt Service, Total (USD million)",417,3.22% of GDP,"World Bank International Debt Statistics database, 2022"
Togo,2022,"Debt Service, Total (USD million)",222,2.55% of GDP,"World Bank International Debt Statistics database, 2022"
Tunisia,2022,"Debt Service, Total (USD million)","3,400",7.45% of GDP,"World Bank International Debt Statistics database, 2022"
Tanzania,2022,"Debt Service, Total (USD million)","1,549",2.0% of GDP,"World Bank International Debt Statistics database, 2022"
Uganda,2022,"Debt Service, Total (USD million)",717,1.55% of GDP,"World Bank International Debt Statistics database, 2022"
South Africa,2022,"Debt Service, Total (USD million)","7,180",1.68% of GDP,"World Bank International Debt Statistics database, 2022"
Zambia,2022,"Debt Service, Total (USD million)","2,731",10.24% of GDP,"World Bank International Debt Statistics database, 2022"
Zimbabwe,2022,"Debt Service, Total (USD million)",174,0.48% of GDP,"World Bank International Debt Statistics database, 2022"
