Name,year,Bilateral (China),Bilateral (excl. China),Multilateral,Private (China),Private (excl. China),source
Africa,1990,1647.0,104967.9,50353.6,18.0,71149.2,International Debt Statistics (IDS) Database (December 2023)
Africa,1991,1667.7,109540.3,55191.5,32.1,65647.4,International Debt Statistics (IDS) Database (December 2023)
Africa,1992,1608.0,110901.2,57216.6,30.1,57954.7,International Debt Statistics (IDS) Database (December 2023)
Africa,1993,1753.1,110295.0,61211.5,14.7,56348.6,International Debt Statistics (IDS) Database (December 2023)
Africa,1994,1506.6,123502.2,68062.8,12.1,62237.1,International Debt Statistics (IDS) Database (December 2023)
Africa,1995,1564.4,132572.9,73008.4,10.5,62530.2,International Debt Statistics (IDS) Database (December 2023)
Africa,1996,1575.7,131422.2,73098.1,8.2,57164.6,International Debt Statistics (IDS) Database (December 2023)
Africa,1997,1621.0,124584.7,70881.7,5.7,58171.1,International Debt Statistics (IDS) Database (December 2023)
Africa,1998,1750.5,129695.4,75791.4,4.3,51905.8,International Debt Statistics (IDS) Database (December 2023)
Africa,1999,1704.8,116678.9,74549.9,0.9,45808.8,International Debt Statistics (IDS) Database (December 2023)
Africa,2000,2669.9,121059.4,72262.8,1.0,41482.2,International Debt Statistics (IDS) Database (December 2023)
Africa,2001,2640.9,112169.0,71645.4,7.2,39892.6,International Debt Statistics (IDS) Database (December 2023)
Africa,2002,2745.9,117622.7,79792.2,6.1,45594.2,International Debt Statistics (IDS) Database (December 2023)
Africa,2003,2869.0,126061.0,89238.8,5.6,48683.7,International Debt Statistics (IDS) Database (December 2023)
Africa,2004,3130.1,124107.3,96173.2,6.2,48959.5,International Debt Statistics (IDS) Database (December 2023)
Africa,2005,3308.2,97364.6,91984.8,175.3,49629.2,International Debt Statistics (IDS) Database (December 2023)
Africa,2006,4185.5,71060.1,62031.2,317.0,44263.7,International Debt Statistics (IDS) Database (December 2023)
Africa,2007,5122.3,74134.1,70985.1,352.9,46481.9,International Debt Statistics (IDS) Database (December 2023)
Africa,2008,7342.4,71765.0,73505.5,385.7,51328.6,International Debt Statistics (IDS) Database (December 2023)
Africa,2009,9274.4,75407.8,81174.1,1332.6,53317.6,International Debt Statistics (IDS) Database (December 2023)
Africa,2010,11823.9,64337.6,85809.3,5297.5,64436.6,International Debt Statistics (IDS) Database (December 2023)
Africa,2011,14299.2,64206.0,92500.0,7138.8,74605.0,International Debt Statistics (IDS) Database (December 2023)
Africa,2012,18202.4,61504.7,98786.7,7090.3,97537.6,International Debt Statistics (IDS) Database (December 2023)
Africa,2013,24112.6,69705.3,109632.7,9115.4,110908.3,International Debt Statistics (IDS) Database (December 2023)
Africa,2014,32189.4,66622.6,112792.9,11119.7,126756.5,International Debt Statistics (IDS) Database (December 2023)
Africa,2015,37769.2,71463.2,116874.9,10849.9,130794.5,International Debt Statistics (IDS) Database (December 2023)
Africa,2016,44844.7,75530.5,128429.6,19288.9,145747.2,International Debt Statistics (IDS) Database (December 2023)
Africa,2017,51968.6,81164.6,153090.3,20720.5,182691.3,International Debt Statistics (IDS) Database (December 2023)
Africa,2018,58588.2,81103.7,159843.6,21825.1,208907.0,International Debt Statistics (IDS) Database (December 2023)
Africa,2019,62280.1,82900.2,176142.9,24053.1,239445.2,International Debt Statistics (IDS) Database (December 2023)
Africa,2020,64292.7,89285.4,205230.6,24262.8,251767.7,International Debt Statistics (IDS) Database (December 2023)
Africa,2021,64864.5,87333.9,212073.5,24293.8,263633.9,International Debt Statistics (IDS) Database (December 2023)
Africa,2022,62894.9,86232.8,223744.0,24386.2,258344.0,International Debt Statistics (IDS) Database (December 2023)
