Country,Creditor,Creditor Type,US$,source
Algeria,African Dev. Bank         ,Multilateral,1094936736.2,International Debt Statistics (IDS) Database (December 2022)
Algeria,Belgium,Bilateral,27093140.9,International Debt Statistics (IDS) Database (December 2022)
Algeria,Belgium,Private,2945040.0,International Debt Statistics (IDS) Database (December 2022)
Algeria,Canada,Bilateral,3423304.2,International Debt Statistics (IDS) Database (December 2022)
Algeria,China,Bilateral,74185779.1,International Debt Statistics (IDS) Database (December 2022)
Algeria,France,Bilateral,136682987.7,International Debt Statistics (IDS) Database (December 2022)
Algeria,France,Private,132526.8,International Debt Statistics (IDS) Database (December 2022)
Algeria,"Germany, Fed.Rep. Of",Bilateral,2002627.2,International Debt Statistics (IDS) Database (December 2022)
Algeria,Italy,Bilateral,46930439.5,International Debt Statistics (IDS) Database (December 2022)
Algeria,Japan,Bilateral,7362732.8,International Debt Statistics (IDS) Database (December 2022)
Algeria,Saudi Arabia,Bilateral,14831466.8,International Debt Statistics (IDS) Database (December 2022)
Algeria,Spain,Bilateral,26220672.8,International Debt Statistics (IDS) Database (December 2022)
Angola,African Dev. Bank         ,Multilateral,1308534310.7,International Debt Statistics (IDS) Database (December 2022)
Angola,Austria,Private,191074216.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Belgium,Bilateral,72398.9,International Debt Statistics (IDS) Database (December 2022)
Angola,Belgium,Private,82561346.1,International Debt Statistics (IDS) Database (December 2022)
Angola,Bondholders,Private,8000000000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Canada,Bilateral,344203000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Canada,Private,90254000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,China,Bilateral,16933455000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,China,Private,5146879000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Egypt,Private,256062000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,France,Bilateral,13277222.0,International Debt Statistics (IDS) Database (December 2022)
Angola,France,Private,533063308.3,International Debt Statistics (IDS) Database (December 2022)
Angola,"Germany, Fed.Rep. Of",Private,101640222.3,International Debt Statistics (IDS) Database (December 2022)
Angola,India,Bilateral,29535000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,International Fund for Agricultural Dev.,Multilateral,11326271.1,International Debt Statistics (IDS) Database (December 2022)
Angola,Ireland,Private,1238291000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Israel,Private,1856166000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Italy,Bilateral,20603009.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Italy,Private,98906714.2,International Debt Statistics (IDS) Database (December 2022)
Angola,Japan,Bilateral,683476988.6,International Debt Statistics (IDS) Database (December 2022)
Angola,"Korea, Republic Of",Bilateral,246388000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Luxembourg,Private,36336885.2,International Debt Statistics (IDS) Database (December 2022)
Angola,Netherlands,Bilateral,3788057.7,International Debt Statistics (IDS) Database (December 2022)
Angola,Netherlands,Private,489920410.8,International Debt Statistics (IDS) Database (December 2022)
Angola,OPEC Fund for International Dev.,Multilateral,3250000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Poland,Bilateral,74259104.2,International Debt Statistics (IDS) Database (December 2022)
Angola,Portugal,Bilateral,363099000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Portugal,Private,585967395.1,International Debt Statistics (IDS) Database (December 2022)
Angola,Serbia,Bilateral,7546000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,South Africa,Bilateral,397339808.4,International Debt Statistics (IDS) Database (December 2022)
Angola,South Africa,Private,127566000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Spain,Bilateral,37150000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,Spain,Private,882470106.4,International Debt Statistics (IDS) Database (December 2022)
Angola,United Kingdom,Private,4736573610.8,International Debt Statistics (IDS) Database (December 2022)
Angola,United States,Bilateral,12831000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,United States,Private,453297000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,World Bank-IBRD                         ,Multilateral,1229007000.0,International Debt Statistics (IDS) Database (December 2022)
Angola,World Bank-IDA                         ,Multilateral,517396000.0,International Debt Statistics (IDS) Database (December 2022)
Benin,African Dev. Bank         ,Multilateral,492956367.2,International Debt Statistics (IDS) Database (December 2022)
Benin,Arab Bank for Economic Dev. in Africa (BADEA),Multilateral,52107000.0,International Debt Statistics (IDS) Database (December 2022)
Benin,Bondholders,Private,613550000.0,International Debt Statistics (IDS) Database (December 2022)
Benin,Brazil,Bilateral,4484000.0,International Debt Statistics (IDS) Database (December 2022)
Benin,China,Bilateral,319764648.2,International Debt Statistics (IDS) Database (December 2022)
