year,Bilateral (China),Bilateral (excl. China),Multilateral,Private (China),Private (excl. China),source
2009,679.81,4426.01,5167.13,42.56,8230.04,World Bank IDS
2010,619.46,4802.39,4507.43,172.7,7181.02,World Bank IDS
2011,794.48,4721.71,5074.18,641.91,8849.93,World Bank IDS
2012,938.34,5162.15,5032.38,1014.5,11190.95,World Bank IDS
2013,1375.25,5256.05,5679.31,1437.72,15531.11,World Bank IDS
2014,1728.5,5381.2,5905.06,1669.18,16226.76,World Bank IDS
2015,1774.5,5697.8,6069.69,1994.54,23456.42,World Bank IDS
2016,2326.99,8021.99,6528.53,3660.07,15892.07,World Bank IDS
2017,2726.15,7256.09,7285.85,3278.1,17905.31,World Bank IDS
2018,4015.98,6689.65,10189.25,3567.38,30123.22,World Bank IDS
2019,5467.07,7319.65,11205.28,3691.66,25607.09,World Bank IDS
2020,4894.38,7843.28,10820.52,2414.54,30801.5,World Bank IDS
2021,4880.91,10596.44,14839.79,1536.36,37037.15,World Bank IDS
2022,6411.32,6845.05,14356.18,3089.68,36778.28,World Bank IDS
2023,10791.86,7597.53,19248.16,5873.23,32778.97,World Bank IDS
2024,11231.46,9896.84,21256.83,6145.27,40855.82,World Bank IDS
2025,10295.89,8447.5,20135.4,5633.83,34979.71,World Bank IDS
2026,9149.75,10149.39,19122.85,5183.4,25820.51,World Bank IDS
2027,8926.33,6898.34,19164.99,4883.71,24254.28,World Bank IDS
2028,10199.54,6619.66,19108.9,3100.74,21735.56,World Bank IDS
