year,High-income,Low-income,Lower-middle-income,Upper-middle-income
2000,93.0,50.0,65.0,88.0
2001,95.0,51.0,66.0,88.0
2002,95.0,53.0,65.0,88.0
2003,96.0,57.0,68.0,88.0
2004,96.0,61.0,70.0,89.0
2005,96.0,65.0,71.0,90.0
2006,96.0,66.0,71.0,93.0
2007,96.0,69.0,71.0,93.0
2008,96.0,70.0,74.0,95.0
2009,95.0,72.0,77.0,96.0
2010,96.0,72.0,78.0,96.0
2011,96.0,73.0,80.0,96.0
2012,95.0,72.0,80.0,96.0
2013,95.0,71.0,80.0,95.0
2014,96.0,72.0,81.0,95.0
2015,95.0,73.0,81.0,95.0
2016,95.0,74.0,83.0,95.0
2017,95.0,75.0,84.0,95.0
2018,95.0,75.0,84.0,94.0
2019,95.0,76.0,85.0,92.0
2020,94.0,74.0,81.0,90.0
2021,94.0,71.0,79.0,89.0
