year,Africa,DRC,Global,Nigeria,Rest of the world
2000,804683.0,93208.0,860796.0,226214.0,56113.0
2001,815401.0,102551.0,869897.0,226394.0,54496.0
2002,786546.0,89442.0,837888.0,230268.0,51342.0
2003,758155.0,103447.0,809360.0,205773.0,51205.0
2004,751070.0,108750.0,804511.0,226329.0,53441.0
2005,711989.0,112534.0,766392.0,209804.0,54403.0
2006,723067.0,115742.0,772678.0,238098.0,49611.0
2007,704155.0,114113.0,750777.0,231657.0,46622.0
2008,666288.0,96965.0,712867.0,220910.0,46579.0
2009,673419.0,88664.0,722753.0,218497.0,49334.0
2010,649545.0,85123.0,699951.0,199233.0,50406.0
2011,618470.0,78483.0,661813.0,183768.0,43343.0
2012,577848.0,64511.0,616532.0,172012.0,38684.0
2013,555775.0,57471.0,588145.0,163867.0,32370.0
2014,550705.0,60156.0,585210.0,165886.0,34505.0
2015,550088.0,60443.0,578297.0,169052.0,28209.0
2016,546294.0,66971.0,576729.0,171827.0,30435.0
2017,547711.0,68597.0,574401.0,177176.0,26690.0
2018,551467.0,77570.0,574295.0,181095.0,22828.0
2019,544579.0,75254.0,566918.0,181560.0,22339.0
2020,597812.0,75025.0,621900.0,200257.0,24088.0
2021,577523.0,70300.0,601774.0,190761.0,24251.0
2022,573425.0,70024.0,599626.0,187692.0,26201.0
2023,568749.0,67464.0,596781.0,184689.0,28032.0
