iso_code,date,value,country
SYC,2022,7.2,Seychelles
MUS,2022,8.6,Mauritius
DZA,2022,8.6,Algeria
TUN,2022,8.6,Tunisia
CPV,2022,9.4,Cabo Verde
STP,2022,10.0,Sao Tome
SYC,2000,10.6,Seychelles
MUS,2000,12.6,Mauritius
TUN,2000,12.6,Tunisia
GHA,2022,12.7,Ghana
MAR,2022,12.8,Morocco
GAB,2022,13.4,Gabon
GMB,2022,13.6,Gambia
GNQ,2022,16.1,Equatorial Guinea
COG,2022,16.5,Congo Republic
NAM,2022,16.8,Namibia
SEN,2022,17.0,Senegal
CPV,2000,17.8,Cabo Verde
SOM,2022,18.0,Somalia
KEN,2022,18.4,Kenya
LBY,2000,18.4,Libya
DJI,2022,18.7,Djibouti
COM,2022,18.8,Comoros
CIV,2022,20.2,Côte d'Ivoire
EGY,2022,20.4,Egypt
SWZ,2022,21.2,Eswatini
BWA,2022,21.6,Botswana
ZWE,2022,21.6,Zimbabwe
BFA,2022,21.8,Burkina Faso
MRT,2022,22.1,Mauritania
DZA,2000,22.3,Algeria
TGO,2022,22.3,Togo
ZAF,2022,22.8,South Africa
UGA,2022,23.4,Uganda
MLI,2022,23.8,Mali
SEN,2000,24.7,Senegal
MAR,2000,25.2,Morocco
GAB,2000,25.5,Gabon
EGY,2000,25.9,Egypt
SLE,2022,26.0,Sierra Leone
LBR,2022,26.6,Liberia
ZAF,2000,26.6,South Africa
CMR,2022,26.9,Cameroon
GNB,2022,27.7,Guinea-Bissau
GMB,2000,27.8,Gambia
GIN,2022,27.9,Guinea
SSD,2022,27.9,South Sudan
NAM,2000,29.7,Namibia
RWA,2022,29.8,Rwanda
BWA,2000,30.3,Botswana
BEN,2022,30.4,Benin
TZA,2022,30.6,Tanzania
STP,2000,31.3,Sao Tome
ZMB,2022,31.4,Zambia
SSA,2022,31.5156047420072,Sub-Saharan Africa
LSO,2022,31.8,Lesotho
TGO,2000,32.1,Togo
TCD,2022,32.3,Chad
GHA,2000,32.6,Ghana
CIV,2000,32.6,Côte d'Ivoire
ZWE,2000,32.8,Zimbabwe
GIN,2000,33.0,Guinea
SOM,2000,33.0,Somalia
DJI,2000,33.7,Djibouti
COG,2000,33.7,Congo Republic
GNB,2000,33.8,Guinea-Bissau
MWI,2022,34.0,Malawi
NGA,2022,34.2,Nigeria
ETH,2022,34.4,Ethiopia
BEN,2000,34.9,Benin
SWZ,2000,35.8,Eswatini
SDN,2022,36.0,Sudan
MOZ,2022,36.4,Mozambique
CMR,2000,37.5,Cameroon
SLE,2000,38.1,Sierra Leone
KEN,2000,38.5,Kenya
MDG,2022,38.6,Madagascar
GNQ,2000,38.8,Equatorial Guinea
SSD,2000,39.0,South Sudan
SDN,2000,39.3,Sudan
MRT,2000,39.3,Mauritania
MLI,2000,39.5,Mali
CAF,2022,39.8,Central African Rep.
COD,2022,40.3,DR Congo
BFA,2000,40.5,Burkina Faso
LSO,2000,41.6,Lesotho
NGA,2000,41.7,Nigeria
TCD,2000,42.0,Chad
CAF,2000,43.1,Central African Rep.
SSA,2000,43.1791604378433,Sub-Saharan Africa
ERI,2000,43.5,Eritrea
AGO,2022,43.6,Angola
COM,2000,43.9,Comoros
UGA,2000,44.0,Uganda
LBR,2000,44.9,Liberia
COD,2000,46.0,DR Congo
AGO,2000,46.5,Angola
TZA,2000,47.4,Tanzania
NER,2022,47.4,Niger
RWA,2000,48.5,Rwanda
MOZ,2000,48.6,Mozambique
ERI,2022,50.2,Eritrea
ZMB,2000,51.8,Zambia
LBY,2022,52.2,Libya
NER,2000,53.2,Niger
MDG,2000,55.2,Madagascar
MWI,2000,56.0,Malawi
BDI,2022,56.5,Burundi
ETH,2000,57.0,Ethiopia
BDI,2000,63.1,Burundi
