name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value),source
"DAC Countries, Total",2009,0.45,26.51,39.46,35.300000000000004,17.82,0.45,26.51,39.46,35.3,17.82,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2010,0.58,30.07,43.73,38.300000000000004,14.7,0.58,30.07,43.73,38.3,14.7,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2011,0.29,31.8,43.43,39.46,19.04,0.29,31.8,43.43,39.46,19.04,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2012,0.24,28.0,42.42,38.05,15.65,0.24,28.0,42.42,38.05,15.65,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2013,0.23,29.38,47.07,39.699999999999996,15.79,0.23,29.38,47.07,39.7,15.79,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2014,0.38,29.42,43.93,44.75,17.69,0.38,29.42,43.93,44.75,17.69,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2015,0.12,27.35,38.44,46.739999999999995,16.2,0.12,27.35,38.44,46.74,16.2,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2016,0.24,29.43,40.05,52.53,20.43,0.24,29.43,40.05,52.53,20.43,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2017,0.31,31.08,42.7,52.809999999999995,18.26,0.31,31.08,42.7,52.81,18.26,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2018,0.14,32.64,44.28,53.61,17.81,0.14,32.64,44.28,53.61,17.81,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2019,0.07,31.75,41.62,52.330000000000005,17.2,0.07,31.75,41.62,52.33,17.2,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2020,0.15,34.07,47.01,55.7,21.28,0.15,34.07,47.01,55.7,21.28,OECD DAC Creditor Reporting System (CRS)
Australia,2009,0.02,0.22,1.62,0.67,0.19,0.02,0.22,1.62,0.67,0.19,OECD DAC Creditor Reporting System (CRS)
Australia,2010,0.03,0.33,2.27,1.0,0.22,0.03,0.33,2.27,1.0,0.22,OECD DAC Creditor Reporting System (CRS)
Australia,2011,0.04,0.49,2.6,1.46,0.28,0.04,0.49,2.6,1.46,0.28,OECD DAC Creditor Reporting System (CRS)
Australia,2012,0.03,0.63,3.04,1.33,0.3,0.03,0.63,3.04,1.33,0.3,OECD DAC Creditor Reporting System (CRS)
Australia,2013,0.03,0.46,2.72,1.3800000000000001,0.21,0.03,0.46,2.72,1.38,0.21,OECD DAC Creditor Reporting System (CRS)
Australia,2014,0.02,0.45,2.46,1.18,0.23,0.02,0.45,2.46,1.18,0.23,OECD DAC Creditor Reporting System (CRS)
Australia,2015,0.03,0.3,2.01,0.9400000000000001,0.18,0.03,0.3,2.01,0.94,0.18,OECD DAC Creditor Reporting System (CRS)
Australia,2016,0.02,0.29,1.63,0.89,0.18,0.02,0.29,1.63,0.89,0.18,OECD DAC Creditor Reporting System (CRS)
Australia,2017,0.03,0.27,1.61,0.8,0.18,0.03,0.27,1.61,0.8,0.18,OECD DAC Creditor Reporting System (CRS)
Australia,2018,0.02,0.24,1.72,0.94,0.18,0.02,0.24,1.72,0.94,0.18,OECD DAC Creditor Reporting System (CRS)
Australia,2019,0.02,0.19,1.57,0.72,0.28,0.02,0.19,1.57,0.72,0.28,OECD DAC Creditor Reporting System (CRS)
Australia,2020,0.02,0.18,1.4,0.94,0.18,0.02,0.18,1.4,0.94,0.18,OECD DAC Creditor Reporting System (CRS)
Austria,2009,0.01,0.25,0.35,0.29,0.24,0.01,0.25,0.35,0.29,0.24,OECD DAC Creditor Reporting System (CRS)
Austria,2010,0.01,0.37,0.32,0.28,0.23,0.01,0.37,0.32,0.28,0.23,OECD DAC Creditor Reporting System (CRS)
Austria,2011,0.0,0.23,0.32,0.27,0.29,0.0,0.23,0.32,0.27,0.29,OECD DAC Creditor Reporting System (CRS)
Austria,2012,0.0,0.18,0.41,0.23,0.27,0.0,0.18,0.41,0.23,0.27,OECD DAC Creditor Reporting System (CRS)
Austria,2013,0.0,0.21,0.37,0.3,0.28,0.0,0.21,0.37,0.3,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2014,0.0,0.19,0.44,0.33,0.27,0.0,0.19,0.44,0.33,0.27,OECD DAC Creditor Reporting System (CRS)
Austria,2015,0.0,0.16,0.29,0.62,0.24,0.0,0.16,0.29,0.62,0.24,OECD DAC Creditor Reporting System (CRS)
Austria,2016,0.0,0.19,0.32,0.81,0.28,0.0,0.19,0.32,0.81,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2017,0.0,0.22,0.34,0.37,0.3,0.0,0.22,0.34,0.37,0.3,OECD DAC Creditor Reporting System (CRS)
Austria,2018,0.0,0.23,0.36,0.28,0.28,0.0,0.23,0.36,0.28,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2019,0.0,0.24,0.38,0.29,0.28,0.0,0.24,0.38,0.29,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2020,0.0,0.25,0.36,0.38,0.3,0.0,0.25,0.36,0.38,0.3,OECD DAC Creditor Reporting System (CRS)
Belgium,2009,0.01,0.77,0.7,0.85,0.27,0.01,0.77,0.7,0.85,0.27,OECD DAC Creditor Reporting System (CRS)
Belgium,2010,0.01,1.24,0.66,0.83,0.21,0.01,1.24,0.66,0.83,0.21,OECD DAC Creditor Reporting System (CRS)
Belgium,2011,0.01,0.86,0.66,0.94,0.32,0.01,0.86,0.66,0.94,0.32,OECD DAC Creditor Reporting System (CRS)
Belgium,2012,0.0,0.54,0.82,0.65,0.28,0.0,0.54,0.82,0.65,0.28,OECD DAC Creditor Reporting System (CRS)
Belgium,2013,0.0,0.65,0.58,0.75,0.3,0.0,0.65,0.58,0.75,0.3,OECD DAC Creditor Reporting System (CRS)
Belgium,2014,0.0,0.66,0.61,0.85,0.31,0.0,0.66,0.61,0.85,0.31,OECD DAC Creditor Reporting System (CRS)
Belgium,2015,0.0,0.52,0.41,0.67,0.28,0.0,0.52,0.41,0.67,0.28,OECD DAC Creditor Reporting System (CRS)
Belgium,2016,0.0,0.52,0.48,0.88,0.4,0.0,0.52,0.48,0.88,0.4,OECD DAC Creditor Reporting System (CRS)
Belgium,2017,0.0,0.54,0.46,0.87,0.32,0.0,0.54,0.46,0.87,0.32,OECD DAC Creditor Reporting System (CRS)
Belgium,2018,0.0,0.61,0.53,0.88,0.3,0.0,0.61,0.53,0.88,0.3,OECD DAC Creditor Reporting System (CRS)
Belgium,2019,0.0,0.59,0.54,0.75,0.26,0.0,0.59,0.54,0.75,0.26,OECD DAC Creditor Reporting System (CRS)
Belgium,2020,0.0,0.63,0.59,0.76,0.3,0.0,0.63,0.59,0.76,0.3,OECD DAC Creditor Reporting System (CRS)
Canada,2009,0.01,0.98,1.24,1.4,0.27,0.01,0.98,1.24,1.4,0.27,OECD DAC Creditor Reporting System (CRS)
Canada,2010,0.01,1.37,1.8,1.66,0.24,0.01,1.37,1.8,1.66,0.24,OECD DAC Creditor Reporting System (CRS)
Canada,2011,0.0,1.23,1.72,2.18,0.24,0.0,1.23,1.72,2.18,0.24,OECD DAC Creditor Reporting System (CRS)
Canada,2012,0.01,1.32,1.89,2.02,0.27,0.01,1.32,1.89,2.02,0.27,OECD DAC Creditor Reporting System (CRS)
Canada,2013,0.01,1.18,1.69,1.63,0.33,0.01,1.18,1.69,1.63,0.33,OECD DAC Creditor Reporting System (CRS)
Canada,2014,0.0,0.99,1.5,1.39,0.29,0.0,0.99,1.5,1.39,0.29,OECD DAC Creditor Reporting System (CRS)
Canada,2015,0.0,1.12,1.52,1.12,0.44,0.0,1.12,1.52,1.12,0.44,OECD DAC Creditor Reporting System (CRS)
Canada,2016,0.0,0.96,1.26,1.29,0.35,0.0,0.96,1.26,1.29,0.35,OECD DAC Creditor Reporting System (CRS)
Canada,2017,0.0,1.09,1.21,1.54,0.41,0.0,1.09,1.21,1.54,0.41,OECD DAC Creditor Reporting System (CRS)
Canada,2018,0.0,1.17,1.28,1.71,0.39,0.0,1.17,1.28,1.71,0.39,OECD DAC Creditor Reporting System (CRS)
Canada,2019,0.0,1.07,1.13,1.62,0.49,0.0,1.07,1.13,1.62,0.49,OECD DAC Creditor Reporting System (CRS)
Canada,2020,0.0,1.05,0.99,2.26,0.4,0.0,1.05,0.99,2.26,0.4,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2009,0.0,0.06,0.06,0.04,0.06,0.0,0.06,0.06,0.04,0.06,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2010,0.0,0.05,0.07,0.04,0.05,0.0,0.05,0.07,0.04,0.05,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2011,0.0,0.05,0.07,0.05,0.08,0.0,0.05,0.07,0.05,0.08,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2012,0.0,0.05,0.07,0.03,0.07,0.0,0.05,0.07,0.03,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2013,0.0,0.04,0.06,0.04,0.07,0.0,0.04,0.06,0.04,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2014,0.0,0.04,0.05,0.05,0.07,0.0,0.04,0.05,0.05,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2015,0.0,0.03,0.05,0.05,0.07,0.0,0.03,0.05,0.05,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2016,0.0,0.04,0.06,0.07,0.08,0.0,0.04,0.06,0.07,0.08,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2017,0.0,0.05,0.07,0.09,0.09,0.0,0.05,0.07,0.09,0.09,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2018,0.0,0.05,0.06,0.1,0.09,0.0,0.05,0.06,0.1,0.09,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2019,0.0,0.05,0.07,0.07,0.1,0.0,0.05,0.07,0.07,0.1,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2020,0.0,0.05,0.08,0.07,0.09,0.0,0.05,0.08,0.07,0.09,OECD DAC Creditor Reporting System (CRS)
Denmark,2009,0.01,0.68,1.08,0.74,0.19,0.01,0.68,1.08,0.74,0.19,OECD DAC Creditor Reporting System (CRS)
Denmark,2010,0.01,0.65,1.14,0.89,0.21,0.01,0.65,1.14,0.89,0.21,OECD DAC Creditor Reporting System (CRS)
Denmark,2011,0.0,0.69,1.03,0.97,0.22,0.0,0.69,1.03,0.97,0.22,OECD DAC Creditor Reporting System (CRS)
Denmark,2012,0.0,0.62,0.95,0.96,0.14,0.0,0.62,0.95,0.96,0.14,OECD DAC Creditor Reporting System (CRS)
Denmark,2013,0.0,0.66,0.76,1.32,0.17,0.0,0.66,0.76,1.32,0.17,OECD DAC Creditor Reporting System (CRS)
Denmark,2014,0.0,0.68,0.76,1.38,0.19,0.0,0.68,0.76,1.38,0.19,OECD DAC Creditor Reporting System (CRS)
Denmark,2015,0.0,0.49,0.57,1.31,0.16,0.0,0.49,0.57,1.31,0.16,OECD DAC Creditor Reporting System (CRS)
Denmark,2016,0.0,0.53,0.52,1.12,0.19,0.0,0.53,0.52,1.12,0.19,OECD DAC Creditor Reporting System (CRS)
Denmark,2017,0.01,0.56,0.53,1.12,0.22,0.01,0.56,0.53,1.12,0.22,OECD DAC Creditor Reporting System (CRS)
Denmark,2018,0.0,0.58,0.54,1.23,0.21,0.0,0.58,0.54,1.23,0.21,OECD DAC Creditor Reporting System (CRS)
Denmark,2019,0.0,0.71,0.43,1.17,0.16,0.0,0.71,0.43,1.17,0.16,OECD DAC Creditor Reporting System (CRS)
Denmark,2020,0.0,0.65,0.55,1.14,0.2,0.0,0.65,0.55,1.14,0.2,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2009,0.18,2.93,4.15,3.0,3.3,0.18,2.93,4.15,3.0,3.3,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2010,0.17,3.22,3.97,2.63,2.7,0.17,3.22,3.97,2.63,2.7,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2011,0.13,2.95,4.5,2.96,6.81,0.13,2.95,4.5,2.96,6.81,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2012,0.04,2.84,5.22,2.75,6.58,0.04,2.84,5.22,2.75,6.58,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2013,0.04,3.07,4.43,2.73,5.59,0.04,3.07,4.43,2.73,5.59,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2014,0.06,3.66,4.61,2.8,5.31,0.06,3.66,4.61,2.8,5.31,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2015,0.01,2.81,3.99,2.21,4.65,0.01,2.81,3.99,2.21,4.65,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2016,0.01,3.5,5.02,3.0199999999999996,5.56,0.01,3.5,5.02,3.02,5.56,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2017,0.01,3.84,4.82,3.3099999999999996,4.43,0.01,3.84,4.82,3.31,4.43,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2018,0.0,4.07,4.75,4.47,3.82,0.0,4.07,4.75,4.47,3.82,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2019,0.01,3.5,4.48,4.75,2.52,0.01,3.5,4.48,4.75,2.52,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2020,0.0,3.68,7.44,5.7,4.22,0.0,3.68,7.44,5.7,4.22,OECD DAC Creditor Reporting System (CRS)
Finland,2009,0.0,0.28,0.41,0.45,0.14,0.0,0.28,0.41,0.45,0.14,OECD DAC Creditor Reporting System (CRS)
Finland,2010,0.01,0.3,0.43,0.46,0.12,0.01,0.3,0.43,0.46,0.12,OECD DAC Creditor Reporting System (CRS)
Finland,2011,0.0,0.28,0.46,0.48,0.17,0.0,0.28,0.46,0.48,0.17,OECD DAC Creditor Reporting System (CRS)
Finland,2012,0.0,0.3,0.39,0.47,0.15,0.0,0.3,0.39,0.47,0.15,OECD DAC Creditor Reporting System (CRS)
Finland,2013,0.0,0.32,0.46,0.49,0.16,0.0,0.32,0.46,0.49,0.16,OECD DAC Creditor Reporting System (CRS)
Finland,2014,0.0,0.36,0.54,0.53,0.2,0.0,0.36,0.54,0.53,0.2,OECD DAC Creditor Reporting System (CRS)
Finland,2015,0.0,0.29,0.38,0.43,0.14,0.0,0.29,0.38,0.43,0.14,OECD DAC Creditor Reporting System (CRS)
Finland,2016,0.0,0.22,0.29,0.42,0.13,0.0,0.22,0.29,0.42,0.13,OECD DAC Creditor Reporting System (CRS)
Finland,2017,0.0,0.23,0.28,0.41,0.15,0.0,0.23,0.28,0.41,0.15,OECD DAC Creditor Reporting System (CRS)
Finland,2018,0.0,0.21,0.3,0.34,0.12,0.0,0.21,0.3,0.34,0.12,OECD DAC Creditor Reporting System (CRS)
Finland,2019,0.0,0.28,0.29,0.43,0.12,0.0,0.28,0.29,0.43,0.12,OECD DAC Creditor Reporting System (CRS)
Finland,2020,0.0,0.28,0.32,0.47,0.14,0.0,0.28,0.32,0.47,0.14,OECD DAC Creditor Reporting System (CRS)
France,2009,0.06,2.16,5.2,3.3,1.91,0.06,2.16,5.2,3.3,1.91,OECD DAC Creditor Reporting System (CRS)
France,2010,0.07,2.56,5.11,3.37,1.88,0.07,2.56,5.11,3.37,1.88,OECD DAC Creditor Reporting System (CRS)
France,2011,0.03,2.74,4.51,2.79,2.93,0.03,2.74,4.51,2.79,2.93,OECD DAC Creditor Reporting System (CRS)
France,2012,0.02,1.53,4.88,2.43,2.95,0.02,1.53,4.88,2.43,2.95,OECD DAC Creditor Reporting System (CRS)
France,2013,0.02,1.66,4.62,2.33,2.44,0.02,1.66,4.62,2.33,2.44,OECD DAC Creditor Reporting System (CRS)
France,2014,0.02,1.66,3.92,2.23,2.66,0.02,1.66,3.92,2.23,2.66,OECD DAC Creditor Reporting System (CRS)
France,2015,0.01,1.63,2.98,2.06,2.28,0.01,1.63,2.98,2.06,2.28,OECD DAC Creditor Reporting System (CRS)
