date,North Africa (WB),Sub-Saharan Africa (WB),Africa,Sub-Saharan Africa (UN),Eastern and Southern Africa,Western and Central Africa,Northern Africa,Middle Africa,Western Africa,Southern Africa,Eastern Africa
2018-01-31,7.9,4.65,4.71,4.65,5.42,3.1,7.9,10.65,5.2,2.5,5.42
2018-02-28,7.7,4.05,4.1,4.05,4.51,4.0,7.7,8.97,4.1,2.0,4.51
2018-03-31,8.7,4.2,4.4,4.2,4.66,3.8,8.7,15.65,4.2,2.7,4.66
2018-04-30,8.9,4.7,4.9,4.7,4.4,5.1,8.9,8.24,5.3,2.9,4.3
2018-05-31,8.56,3.5,3.95,3.5,3.0,4.2,8.56,14.1,4.4,2.6,2.4
2018-06-30,8.6,3.4,3.6,3.4,3.4,4.1,8.6,14.1,4.9,2.8,2.15
2018-07-31,8.3,2.85,3.4,2.85,2.85,3.7,8.3,7.0,4.7,2.5,1.95
2018-08-31,7.0,2.3,2.74,2.3,2.5,2.75,7.0,10.5,3.5,2.3,1.9
2018-09-30,5.8,2.55,2.6,2.55,3.35,2.1,5.8,5.25,2.6,2.5,2.95
2018-10-31,6.3,3.0,3.0,3.0,3.2,2.7,6.3,6.0,3.8,3.0,3.82
2018-11-30,2.61,3.3,2.96,3.3,4.1,1.7,2.61,5.3,2.0,3.4,4.25
2018-12-31,-0.69,2.9,2.9,2.9,3.0,2.05,-0.69,4.8,2.95,3.0,2.72
2019-01-31,2.06,3.3,3.2,3.3,2.9,4.0,2.06,1.9,6.0,2.9,2.46
2019-02-28,2.04,2.8,2.42,2.8,1.66,2.8,2.04,2.9,2.8,2.9,1.38
2019-03-31,2.83,2.97,2.84,2.97,2.97,2.6,2.83,3.1,2.6,3.1,2.84
2019-04-30,3.44,2.9,2.95,2.9,5.2,1.0,3.44,2.7,1.0,2.9,5.25
2019-05-31,1.68,2.5,2.4,2.5,4.4,2.2,1.68,2.3,2.2,3.2,5.35
2019-06-30,-1.4,3.4,3.35,3.4,3.9,3.1,-1.4,3.1,3.3,3.6,5.94
2019-07-31,-1.2,3.25,3.2,3.25,3.35,2.5,-1.2,3.8,2.5,3.3,4.8
2019-08-31,-0.2,4.0,3.9,4.0,4.7,2.75,-0.2,3.8,2.75,3.9,5.5
2019-09-30,0.3,4.2,4.0,4.2,4.5,1.5,0.3,3.2,1.5,4.0,6.5
2019-10-31,-0.3,4.5,3.9,4.5,6.2,1.9,-0.3,2.5,1.9,3.6,6.9
2019-11-30,-0.8,3.8,3.55,3.8,6.4,2.4,-0.8,2.5,2.4,2.9,6.8
2019-12-31,1.6,4.3,3.85,4.3,7.4,2.7,1.6,2.7,3.5,3.0,8.4
2020-01-31,1.4,5.6,4.05,5.6,6.9,3.8,1.4,4.1,3.5,3.6,8.15
2020-02-28,-0.5,5.6,3.7,5.6,6.4,3.4,-0.5,8.0,3.2,3.5,7.15
2020-03-31,0.8,5.8,5.2,5.8,7.9,3.85,0.8,10.6,3.55,4.2,11.32
2020-04-30,1.4,6.9,5.45,6.9,8.7,4.6,1.4,12.3,4.6,4.2,11.89
2020-05-31,-0.3,5.85,4.7,5.85,8.7,4.5,-0.3,8.8,4.5,4.4,10.55
2020-06-30,1.44,4.6,4.3,4.6,4.7,4.3,1.44,4.5,4.3,4.6,6.45
2020-07-31,0.6,5.2,4.25,5.2,6.1,4.4,0.6,7.5,4.4,4.4,7.01
2020-08-31,0.76,6.6,5.76,6.6,6.8,6.6,0.76,17.2,6.6,4.2,6.46
2020-09-30,0.57,7.2,5.9,7.2,6.6,8.1,0.57,11.4,8.1,4.2,6.65
2020-10-31,1.3,7.1,6.75,7.1,7.1,7.3,1.3,12.0,7.3,5.4,7.6
2020-11-30,1.48,6.3,5.94,6.3,7.0,6.3,1.48,9.5,6.3,5.8,6.8
2020-12-31,2.8,5.9,5.3,5.9,7.6,5.4,2.8,5.1,5.7,5.9,7.61
2021-01-31,3.27,5.7,5.25,5.7,7.36,4.9,3.27,2.6,5.8,5.3,8.25
2021-02-28,3.29,5.5,5.1,5.5,6.0,5.0,3.29,2.8,5.6,5.2,6.46
2021-03-31,1.84,5.7,5.55,5.7,6.65,5.01,1.84,3.0,5.2,5.7,8.73
2021-04-30,0.1,6.36,6.0,6.36,7.1,5.35,0.1,4.1,5.7,6.3,9.16
2021-05-31,2.19,6.7,6.6,6.7,7.02,5.4,2.19,18.7,6.2,6.6,7.31
2021-06-30,3.3,7.65,7.2,7.65,9.2,5.95,3.3,4.5,6.65,6.8,10.6
2021-07-31,6.45,8.45,8.2,8.45,8.84,6.95,6.45,4.5,8.35,6.5,9.85
2021-08-31,7.0,7.75,7.55,7.75,8.4,6.7,7.0,4.2,8.05,6.4,10.18
2021-09-30,7.2,7.8,7.6,7.8,7.6,8.75,7.2,4.5,9.8,6.4,9.32
2021-10-31,7.0,7.85,7.8,7.85,7.9,8.05,7.0,20.45,8.3,6.1,10.84
2021-11-30,6.9,8.0,7.71,8.0,8.0,8.7,6.9,4.7,9.1,5.5,8.4
2021-12-31,7.6,9.09,8.65,9.09,7.8,10.6,7.6,7.6,11.3,5.5,8.46
2022-01-31,7.6,10.0,9.93,10.0,7.4,11.1,7.6,9.0,11.9,5.7,9.54
2022-02-28,8.9,9.7,9.65,9.7,7.5,10.42,8.9,9.7,10.6,6.4,8.14
2022-03-31,9.4,9.92,9.86,9.92,7.4,11.4,9.4,9.8,11.6,6.2,8.71
2022-04-30,9.05,11.92,11.8,11.92,9.45,12.5,9.05,11.8,13.4,6.0,12.04
2022-05-31,8.6,12.3,12.25,12.3,11.8,13.7,8.6,12.2,14.16,7.4,12.35
2022-06-30,11.0,13.0,12.95,13.0,12.0,13.72,11.0,12.9,14.1,8.4,14.7
2022-07-31,13.45,13.2,13.2,13.2,13.2,13.9,13.45,13.0,16.7,9.7,15.1
2022-08-31,14.55,14.72,14.55,14.72,15.3,14.72,14.55,14.5,16.02,10.8,15.65
2022-09-30,13.0,15.5,15.3,15.5,15.5,15.59,13.0,15.5,15.94,11.9,16.3
2022-10-31,12.9,15.8,15.04,15.8,14.88,16.8,12.9,15.6,17.1,11.0,15.8
2022-11-30,15.0,15.2,15.06,15.2,15.01,16.57,15.0,12.9,16.57,12.5,15.4
