date,Africa (median),Algeria,Angola,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Côte d'Ivoire,DR Congo,Djibouti,Egypt,Eswatini,Ethiopia,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2022-11-07,24.09,10.98,8.83,9.7,48.9,30.09,15.42,29.71,33.19,27.07,18.79,33.22,15.14,46.14,14.48,9.82,26.76,17.53,13.06,19.51,56.37,28.62,20.37,41.23,30.0,15.7,30.57,14.53,54.89,35.4,12.78,25.76,10.81,63.89,24.09,21.1,15.18,13.22,48.63,76.67,55.4,19.09,9.97,26.87,10.89,30.14,10.7,33.06
2022-11-08,24.11,10.98,9.05,9.7,48.41,30.09,15.42,30.17,33.02,27.11,18.79,33.57,15.37,46.14,14.48,9.8,26.72,17.81,13.06,19.51,57.18,28.62,19.94,41.17,30.0,15.67,30.69,14.66,55.03,34.91,12.78,25.84,10.84,64.39,24.11,21.08,15.18,13.22,48.08,76.65,55.4,19.09,10.06,26.87,10.89,30.24,10.26,34.04
2022-11-09,24.01,10.98,8.79,9.7,47.63,30.09,15.42,30.23,33.09,27.25,18.79,33.53,15.31,46.28,14.48,9.73,26.72,17.51,13.06,19.5,57.12,28.62,19.72,41.18,29.96,15.67,30.62,13.7,55.21,34.88,12.78,26.58,10.59,64.82,24.01,21.08,15.18,13.24,48.15,76.69,55.4,19.09,10.1,26.87,10.89,30.26,10.58,33.24
2022-11-10,24.01,10.98,8.7,9.7,47.6,30.09,15.42,30.34,33.42,27.26,18.79,33.5,15.48,46.39,14.48,9.73,26.66,17.33,13.06,19.5,57.11,28.62,18.94,41.18,29.95,15.67,30.79,13.76,55.22,34.53,12.76,25.93,10.6,65.39,24.01,21.08,15.18,13.24,48.14,76.82,55.4,19.09,10.09,26.87,10.89,30.26,10.67,32.89
2022-11-11,24.02,10.98,8.6,9.64,47.8,30.49,15.41,30.31,33.25,27.33,18.84,33.38,15.48,46.89,14.44,9.72,26.75,17.62,13.06,19.5,56.96,28.68,19.24,40.77,29.03,15.62,30.53,13.58,54.82,33.64,12.83,26.27,10.43,65.57,24.02,21.04,14.99,13.22,48.55,76.86,55.48,19.28,10.23,26.8,10.89,30.13,10.32,33.25
2022-11-12,24.08,10.98,8.37,9.64,47.91,30.49,15.41,30.34,32.82,27.43,18.84,33.33,15.46,46.44,14.44,9.71,26.78,17.62,13.06,19.5,56.76,28.68,19.21,40.77,29.03,15.62,30.46,13.86,54.79,33.58,12.83,27.0,10.46,65.71,24.08,21.04,14.99,13.22,48.21,76.77,55.48,19.28,10.26,26.8,10.89,30.5,10.18,33.72
2022-11-13,24.16,10.98,8.46,9.64,47.99,30.49,15.41,30.47,32.52,27.43,18.84,33.63,15.44,46.28,14.44,9.64,26.75,17.64,13.06,19.5,56.57,28.68,19.65,40.77,29.06,15.62,30.39,13.63,54.92,33.74,12.83,26.72,10.3,65.87,24.16,21.04,14.99,13.23,48.35,76.83,55.48,19.15,10.21,26.8,10.89,30.5,10.09,33.72
2022-11-14,24.14,10.98,8.21,9.64,47.93,30.49,15.4,30.23,32.93,27.64,18.84,33.39,15.33,46.4,14.44,9.66,26.75,17.65,13.06,19.5,56.64,28.68,19.72,40.77,29.09,15.62,30.33,13.5,54.68,33.84,12.83,27.04,10.25,66.31,24.14,21.04,14.98,13.22,48.88,77.45,55.35,19.15,10.27,26.8,10.89,30.64,10.81,33.49
2022-11-15,24.12,10.98,8.16,9.64,47.82,30.49,15.4,30.72,33.12,27.62,18.84,33.15,15.27,46.14,14.44,9.61,26.75,18.4,13.06,19.5,56.77,28.68,19.92,40.77,29.12,15.62,30.42,13.67,54.8,34.74,12.83,26.67,10.15,65.95,24.12,21.04,14.98,13.22,49.18,77.57,55.35,19.17,10.19,26.8,10.89,30.7,11.23,33.28
2022-11-16,24.09,10.98,8.2,9.63,47.46,30.5,15.41,29.86,33.43,27.74,18.79,32.76,15.02,46.07,14.46,9.61,28.19,17.51,13.1,19.54,56.34,28.71,19.98,41.16,29.12,15.58,30.42,13.63,54.57,34.35,12.81,26.17,10.2,66.33,24.09,21.04,14.98,13.22,49.49,77.67,55.36,19.15,10.18,26.64,10.89,30.67,11.43,33.31
