name_short,indicator_name,value,lower,value_previous,center
Angola,2024 estimate,2.558,in 2023,0.47,0.45370698829372114
Burundi,2024 estimate,4.282,in 2023,2.659,1.0
Benin,2024 estimate,6.039,in 2023,5.756,0.8440251572327043
Burkina Faso,2024 estimate,5.464,in 2023,3.561,0.7875468434707409
Botswana,2024 estimate,3.574,in 2023,3.245,0.30117131541248837
Central African Republic,2024 estimate,1.269,in 2023,0.727,0.2671578947368421
Cote d'Ivoire,2024 estimate,6.5,in 2023,6.2,0.7350446680990614
Cameroon,2024 estimate,4.253,in 2023,3.969,0.7359404741304725
DR Congo,2024 estimate,4.699,in 2023,6.14,0.535559607932528
Congo Republic,2024 estimate,4.432,in 2023,4.033,0.65981837129671
Comoros,2024 estimate,3.491,in 2023,2.996,0.914832285115304
Cabo Verde,2024 estimate,4.742,in 2023,4.792,0.22792597933189138
Djibouti,2024 estimate,6.513,in 2023,6.989,0.8910931728006567
Algeria,2024 estimate,3.848,in 2023,4.184,0.7669922264301374
Egypt,2024 estimate,2.966,in 2023,3.76,0.4458139185329927
Ethiopia,2024 estimate,6.234,in 2023,7.176,0.599423076923077
Gabon,2024 estimate,2.902,in 2023,2.266,0.6543404735062007
Ghana,2024 estimate,2.779,in 2023,2.259,0.3418624677082052
Guinea,2024 estimate,4.074,in 2023,5.7,0.37649015802606045
Gambia,2024 estimate,6.223,in 2023,5.555,0.8601243953006219
Guinea-Bissau,2024 estimate,5.0,in 2023,4.2,0.78125
Equatorial Guinea,2024 estimate,0.467,in 2023,5.947,0.05126234906695939
Kenya,2024 estimate,4.974,in 2023,5.507,0.6553359683794466
Liberia,2024 estimate,5.277,in 2023,4.583,1.0
Libya,2024 estimate,7.832,in 2023,10.156,0.24104394927982273
Lesotho,2024 estimate,2.378,in 2023,1.877,0.44842541957382615
Morocco,2024 estimate,3.145,in 2023,3.017,0.3920957486597681
Madagascar,2024 estimate,4.5,in 2023,3.8,0.630428691510227
Mali,2024 estimate,4.0,in 2023,4.5,0.5645730416372619
Mozambique,2024 estimate,4.974,in 2023,6.013,0.6457224458003376
Mauritania,2024 estimate,5.052,in 2023,4.811,0.7938403519798868
Mauritius,2024 estimate,4.861,in 2023,6.87,0.3341582456863958
Malawi,2024 estimate,3.3,in 2023,1.6,0.5789473684210525
Namibia,2024 estimate,2.65,in 2023,3.154,0.32712010862856433
Niger,2024 estimate,10.424,in 2023,1.409,0.8756720430107526
Nigeria,2024 estimate,3.338,in 2023,2.86,0.529001584786054
Rwanda,2024 estimate,6.931,in 2023,6.949,0.6370404411764705
Sudan,2024 estimate,4.201,in 2023,18.3,0.22956284153005463
Senegal,2024 estimate,8.252,in 2023,4.102,1.0
Sierra Leone,2024 estimate,4.005,in 2023,3.392,0.19543258673693456
Somalia,2024 estimate,3.7,in 2023,2.8,0.38947368421052636
South Sudan,2024 estimate,5.603,in 2023,0.07,0.42130987292277616
Sao Tome and Principe,2024 estimate,2.9,in 2023,0.3,0.5601699826154144
Eswatini,2024 estimate,3.699,in 2023,5.133,0.34625105307497894
Seychelles,2024 estimate,3.229,in 2023,3.679,0.21558285485378556
Chad,2024 estimate,2.912,in 2023,4.369,0.4423515114689351
Togo,2024 estimate,5.3,in 2023,5.4,0.8846603238190619
Tunisia,2024 estimate,1.878,in 2023,0.425,0.21857541899441338
Tanzania,2024 estimate,5.503,in 2023,5.023,0.783010813887308
Uganda,2024 estimate,5.631,in 2023,4.766,0.7034353529044347
South Africa,2024 estimate,0.879,in 2023,0.602,0.1474090223042093
Zambia,2024 estimate,4.715,in 2023,4.33,0.7562149157979149
Zimbabwe,2024 estimate,3.196,in 2023,5.313,0.3793471810089021
