name_short,As of,value,lower,note,center
Afghanistan,2024 estimate,126.7,of government spending,4.3,
Albania,2024 estimate,591.9,of government spending,7.4,
Algeria,2024 estimate,96.3,of government spending,0.1,
Angola,2024 estimate,11556.2,of government spending,62.0,
Argentina,2024 estimate,6698.1,of government spending,3.5,
Armenia,2024 estimate,564.2,of government spending,7.5,
Azerbaijan,2024 estimate,3324.1,of government spending,13.4,
Bangladesh,2024 estimate,5971.8,of government spending,9.8,
Belarus,2024 estimate,3738.8,of government spending,12.5,
Belize,2024 estimate,150.9,of government spending,18.9,
Benin,2024 estimate,814.0,of government spending,20.1,
Bhutan,2024 estimate,287.3,of government spending,31.6,
Bolivia,2024 estimate,1317.7,of government spending,7.3,
Bosnia and Herzegovina,2024 estimate,570.4,of government spending,4.6,
Botswana,2024 estimate,226.1,of government spending,3.3,
Brazil,2024 estimate,24764.4,of government spending,2.4,
Bulgaria,2024 estimate,2247.3,of government spending,5.3,
Burkina Faso,2024 estimate,364.2,of government spending,6.1,
Burundi,2024 estimate,61.4,of government spending,4.7,
Cabo Verde,2024 estimate,152.9,of government spending,18.6,
Cambodia,2024 estimate,733.7,of government spending,9.0,
Cameroon,2024 estimate,1669.8,of government spending,19.0,
Central African Republic,2024 estimate,23.2,of government spending,4.6,
Chad,2024 estimate,407.6,of government spending,12.6,
China,2024 estimate,65612.9,of government spending,1.1,
Colombia,2024 estimate,9300.3,of government spending,6.7,
Comoros,2024 estimate,32.4,of government spending,10.9,
DR Congo,2024 estimate,626.7,of government spending,5.0,
Congo Republic,2024 estimate,834.7,of government spending,24.8,
Costa Rica,2024 estimate,1386.1,of government spending,7.8,
Cote d'Ivoire,2024 estimate,3190.5,of government spending,17.6,
Djibouti,2024 estimate,303.9,of government spending,32.1,
Dominica,2024 estimate,46.9,of government spending,10.6,
Dominican Republic,2024 estimate,2845.6,of government spending,11.6,
Ecuador,2024 estimate,3853.1,of government spending,7.8,
Egypt,2024 estimate,18906.3,of government spending,18.6,
El Salvador,2024 estimate,1308.0,of government spending,11.8,
Eritrea,2024 estimate,36.5,of government spending,5.9,
Eswatini,2024 estimate,89.3,of government spending,5.6,
Ethiopia,2024 estimate,3890.4,of government spending,28.5,
Fiji,2024 estimate,145.2,of government spending,7.9,
Gabon,2024 estimate,795.0,of government spending,16.3,
Gambia,2024 estimate,111.5,of government spending,18.2,
Georgia,2024 estimate,673.2,of government spending,6.6,
Ghana,2024 estimate,2792.8,of government spending,17.1,
Grenada,2024 estimate,54.7,of government spending,9.9,
Guatemala,2024 estimate,1004.0,of government spending,6.6,
Guinea,2024 estimate,728.6,of government spending,17.1,
Guinea-Bissau,2024 estimate,68.8,of government spending,16.1,
Guyana,2024 estimate,125.2,of government spending,2.3,
Haiti,2024 estimate,157.8,of government spending,13.0,
Honduras,2024 estimate,1093.0,of government spending,11.0,
India,2024 estimate,32850.3,of government spending,2.9,
Indonesia,2024 estimate,38908.9,of government spending,16.4,
Iran,2024 estimate,47.0,of government spending,0.1,
Iraq,2024 estimate,3330.7,of government spending,2.6,
Jamaica,2024 estimate,1061.0,of government spending,16.7,
Jordan,2024 estimate,1569.4,of government spending,8.8,
Kazakhstan,2024 estimate,3773.8,of government spending,5.8,
Kenya,2024 estimate,5457.6,of government spending,20.8,
Kosovo,2024 estimate,160.0,of government spending,4.6,
Kyrgyz Republic,2024 estimate,320.0,of government spending,5.7,
Laos,2024 estimate,1334.1,of government spending,52.4,
Lebanon,2024 estimate,3231.7,of government spending,101.3,
Lesotho,2024 estimate,102.7,of government spending,7.7,
Liberia,2024 estimate,72.7,of government spending,6.9,
Madagascar,2024 estimate,482.0,of government spending,16.7,
Malawi,2024 estimate,147.3,of government spending,4.6,
Maldives,2024 estimate,466.8,of government spending,13.6,
Mali,2024 estimate,408.7,of government spending,7.3,
Mauritania,2024 estimate,534.8,of government spending,19.6,
Mauritius,2024 estimate,535.2,of government spending,11.5,
Mexico,2024 estimate,36766.3,of government spending,6.6,
Moldova,2024 estimate,371.6,of government spending,5.5,
Mongolia,2024 estimate,3122.0,of government spending,35.4,
Montenegro,2024 estimate,310.2,of government spending,8.6,
Morocco,2024 estimate,7641.4,of government spending,14.8,
Mozambique,2024 estimate,825.5,of government spending,11.3,
Myanmar,2024 estimate,1007.5,of government spending,6.7,
Nepal,2024 estimate,500.9,of government spending,4.8,
Nicaragua,2024 estimate,706.7,of government spending,12.7,
Niger,2024 estimate,341.8,of government spending,10.7,
Nigeria,2024 estimate,3331.5,of government spending,9.2,
North Macedonia,2024 estimate,790.1,of government spending,12.3,
Pakistan,2024 estimate,9879.9,of government spending,13.7,
Papua New Guinea,2024 estimate,672.5,of government spending,9.5,
Paraguay,2024 estimate,1273.9,of government spending,13.5,
Peru,2024 estimate,2441.2,of government spending,3.8,
Philippines,2024 estimate,6985.7,of government spending,6.1,
Russia,2024 estimate,20094.2,of government spending,2.5,
Rwanda,2024 estimate,258.9,of government spending,6.3,
Samoa,2024 estimate,33.3,of government spending,9.6,
Sao Tome and Principe,2024 estimate,17.5,of government spending,9.9,
Senegal,2024 estimate,1779.4,of government spending,18.6,
Serbia,2024 estimate,3701.9,of government spending,9.7,
Sierra Leone,2024 estimate,75.8,of government spending,6.6,
Solomon Islands,2024 estimate,7.7,of government spending,1.4,
Somalia,2024 estimate,55.4,of government spending,5.9,
South Africa,2024 estimate,8937.0,of government spending,6.7,
Sri Lanka,2024 estimate,5491.7,of government spending,39.6,
Sudan,2024 estimate,458.0,of government spending,24.0,
Suriname,2024 estimate,298.7,of government spending,22.8,
Syria,2024 estimate,72.3,of government spending,0.4,
Tajikistan,2024 estimate,343.2,of government spending,8.9,
Tanzania,2024 estimate,1632.6,of government spending,10.8,
Thailand,2024 estimate,3104.3,of government spending,2.5,
