name_short,date,value,lower,change,center
Algeria,On 11 November,5135670,Change in the last month,0.002489597721297754,0.00900709689153506
Angola,On 11 November,3258433,Change in the last month,-0.22323126228886048,-0.8076267066983586
Benin,On 11 January,4917495,Change in the last month,-0.02631188148218555,-0.09519355833322928
Botswana,On 11 November,247298,Change in the last month,-0.007094533555497606,-0.02566725964920304
Burkina Faso,On 11 November,11256200,Change in the last month,-0.09345349102795841,-0.3381046830739575
Burundi,On 11 November,4241242,Change in the last month,0.032007438010697165,0.11579946950701432
Cabo Verde,On 11 November,80932,Change in the last month,-0.02254858150460759,-0.08157834361802331
Cameroon,On 11 November,8826200,Change in the last month,-0.17116679904283483,-0.6192630762808832
Central African Republic,On 11 November,1772537,Change in the last month,0.1266062941178714,0.4580479602959387
Chad,On 11 November,5546784,Change in the last month,-0.009488176342613674,-0.034327201905271616
Comoros,On 11 November,160456,Change in the last month,0.008206094879045,0.029688769010504754
Congo Republic,On 11 November,2114030,Change in the last month,0.08474988506124603,0.30661597243718186
Cote d'Ivoire,On 11 November,4942464,Change in the last month,0.01812407958749862,0.06557097137339839
DR Congo,On 11 November,51234735,Change in the last month,0.07286936695123947,0.26363353522532357
Djibouti,On 11 November,169304,Change in the last month,0.013529369507435218,0.048947804294794575
Egypt,On 11 November,11338859,Change in the last month,0.016690373896367516,0.060383978324886255
Eswatini,On 11 November,349484,Change in the last month,0.07907729264248631,0.28609314294353877
Ethiopia,On 11 November,23265007,Change in the last month,0.2764040124446199,1.0
Gambia,On 11 November,361252,Change in the last month,-0.005396297479158152,-0.019523224107462444
Ghana,On 11 November,6713618,Change in the last month,-0.013288297291958684,-0.04807563093759762
Guinea,On 11 November,8404835,Change in the last month,-0.01576643146086787,-0.05704125392907174
Guinea-Bissau,On 11 November,631048,Change in the last month,-0.00206056446498859,-0.0074549006968610615
Kenya,On 11 November,10856835,Change in the last month,-0.11292156373625106,-0.40853807706165607
Lesotho,On 11 November,975583,Change in the last month,0.03304400678966135,0.11954966390468744
Liberia,On 11 November,1648723,Change in the last month,-0.02543457906359803,-0.09201957250419468
Libya,On 11 November,1150147,Change in the last month,-0.02354567227079818,-0.08518571080988115
Madagascar,On 11 November,9759153,Change in the last month,0.05897792815990743,0.2133758031885453
Malawi,On 11 November,2940765,Change in the last month,-0.14647249613618063,-0.5299217433232007
Mali,On 11 November,13420183,Change in the last month,-0.0007403504628326063,-0.002678508377228939
Mauritania,On 22 September,2221197,Change in the last month,-0.08465434033580033,-0.30627030189281934
Morocco,On 11 November,4853956,Change in the last month,-0.0022787059186745173,-0.0082441130232546
Mozambique,On 11 November,9097913,Change in the last month,0.08083674053207424,0.29245863624454665
Namibia,On 11 November,316128,Change in the last month,-0.08472426901685337,-0.306523296342627
Niger,On 11 November,17724125,Change in the last month,0.037079969922318545,0.13415134460013622
Nigeria,On 11 November,55901351,Change in the last month,0.008259192752368083,0.029880871407476
Rwanda,On 11 November,3005044,Change in the last month,0.05876276310133677,0.2125973591396776
Sao Tome and Principe,On 11 November,35325,Change in the last month,-0.014369419642857095,-0.05198701536844058
Senegal,On 11 November,2445745,Change in the last month,-0.011079410596867345,-0.04008411635879276
Sierra Leone,On 11 November,4195845,Change in the last month,-0.03984690987934714,-0.14416183588264964
Somalia,On 11 November,14611062,Change in the last month,-0.004534184134709074,-0.01640419071563782
South Sudan,On 11 November,6608988,Change in the last month,-0.03378004092078346,-0.12221255625784957
Sudan,On 11 November,9604387,Change in the last month,-0.03559411997191653,-0.1287756992277677
Tanzania,On 11 November,7012273,Change in the last month,0.0980817202819324,0.3548491189200229
Togo,On 11 November,2556105,Change in the last month,0.00471994581967583,0.01707625652005148
Tunisia,On 11 November,1337338,Change in the last month,0.0002168957285004769,0.000784705426604232
Uganda,On 11 November,15053008,Change in the last month,-0.01079522611199557,-0.03905596744605325
Zambia,On 11 November,2200311,Change in the last month,0.1704883917262423,0.6168086715470574
Zimbabwe,On 11 November,5964111,Change in the last month,0.10409083588339496,0.3765894531080678
