name_short,date,value,lower,change,center
North Africa (WB),On 27 October,39765807,Change in the last month,-0.01025543091774439,-0.007825174892731946
Sub-Saharan Africa (WB),On 27 October,365881680,Change in the last month,-0.011018218387424228,0.00499035132772122
Africa,On 27 October,405647487,Change in the last month,-0.010943493970054785,-0.0014174117825053634
Sub-Saharan Africa (UN),On 27 October,349808723,Change in the last month,-0.011632587432544694,0.007210542685341423
Eastern and Southern Africa,On 27 October,172494485,Change in the last month,-0.011770699524417672,0.012485872613642
Western and Central Africa,On 27 October,193109030,Change in the last month,-0.010371633432329719,-0.02534875718556328
Northern Africa,On 27 October,55838764,Change in the last month,-0.006604623504248286,-0.011350459298254113
Middle Africa,On 27 October,68873515,Change in the last month,0.0316472032529711,0.009430734042961627
Western Africa,On 27 October,170550800,Change in the last month,-0.008776930989153109,-0.06116707117746266
Southern Africa,On 27 October,1735416,Change in the last month,0.020700844732845836,-0.028507641319166905
Eastern Africa,On 27 October,108648992,Change in the last month,-0.04192882631647976,0.0741910659562225
