name_short,As of,indicator,value
Angola,2020,Life Expectancy,61.5 years
Burundi,2020,Life Expectancy,61.9 years
Benin,2020,Life Expectancy,62.1 years
Burkina Faso,2020,Life Expectancy,62.0 years
Botswana,2020,Life Expectancy,69.8 years
Central African Republic,2020,Life Expectancy,53.7 years
Cote d'Ivoire,2020,Life Expectancy,58.1 years
Cameroon,2020,Life Expectancy,59.6 years
DR Congo,2020,Life Expectancy,61.0 years
Congo Republic,2020,Life Expectancy,64.8 years
Comoros,2020,Life Expectancy,64.5 years
Cabo Verde,2020,Life Expectancy,73.2 years
Djibouti,2020,Life Expectancy,67.5 years
Algeria,2020,Life Expectancy,77.1 years
Egypt,2020,Life Expectancy,72.2 years
Eritrea,2020,Life Expectancy,66.7 years
Ethiopia,2020,Life Expectancy,67.0 years
Gabon,2020,Life Expectancy,66.7 years
Ghana,2020,Life Expectancy,64.3 years
Guinea,2020,Life Expectancy,62.0 years
Gambia,2020,Life Expectancy,62.4 years
Guinea-Bissau,2020,Life Expectancy,58.6 years
Equatorial Guinea,2020,Life Expectancy,59.1 years
Kenya,2020,Life Expectancy,67.0 years
Liberia,2020,Life Expectancy,64.4 years
Libya,2020,Life Expectancy,73.1 years
Lesotho,2020,Life Expectancy,54.8 years
Morocco,2020,Life Expectancy,76.9 years
Madagascar,2020,Life Expectancy,67.4 years
Mali,2020,Life Expectancy,59.7 years
Mozambique,2020,Life Expectancy,61.4 years
Mauritania,2020,Life Expectancy,65.1 years
Mauritius,2020,Life Expectancy,74.2 years
Malawi,2020,Life Expectancy,64.7 years
Namibia,2020,Life Expectancy,64.0 years
Niger,2020,Life Expectancy,62.8 years
Nigeria,2020,Life Expectancy,55.0 years
Rwanda,2020,Life Expectancy,69.3 years
Sudan,2020,Life Expectancy,65.5 years
Senegal,2020,Life Expectancy,68.2 years
Sierra Leone,2020,Life Expectancy,55.1 years
Somalia,2020,Life Expectancy,57.7 years
South Sudan,2020,Life Expectancy,58.1 years
Sao Tome and Principe,2020,Life Expectancy,70.6 years
Eswatini,2020,Life Expectancy,60.7 years
Seychelles,2020,Life Expectancy,77.2 years
Chad,2020,Life Expectancy,54.5 years
Togo,2020,Life Expectancy,61.3 years
Tunisia,2020,Life Expectancy,76.9 years
Tanzania,2020,Life Expectancy,65.8 years
Uganda,2020,Life Expectancy,63.7 years
South Africa,2020,Life Expectancy,64.4 years
Zambia,2020,Life Expectancy,64.2 years
Zimbabwe,2020,Life Expectancy,61.7 years
