name_short,name,value,lower,value_90s,center
Angola,As of 2018,49.9,In 2000,36.4,0.3708791208791209
Burundi,As of 2013,72.8,In 1992,81.9,-0.1111111111111112
Benin,As of 2018,19.2,Comparison not available,,
Burkina Faso,As of 2018,33.7,In 1994,83.2,-0.594951923076923
Botswana,As of 2015,14.5,In 1993,33.3,-0.5645645645645645
Central African Republic,As of 2008,65.9,In 1992,84.1,-0.21640903686087978
Cote d'Ivoire,As of 2018,9.2,In 1992,23.7,-0.6118143459915611
Cameroon,As of 2014,26.0,In 1996,51.2,-0.49218750000000006
DR Congo,As of 2012,77.2,Comparison not available,,
Congo Republic,As of 2011,39.6,Comparison not available,,
Comoros,As of 2014,19.1,Comparison not available,,
Cabo Verde,As of 2015,3.4,Comparison not available,,
Djibouti,As of 2017,17.0,Comparison not available,,
Algeria,As of 2011,0.4,In 1995,5.6,-0.9285714285714285
Egypt,As of 2017,3.8,In 1990,8.7,-0.5632183908045977
Ethiopia,As of 2015,30.8,In 1995,69.0,-0.5536231884057972
Gabon,As of 2017,3.4,Comparison not available,,
Ghana,As of 2016,12.7,In 1991,47.9,-0.7348643006263049
Guinea,As of 2018,23.2,In 1991,91.8,-0.747276688453159
Gambia,As of 2015,10.3,In 1998,70.8,-0.8545197740112994
Guinea-Bissau,As of 2018,24.7,In 1991,44.3,-0.4424379232505643
Kenya,As of 2015,37.1,In 1992,31.7,0.1703470031545742
Liberia,As of 2016,44.4,Comparison not available,,
Lesotho,As of 2017,27.2,In 1994,50.5,-0.4613861386138614
Morocco,As of 2013,0.9,In 1990,2.9,-0.6896551724137931
Madagascar,As of 2012,78.8,In 1993,69.9,0.12732474964234608
Mali,As of 2018,16.3,In 1994,85.3,-0.8089097303634233
Mozambique,As of 2014,63.7,In 1996,82.0,-0.22317073170731705
Mauritania,As of 2014,6.0,In 1993,41.1,-0.8540145985401459
Mauritius,As of 2017,0.2,Comparison not available,,
Malawi,As of 2019,73.5,In 1997,62.4,0.17788461538461542
Namibia,As of 2015,13.8,Comparison not available,,
Niger,As of 2018,41.4,In 1992,78.5,-0.4726114649681529
Nigeria,As of 2018,39.1,In 1992,58.6,-0.33276450511945393
Rwanda,As of 2016,56.5,In 2000,78.0,-0.27564102564102566
Sudan,As of 2014,12.2,Comparison not available,,
Senegal,As of 2018,7.6,In 1991,68.4,-0.8888888888888888
Sierra Leone,As of 2018,43.0,In 1989,72.9,-0.41015089163237317
Somalia,As of 2017,68.6,Comparison not available,,
South Sudan,As of 2016,76.5,Comparison not available,,
Sao Tome and Principe,As of 2017,25.6,In 2000,31.4,-0.18471337579617828
Eswatini,As of 2016,29.2,In 1994,82.1,-0.6443361753958586
Seychelles,As of 2018,0.5,Comparison not available,,
Chad,As of 2018,33.2,Comparison not available,,
Togo,As of 2018,24.1,Comparison not available,,
Tunisia,As of 2015,0.2,In 1990,10.7,-0.9813084112149534
Tanzania,As of 2018,49.4,In 1991,72.3,-0.31673582295988933
Uganda,As of 2019,41.0,In 1989,58.3,-0.29674099485420236
South Africa,As of 2014,18.7,In 1993,31.5,-0.40634920634920635
Zambia,As of 2015,58.7,In 1991,55.2,0.06340579710144927
Zimbabwe,As of 2019,39.5,Comparison not available,,
