Country,Creditor,Creditor Type,US$
Algeria,African Dev. Bank         ,Multilateral,983973251.0
Algeria,Belgium,Bilateral,22545535.6
Algeria,Belgium,Private,754311.6000000001
Algeria,Canada,Bilateral,2124368.5
Algeria,China,Bilateral,71282621.7
Algeria,France,Bilateral,94899421.4
Algeria,France,Private,129116.4
Algeria,"Germany, Fed. Rep. of",Bilateral,972903.4
Algeria,Italy,Bilateral,41096391.0
Algeria,Japan,Bilateral,5971456.1
Algeria,Saudi Arabia,Bilateral,10116266.8
Algeria,Spain,Bilateral,6497726.2
Angola,African Dev. Bank         ,Multilateral,1263154432.6
Angola,African Export-Import Bank,Multilateral,100000000.0
Angola,Austria,Private,161713477.0
Angola,Belgium,Bilateral,70221.2
Angola,Belgium,Private,84975000.0
Angola,Bondholders,Private,8000000000.0
Angola,Canada,Bilateral,325491000.0
Angola,Canada,Private,63766000.0
Angola,China,Bilateral,4619990000.0
Angola,China,Private,17394460000.0
Angola,Egypt,Private,228620000.0
Angola,European Investment Bank,Multilateral,893621.4
Angola,France,Bilateral,12908242.2
Angola,France,Private,428576208.6
Angola,"Germany, Fed. Rep. of",Private,195200634.2
Angola,India,Bilateral,22670000.0
Angola,International Fund for Agricultural Dev.,Multilateral,9875534.1
Angola,Ireland,Private,585737000.0
Angola,Israel,Private,1684952000.0
Angola,Italy,Bilateral,19051464.6
Angola,Italy,Private,115007601.8
Angola,Japan,Bilateral,654977078.0
Angola,"Korea, Republic of",Bilateral,243287000.0
Angola,Luxembourg,Private,33538551.2
Angola,Netherlands,Bilateral,3548435.8
Angola,Netherlands,Private,720169931.4
Angola,OPEC Fund for International Dev.,Multilateral,2024000.0
Angola,Poland,Bilateral,66257540.2
Angola,Portugal,Bilateral,363099000.0
Angola,Portugal,Private,444674620.4
Angola,Serbia,Bilateral,7546000.0
Angola,South Africa,Bilateral,390436823.2
Angola,South Africa,Private,104641000.0
Angola,Spain,Bilateral,34964000.0
Angola,Spain,Private,805685303.6
Angola,United Kingdom,Private,4686235762.0
Angola,United States,Bilateral,13049000.0
Angola,United States,Private,339934000.0
Angola,World Bank-IBRD                         ,Multilateral,2014749000.0
Angola,World Bank-IDA                         ,Multilateral,466542000.0
Benin,African Dev. Bank         ,Multilateral,474273365.7
Benin,Arab Bank for Economic Dev. in Africa (BADEA),Multilateral,51658000.0
Benin,Bondholders,Private,1898237600.0
Benin,Brazil,Bilateral,56117000.0
Benin,China,Bilateral,341042006.8
Benin,China,Private,11703155.8
Benin,Denmark,Bilateral,0.0
Benin,Economic Community of West African States (ECOWAS),Multilateral,69300560.0
Benin,European Investment Bank,Multilateral,63824275.2
Benin,France,Bilateral,57081907.4
Benin,France,Private,93510853.8
Benin,"Germany, Fed. Rep. of",Private,76784617.0
Benin,India,Bilateral,19266000.0
Benin,International Fund for Agricultural Dev.,Multilateral,67179943.8
Benin,Islamic Dev. Bank,Multilateral,205067946.3
Benin,Japan,Private,0.0
Benin,Kuwait,Bilateral,40512396.7
Benin,Netherlands,Private,164238326.0
Benin,Nordic Development Fund,Multilateral,13834709.0
Benin,Norway,Bilateral,0.0
Benin,OPEC Fund for International Dev.,Multilateral,27365000.0
Benin,Saudi Arabia,Bilateral,46136156.9
Benin,UN-General Assembly (UNGA),Multilateral,0.0
Benin,United Arab Emirates,Bilateral,2194962.6
Benin,United Kingdom,Bilateral,46572512.0
Benin,United Kingdom,Private,256912188.4
Benin,West African Development Bank - BOAD,Multilateral,333856977.2
Benin,World Bank-IDA                         ,Multilateral,1368984000.0
Botswana,African Dev. Bank         ,Multilateral,920118181.8
Botswana,Arab Bank for Economic Dev. in Africa (BADEA),Multilateral,12230000.0
Botswana,China,Bilateral,3811848.6
Botswana,European Development Fund (EDF),Multilateral,2874538.8
Botswana,France,Bilateral,85641.2
Botswana,International Fund for Agricultural Dev.,Multilateral,550000.0
Botswana,Japan,Bilateral,15200070.0
Botswana,Kuwait,Bilateral,4409917.4
Botswana,Nordic Development Fund,Multilateral,583289.0
Botswana,Nordic Investment Bank,Multilateral,15628791.2
Botswana,OPEC Fund for International Dev.,Multilateral,20682000.0
Botswana,World Bank-IBRD                         ,Multilateral,470029000.0
Botswana,World Bank-IDA                         ,Multilateral,249000.0
Burkina Faso,African Dev. Bank         ,Multilateral,616178185.2
Burkina Faso,Arab African International Bank,Multilateral,11948000.0
Burkina Faso,Arab Bank for Economic Dev. in Africa (BADEA),Multilateral,104497526.8
Burkina Faso,Arab Fund for Economic & Social Development,Multilateral,15848000.0
Burkina Faso,Austria,Private,2161000.8
Burkina Faso,Belgium,Bilateral,9355276.0
Burkina Faso,China,Bilateral,121706536.2
Burkina Faso,"Cote D`Ivoire, Republic Of",Bilateral,50935808.3
Burkina Faso,Dev. Bank of the Central African States (BDEAC),Multilateral,2162000.0
Burkina Faso,Economic Community of West African States (ECOWAS),Multilateral,41342368.8
Burkina Faso,European Development Fund (EDF),Multilateral,2785063.4
Burkina Faso,European Investment Bank,Multilateral,30517907.0
Burkina Faso,France,Bilateral,169724640.4
Burkina Faso,France,Private,0.0
Burkina Faso,"Germany, Fed. Rep. of",Private,0.0
Burkina Faso,India,Bilateral,9806000.0
Burkina Faso,International Fund for Agricultural Dev.,Multilateral,95190214.0
Burkina Faso,Islamic Dev. Bank,Multilateral,431699343.3
Burkina Faso,Japan,Bilateral,9141055.9
Burkina Faso,Kuwait,Bilateral,51494214.8
Burkina Faso,Libya,Bilateral,6460000.0
Burkina Faso,Multiple Lenders,Private,8667000.0
Burkina Faso,Nordic Development Fund,Multilateral,10071079.2
Burkina Faso,OPEC Fund for International Dev.,Multilateral,57951000.0
Burkina Faso,Saudi Arabia,Bilateral,46053333.3
Burkina Faso,Spain,Bilateral,3105589.2
Burkina Faso,United Arab Emirates,Bilateral,4668754.3
Burkina Faso,United Arab Emirates,Private,0.0
Burkina Faso,United States,Private,0.0
Burkina Faso,West African Development Bank - BOAD,Multilateral,268302484.5
Burkina Faso,World Bank-IDA                         ,Multilateral,2145910000.0
Burundi,African Dev. Bank         ,Multilateral,32574147.0
Burundi,Arab Bank for Economic Dev. in Africa (BADEA),Multilateral,55503000.0
Burundi,China,Bilateral,46377288.2
Burundi,European Investment Bank,Multilateral,48135500.0
Burundi,India,Bilateral,52195000.0
Burundi,International Fund for Agricultural Dev.,Multilateral,30259218.7
Burundi,Kuwait,Bilateral,30717355.5
Burundi,Libya,Bilateral,4375000.0
Burundi,OPEC Fund for International Dev.,Multilateral,90872000.0
Burundi,Saudi Arabia,Bilateral,52270666.7
Burundi,United Arab Emirates,Bilateral,226821.0
Burundi,World Bank-IDA                         ,Multilateral,132123000.0
Cabo Verde,African Dev. Bank         ,Multilateral,375400458.6
Cabo Verde,Arab Bank for Economic Dev. in Africa (BADEA),Multilateral,48835000.0
Cabo Verde,Austria,Bilateral,10127709.2
Cabo Verde,Austria,Private,4073962.2
Cabo Verde,Belgium,Bilateral,447377.0
Cabo Verde,Belgium,Private,2731831.2
Cabo Verde,China,Bilateral,33039055.6
Cabo Verde,Economic Community of West African States (ECOWAS),Multilateral,15858797.9
Cabo Verde,European Investment Bank,Multilateral,36722289.8
Cabo Verde,France,Bilateral,56668508.4
Cabo Verde,International Fund for Agricultural Dev.,Multilateral,29676314.7
Cabo Verde,Japan,Bilateral,88748796.1
Cabo Verde,Kuwait,Bilateral,14519008.2
Cabo Verde,Nordic Development Fund,Multilateral,1490567.4
Cabo Verde,OPEC Fund for International Dev.,Multilateral,10130105.2
