iso_code,name_short,latest_publication,risk_of_debt_distress
AFG,Afghanistan,28 June 2021,High
BGD,Bangladesh,26 June 2025,Moderate
BEN,Benin,14 July 2025,Moderate
BTN,Bhutan,19 September 2024,Moderate
BFA,Burkina Faso,16 July 2025,Moderate
BDI,Burundi,25 July 2023,High
KHM,Cambodia,27 January 2025,Low
CMR,Cameroon,24 March 2025,High
CPV,Cabo Verde,11 February 2025,Moderate
CAF,Central African Republic,23 June 2025,High
TCD,Chad,13 August 2025,High
COM,Comoros,19 December 2024,High
COD,DR Congo,16 July 2025,Moderate
COG,Congo Republic,24 March 2025,In debt distress
CIV,Côte d'Ivoire,15 July 2024,Moderate
DJI,Djibouti,22 September 2025,In debt distress
DMA,Dominica,12 June 2025,Moderate
ETH,Ethiopia,15 July 2025,In debt distress
GMB,Gambia,26 June 2025,High
GHA,Ghana,10 July 2025,High
GRD,Grenada,04 February 2025,In debt distress
GIN,Guinea,17 May 2024,Moderate
GNB,Guinea-Bissau,07 July 2025,High
HTI,Haiti,10 December 2024,High
HND,Honduras,10 December 2024,Low
KEN,Kenya,01 November 2024,High
KIR,Kiribati,10 July 2025,High
KGZ,Kyrgyzstan,04 June 2025,Moderate
LAO,Laos,08 November 2024,In debt distress
LSO,Lesotho,18 September 2025,Moderate
LBR,Liberia,11 October 2024,Moderate
MDG,Madagascar,21 March 2025,Moderate
MWI,Malawi,06 August 2025,In debt distress
MDV,Maldives,13 May 2024,High
MLI,Mali,10 September 2025,Moderate
MHL,Marshall Islands,26 October 2023,High
MRT,Mauritania,20 December 2024,Moderate
FSM,"Micronesia, Fed. Sts.",04 March 2024,Moderate
MDA,Moldova,19 December 2024,Low
MOZ,Mozambique,12 July 2024,High
MMR,Myanmar,28 January 2021,Low
NPL,Nepal,15 July 2024,Low
NIC,Nicaragua,07 February 2025,Moderate
NER,Niger,28 January 2025,High
PNG,Papua New Guinea,18 June 2025,High
RWA,Rwanda,10 June 2025,Moderate
WSM,Samoa,31 January 2025,Moderate
STP,Sao Tome and Principe,08 August 2025,In debt distress
SEN,Senegal,07 July 2023,Moderate
SLE,Sierra Leone,22 November 2024,High
SLB,Solomon Islands,25 February 2025,Low
SOM,Somalia,16 July 2025,Moderate
SSD,South Sudan,10 June 2024,High
VCT,St. Vincent and the Grenadines,22 July 2024,High
SDN,Sudan,01 July 2021,In debt distress
TJK,Tajikistan,08 July 2025,High
TZA,Tanzania,03 July 2025,Moderate
TLS,Timor-Leste,26 September 2025,Moderate
TGO,Togo,11 July 2025,Moderate
TON,Tonga,25 November 2024,High
TUV,Tuvalu,12 September 2025,High
UGA,Uganda,11 September 2024,Moderate
UZB,Uzbekistan,24 June 2025,Low
VUT,Vanuatu,25 September 2025,Moderate
YEM,Yemen,24 September 2014,Moderate
ZMB,Zambia,05 August 2025,High
ZWE,Zimbabwe,08 April 2022,In debt distress
