year,Africa,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Côte d'Ivoire,DR Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2009,0.12713,0.02037,0.16816,0.10101,0.1379,0.18479,0.22141,0.37673,0.07766,0.14026,0.14222,0.28606,0.47677,0.37768,0.58378,0.51816,0.1582,,0.78103,0.11991,0.16616,0.19509,0.28441,0.11663,0.44283,1.05568,0.15981,0.35509,0.37943,0.19704,0.09704,0.19381,0.42095,0.08,0.19236,0.27098,0.13057,0.01396,0.12608,0.60697,0.1831,0.15934,0.07051,0.25351,0.16091,0.31302,0.32976,0.09322,0.07139,0.42826
2010,0.11497,0.01497,0.16392,0.11655,0.1075,0.19453,0.1876,0.47244,0.07845,0.17534,0.14562,0.27338,0.18615,0.27337,0.18519,0.39611,0.14006,,0.62792,0.0973,0.24176,0.1751,0.27349,0.11881,0.42661,1.01647,0.15476,0.30102,0.09313,0.20424,0.07447,0.20994,0.41261,0.09933,0.20963,0.2859,0.15384,0.01252,0.12394,0.74503,0.19522,0.15831,0.08708,0.22274,0.17829,0.21269,0.32154,0.10829,0.06214,0.33938
2011,0.11147,0.01033,0.14527,0.11151,0.12574,0.17461,0.16252,0.49907,0.06933,0.12895,0.13319,0.23783,0.18451,0.27854,0.13834,0.36851,0.12428,,0.4891,0.07971,0.26059,0.15229,0.3083,0.12495,0.4373,0.18047,0.16432,0.28366,0.08038,0.18622,0.08263,0.19121,0.37828,0.10036,0.20495,0.2664,0.21775,0.01414,0.1411,0.76842,0.20278,0.15449,0.09659,0.23008,0.1918,0.06945,0.3139,0.10775,0.08604,0.29673
2012,0.11855,0.00726,0.13893,0.11661,0.13903,0.18197,0.17488,0.6437,0.09686,0.1334,0.1258,0.21673,0.18297,0.13637,0.125,0.33277,0.10868,,0.42111,0.07088,0.23554,0.16905,0.31703,0.14423,0.13929,0.21295,0.15889,0.30913,0.07794,0.19423,0.12198,0.22443,0.44955,0.11575,0.23692,0.27213,0.16205,0.0143,0.13656,0.70736,0.23654,0.14622,0.14076,0.32431,0.1984,0.08422,0.35243,0.11243,0.13614,0.2571
2013,0.12965,0.00633,0.16359,0.12741,0.127,0.17347,0.16071,0.72809,0.12077,0.20993,0.15779,0.09686,0.21287,0.14732,0.13133,0.32539,0.13959,,0.45649,0.0675,0.25559,0.24573,0.34484,0.17211,0.15954,0.23378,0.15834,0.32917,0.07549,0.18766,0.163,0.2369,0.44287,0.14124,0.24607,0.42466,0.17052,0.01588,0.19853,0.66022,0.23834,0.13434,0.14987,0.31312,0.22181,0.0988,0.34782,0.12572,0.1338,0.23308
2014,0.13367,0.00471,0.19764,0.13257,0.12334,0.16624,0.14948,0.75294,0.12686,0.22336,0.19958,0.0907,0.30022,0.1354,0.11127,0.36614,0.11544,,0.31863,0.0676,0.29913,0.2395,0.37266,0.23507,0.16605,0.29569,0.19446,0.31058,0.09592,0.19209,0.16031,0.22271,0.49834,0.13868,0.25473,0.47445,0.16039,0.01678,0.21303,0.61424,0.25053,0.14053,0.16441,0.26433,0.23107,0.11192,0.33814,0.12122,0.19359,0.22025
2015,0.15407,0.00464,0.24952,0.167,0.12998,0.20171,0.1318,0.8788,0.1779,0.26633,0.18278,0.09824,0.52181,0.18571,0.10513,0.48445,0.12619,,0.38919,0.07318,0.30908,0.32797,0.35815,0.29778,0.18175,0.43261,0.21523,0.35141,0.14043,0.22166,0.16144,0.26014,0.60039,0.14325,0.28407,0.56643,0.20371,0.0216,0.24073,0.81298,0.29965,0.1412,0.15554,0.24709,0.26621,0.14606,0.39554,0.16165,0.33043,0.2272
2016,0.18192,0.00914,0.35752,0.17073,0.1104,0.20062,0.13845,0.83232,0.18628,0.24504,0.20335,0.14501,0.5822,0.17283,0.1054,0.61528,0.15146,,0.34062,0.09612,0.30691,0.35298,0.35721,0.2825,0.20544,0.42803,0.22918,0.35122,0.16143,0.20817,0.19502,0.24814,0.60262,0.12943,0.28381,0.79098,0.21607,0.02797,0.27065,0.74252,0.323,0.16224,0.21544,0.24181,0.26284,0.1622,0.4194,0.1802,0.36229,0.22278
2017,0.21532,0.00903,0.2997,0.19773,0.09578,0.20407,0.13244,0.88998,0.22153,0.20526,0.21354,0.14345,0.58584,0.19885,0.10674,0.70391,0.26598,,0.40804,0.09707,0.32841,0.39929,0.43138,0.27106,0.1804,0.45739,0.27328,0.34138,0.19741,0.20767,0.20013,0.25353,0.58626,0.11339,0.29559,0.7915,0.24005,0.05018,0.30621,0.76523,0.39749,0.18715,0.23771,0.32687,0.27006,0.17865,0.52796,0.21834,0.36991,0.21195
2018,0.22118,0.00783,0.41229,0.20332,0.08473,0.19135,0.14063,0.79601,0.22892,0.195,0.1795,0.2067,0.45012,0.22608,0.11544,0.70203,0.30191,,0.37004,0.10686,0.35971,0.36288,0.4062,0.25352,0.16801,0.47113,0.29268,0.32739,0.21835,0.21081,0.19492,0.23689,0.52872,0.09733,0.26511,0.71601,0.21885,0.05993,0.33716,0.59302,0.52731,0.17898,0.21891,0.46925,0.27986,0.16514,0.52802,0.22605,0.41725,0.12569
