date,Sub-Saharan Africa,World
2000-01-01,4.91,8.62
2001-01-01,4.94,9.01
2002-01-01,4.48,9.35
2003-01-01,5.43,9.5
2004-01-01,5.43,9.4
2005-01-01,5.26,9.33
2006-01-01,5.18,9.24
2007-01-01,5.09,9.08
2008-01-01,4.88,9.08
2009-01-01,5.3,9.82
2010-01-01,5.21,9.49
2011-01-01,5.15,9.34
2012-01-01,4.98,9.35
2013-01-01,4.98,9.33
2014-01-01,4.79,9.43
2015-01-01,5.04,9.71
2016-01-01,5.12,9.84
2017-01-01,5.1,9.73
2018-01-01,4.78,9.65
2019-01-01,4.77,9.78
2020-01-01,5.15,10.86
2021-01-01,5.33,10.34
2022-01-01,5.22,9.89
