value,country_name
64.16,Angola
24.27,Burundi
35.13,Benin
56.95,Burkina Faso
42.93,Central African Republic
81.87,Cote d'Ivoire
63.79,Cameroon
22.32,DR Congo
80.51,Congo Republic
99.04,Comoros
247.91,Cabo Verde
87.75,Djibouti
204.57,Algeria
179.68,Egypt
25.36,Eritrea
26.48,Ethiopia
100.0,Ghana
44.69,Guinea
24.63,Gambia
68.82,Guinea-Bissau
94.67,Kenya
112.27,Liberia
114.71,Lesotho
221.11,Morocco
17.64,Madagascar
40.12,Mali
44.52,Mozambique
89.29,Mauritania
46.56,Malawi
34.34,Niger
83.84,Nigeria
60.22,Rwanda
21.58,Sudan
71.22,Senegal
43.16,Sierra Leone
32.68,South Sudan
186.1,Sao Tome
279.91,Eswatini
35.63,Chad
54.15,Togo
265.46,Tunisia
37.16,Tanzania
43.45,Uganda
75.34,Zambia
62.74,Zimbabwe
