date,Sub-Saharan Africa,World
2000-01-01,34.18,478.81
2001-01-01,31.39,491.89
2002-01-01,30.12,522.68
2003-01-01,44.18,586.99
2004-01-01,53.07,646.49
2005-01-01,59.4,685.83
2006-01-01,66.12,728.2
2007-01-01,73.35,797.74
2008-01-01,78.34,864.02
2009-01-01,78.06,874.5
2010-01-01,88.52,911.89
2011-01-01,97.71,986.35
2012-01-01,95.69,995.7
2013-01-01,97.74,1011.83
2014-01-01,95.08,1034.95
2015-01-01,88.32,993.98
2016-01-01,81.82,1015.91
2017-01-01,85.39,1056.65
2018-01-01,81.09,1103.48
2019-01-01,79.36,1121.97
