date,Sub-Saharan Africa,World
1990-01-01,179.03,93.2
1991-01-01,177.45,92.0
1992-01-01,175.87,90.7
1993-01-01,174.44,89.5
1994-01-01,173.86,88.4
1995-01-01,169.97,86.5
1996-01-01,167.22,84.8
1997-01-01,163.89,82.8
1998-01-01,160.01,80.7
1999-01-01,155.63,78.4
2000-01-01,150.82,75.8
2001-01-01,145.55,73.2
2002-01-01,140.03,70.5
2003-01-01,134.54,67.8
2004-01-01,129.16,65.4
2005-01-01,123.94,62.5
2006-01-01,119.02,60.0
2007-01-01,114.17,57.6
2008-01-01,109.53,55.5
2009-01-01,105.05,53.0
2010-01-01,100.98,51.2
2011-01-01,97.25,49.0
2012-01-01,93.79,47.2
2013-01-01,90.65,45.5
2014-01-01,87.88,44.0
2015-01-01,85.35,42.6
2016-01-01,82.73,41.3
2017-01-01,80.32,40.0
2018-01-01,77.92,38.8
2019-01-01,75.58,37.7
2020-01-01,73.28,36.6
