year,Africa,Global,Rest of the world
2000,839720.0,895555.0,55835.0
2001,837574.0,891745.0,54171.0
2002,796770.0,848042.0,51272.0
2003,773527.0,824547.0,51020.0
2004,749963.0,803391.0,53428.0
2005,723264.0,777901.0,54637.0
2006,714573.0,764206.0,49633.0
2007,697946.0,744841.0,46895.0
2008,678129.0,725008.0,46879.0
2009,671207.0,720691.0,49484.0
2010,645874.0,697948.0,52074.0
2011,607628.0,651325.0,43697.0
2012,575258.0,614215.0,38957.0
2013,555751.0,588576.0,32825.0
2014,534225.0,569324.0,35099.0
2015,527099.0,562352.0,35253.0
2016,528332.0,566171.0,37839.0
2017,542464.0,574419.0,31955.0
2018,533041.0,558402.0,25361.0
2019,534201.0,557816.0,23615.0
2020,602020.0,626868.0,24848.0
