date,Sub-Saharan Africa,World
2000-01-01,43.85,33.07
2001-01-01,43.37,32.46
2002-01-01,42.87,31.95
2003-01-01,42.36,31.52
2004-01-01,41.79,31.11
2005-01-01,41.2,30.66
2006-01-01,40.57,30.18
2007-01-01,39.9,29.65
2008-01-01,39.24,29.05
2009-01-01,38.58,28.39
2010-01-01,37.9,27.68
2011-01-01,37.21,26.93
2012-01-01,36.57,26.21
2013-01-01,35.92,25.53
2014-01-01,35.36,24.9
2015-01-01,34.82,24.36
2016-01-01,34.34,23.85
2017-01-01,33.89,23.37
2018-01-01,33.42,22.91
2019-01-01,32.89,22.44
2020-01-01,32.36,22.01
