commodity,category,price,as of,units,1 year change,0,1,2,3,4,5,6,7,8,9,10,11,12
Beef,meat,5.84,July 2022,USD/kg,5.0,5.585625232,5.60965559,5.658598154,5.698501776,5.952474,5.954568389,5.971764425,6.212068005,6.248664697,6.128623138,6.081664732,5.984110297,5.840369073
Coconut oil,oil,1540.53,July 2022,USD/mt,-3.0,1584.09,1493.64,1485.0,1922.86,1960.68,1695.71,2016.14,2147.89,2230.22,2094.61,1813.33,1700.5,1540.53
Groundnut oil,oil,2146.19,July 2022,USD/mt,3.0,2092.19289412811,2102.28835486,2109.02021997389,2133.66533688546,2150.20944983901,2154.06022202044,2489.88,2473.1,2153.15,2145.25,2146.29,2146.19,2146.19
Groundnuts,meals,1621.09,July 2022,USD/mt,11.0,1456.82,1443.18,1476.14,1539.29,1552.27,1475.0,1479.55,1496.25,1491.3,1443.75,1482.95,1607.14,1621.09
Maize,grains,322.97,July 2022,USD/mt,16.0,278.4341168,256.6124344,235.61748,239.6487632,248.7191504,264.5372128,276.6231888,292.622344,335.5295272,348.1666552,344.8400592,335.7145568,322.9671984
"Meat, chicken",meat,3.54,July 2022,USD/kg,49.0,2.3809896,2.3809896,2.37878498,2.32918103,2.337779048,2.741996125,2.881879264,2.831283235,3.34220392,3.6748259625,3.7037616,3.6698655675,3.54282434
Palm kernel oil,oil,1301.05,July 2022,USD/mt,2.0,1274.09,1341.14,1427.27,1818.33,2050.23,1861.43,2195.79,2442.63,2441.48,2064.31,1811.19,1554.5,1301.05
Palm oil,oil,1056.64,July 2022,USD/mt,-1.0,1062.99,1141.82,1181.38,1310.25,1340.65,1270.29,1344.79,1522.36,1776.96,1682.74,1716.92,1501.1,1056.64
Rapeseed oil,oil,1737.34,July 2022,USD/mt,23.0,1410.08,1519.19,1629.14,1795.17,1825.34,1742.5,1865.36,1744.2,2162.3,2266.17,2218.45,2000.53,1737.34
"Rice, Thai 5% ",grains,418.0,July 2022,USD/mt,1.0,414.0,403.0,400.0,401.0,400.0,400.0,427.0,427.0,422.0,431.0,464.0,444.0,418.0
"Rice, Thai A.1",grains,405.67,July 2022,USD/mt,2.0,397.0,381.0,381.27,382.71,378.55,380.95,403.15,405.95,407.13,409.06,442.86,427.55,405.67
"Rice, Viet Namese 5%",grains,411.09,July 2022,USD/mt,-6.0,436.17,384.46,387.3,404.46,411.41,402.66,395.94,384.21,391.67,402.38,406.45,411.92,411.09
"Shrimps, Mexican",meat,14.04,July 2022,USD/kg,-11.0,15.86003628,15.763033,14.67395072,14.46781875,14.48876264,14.62324446,14.78418172,14.881185,14.9583467,14.991416,15.12589782,14.85693418,14.04122478
Soybean oil,oil,1533.4,July 2022,USD/mt,4.0,1468.34,1433.94,1398.75,1483.52,1442.96,1411.21,1469.56,1595.74,1956.88,1947.51,1962.88,1751.76,1533.4
Soybeans,meal,678.2,July 2022,USD/mt,13.0,600.44,585.8,557.55,551.95,551.04,554.14,606.22,661.63,720.6,720.79,724.09,737.06,678.2
"Sugar, world",sugar,0.4,July 2022,USD/kg,3.0,0.39021774,0.429459976,0.431664596,0.424168888,0.428137204,0.415350408,0.401681764,0.393745132,0.41998011,0.433428292,0.42879859,0.41777549,0.402784074
Sunflower oil,oil,1556.87,July 2022,USD/mt,21.0,1282.01219512195,1355.69105691057,1309.5189701897,1420.52845528455,1415.61653116531,1361.83096205962,1411.73,1499.12,2361.13,2275.76,2079.3,1884.59,1556.87
"Wheat, US HRW",grains,382.5,July 2022,USD/mt,30.0,294.27,324.52,337.55,354.67,379.45,376.81,374.24,390.5,486.3,495.28,522.29,459.59,382.5
"Wheat, US SRW",grains,316.69,July 2022,USD/mt,24.0,254.67037677,276.183795555,263.59908858,,334.499674212,327.819675006,325.159433298,339.346164285,446.65605252,427.306835898,438.381378036,379.89280413,316.686342996
