name,year,Aid to Africa,Share of total ODA
"DAC Countries, Total",2010,48.7,36.7%
"DAC Countries, Total",2011,48.8,37.0%
"DAC Countries, Total",2012,47.9,38.2%
"DAC Countries, Total",2013,47.5,36.1%
"DAC Countries, Total",2014,47.8,35.2%
"DAC Countries, Total",2015,47.0,33.1%
"DAC Countries, Total",2016,50.5,31.9%
"DAC Countries, Total",2017,52.8,33.5%
"DAC Countries, Total",2018,52.6,34.1%
"DAC Countries, Total",2019,51.8,34.4%
"DAC Countries, Total",2020,57.1,35.2%
"DAC Countries, Total",2021,58.7,33.6%
"DAC Countries, Total",2022,53.5,25.6%
