year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection
2010,"DAC Countries, Total",0.0934,0.0831,0.1191,0.0334,0.0398
2011,"DAC Countries, Total",0.088,0.0781,0.1257,0.0393,0.03
2012,"DAC Countries, Total",0.0832,0.0772,0.1475,0.0333,0.034
2013,"DAC Countries, Total",0.0921,0.0694,0.1469,0.0328,0.035
2014,"DAC Countries, Total",0.1086,0.0687,0.1444,0.0426,0.0357
2015,"DAC Countries, Total",0.1065,0.0615,0.1173,0.0812,0.0311
2016,"DAC Countries, Total",0.1086,0.0655,0.1227,0.1014,0.0307
2017,"DAC Countries, Total",0.123,0.0649,0.1299,0.0875,0.0307
2018,"DAC Countries, Total",0.1205,0.0702,0.1287,0.0646,0.029
2019,"DAC Countries, Total",0.1318,0.0731,0.1179,0.0611,0.0285
2020,"DAC Countries, Total",0.1257,0.0671,0.1436,0.0504,0.0271
2021,"DAC Countries, Total",0.1362,0.0591,0.1765,0.0656,0.0256
2022,"DAC Countries, Total",0.1266,0.0516,0.1476,0.1372,0.0201
2023,"DAC Countries, Total",0.1314,0.0527,0.0982,0.1335,0.0256
2024,"DAC Countries, Total",0.1137,0.0493,0.1057,0.1082,0.0279
2010,Australia,0.0911,0.0734,0.0933,0.0015,0.0284
2010,Austria,0.0387,0.2097,0.016,0.0583,0.0137
2010,Belgium,0.0655,0.1032,0.0766,0.0449,0.004
2010,Canada,0.129,0.1192,0.1087,0.0719,0.0081
2010,Denmark,0.0735,0.0661,0.0763,0.067,0.0592
2010,Finland,0.1364,0.0558,0.0416,0.0515,0.0351
2010,France,0.0098,0.1725,0.0416,0.0419,0.1214
2010,Germany,0.0301,0.1564,0.0442,0.0076,0.028
2010,Greece,0.0262,0.4067,0.0293,0.1632,0.0286
2010,Ireland,0.1343,0.1097,0.1682,0.0005,0.0035
2010,Italy,0.0738,0.0709,0.0864,0.0035,0.0131
2010,Japan,0.0463,0.0661,0.0258,,0.0463
2010,Luxembourg,0.1339,0.1312,0.1923,,0.0101
2010,Netherlands,0.0347,0.1077,0.0624,0.0686,0.0247
2010,New Zealand,0.0882,0.2109,0.0973,0.0465,0.0052
2010,Norway,0.091,0.079,0.059,0.1,0.1071
2010,Portugal,0.0004,0.1683,0.0286,0.0006,0.0027
2010,Slovenia,0.0563,0.1683,0.023,0.056,0.0027
2010,South Korea,0.0039,0.0327,0.0307,,0.0026
2010,Spain,0.066,0.0829,0.0568,0.0085,0.0316
2010,Sweden,0.1288,0.0406,0.0662,0.1342,0.0484
2010,Switzerland,0.1475,0.0277,0.0333,0.2115,0.0269
2010,United Kingdom,0.068,0.0895,0.1446,0.0022,0.1063
2010,United States,0.174,0.0371,0.2364,0.032,0.0136
2011,Australia,0.0949,0.0988,0.1075,0.0055,0.0233
2011,Austria,0.0286,0.2708,0.0304,0.0852,0.0158
2011,Belgium,0.0832,0.1091,0.0848,0.0633,0.0042
2011,Canada,0.1024,0.0791,0.1616,0.0818,0.0114
2011,Czechia,0.0516,0.0995,0.0412,0.1523,0.0039
2011,Denmark,0.0815,0.0861,0.0658,0.0537,0.0669
2011,Finland,0.1341,0.0607,0.0381,0.04,0.0348
2011,France,0.0078,0.1393,0.0195,0.0498,0.1141
2011,Germany,0.0367,0.1559,0.0351,0.0074,0.036
2011,Greece,0.0092,0.4915,0.0175,0.165,
2011,Iceland,0.0661,0.066,0.0848,0.0086,0.01
2011,Ireland,0.1466,0.1088,0.1586,0.0005,0.0049
2011,Italy,0.0388,0.0411,0.044,0.2639,0.0049
2011,Japan,0.0619,0.0752,0.0274,0.0,0.0227
2011,Luxembourg,0.1865,0.1101,0.1446,,0.0075
2011,Netherlands,0.0389,0.0902,0.068,0.1058,0.0182
2011,New Zealand,0.0781,0.1669,0.081,0.0415,0.0028
2011,Norway,0.1055,0.0759,0.0609,0.0739,0.0839
2011,Portugal,0.0011,0.1178,0.0337,0.0011,0.0017
2011,Slovenia,0.0392,0.1383,0.0262,0.0263,0.0164
2011,South Korea,0.0041,0.0315,0.0177,,0.0024
2011,Spain,0.0959,0.1039,0.0645,0.0129,0.0211
2011,Sweden,0.1322,0.0399,0.0512,0.132,0.0396
2011,Switzerland,0.1254,0.0362,0.0329,0.2241,0.0407
2011,United Kingdom,0.0772,0.1188,0.1729,0.0036,0.0225
2011,United States,0.1454,0.0302,0.2488,0.0285,0.015
2012,Australia,0.07,0.1102,0.1257,0.0344,0.0269
2012,Austria,0.0568,0.1821,0.0407,0.0535,0.0201
2012,Belgium,0.0577,0.109,0.1018,0.0534,0.0237
2012,Canada,0.1031,0.0742,0.1862,0.0515,0.0384
