Year,Donor,COVID ODA,IDRC,ODA to Ukraine,Other ODA,Total ODA
2015,"DAC Countries, Total",,13918.0,1636.4,135664.2,151218.6
2016,"DAC Countries, Total",,18458.6,1569.4,147659.9,167687.9
2017,"DAC Countries, Total",,15987.8,1251.8,149553.1,166792.7
2018,"DAC Countries, Total",,11653.7,1266.9,153240.2,166160.8
2019,"DAC Countries, Total",,10600.0,1396.5,155021.8,167018.3
2020,"DAC Countries, Total",16318.1,9364.8,2157.3,145931.9,173772.1
2021,"DAC Countries, Total",21799.0,12987.2,2027.2,151409.2,188222.6
2022,"DAC Countries, Total",22326.5,32364.1,23632.2,141551.3,219874.1
2023,"DAC Countries, Total",12435.6,32541.2,26855.4,151481.8,223314.0
2015,Austria,,539.1,21.0,1065.2,1625.3
2015,Belgium,,275.3,12.7,2009.9,2297.9
2015,Denmark,,450.9,33.0,2430.4,2914.3
2015,France,,413.9,65.8,9816.3,10296.0
2015,Germany,,3703.2,510.6,17795.7,22009.5
2015,Italy,,1099.3,35.6,3342.0,4476.9
2015,Netherlands,,1649.1,17.3,5455.7,7122.1
2015,Norway,,506.9,46.4,4130.7,4684.0
2015,Portugal,,3.4,2.8,369.0,375.2
2015,Sweden,,2427.5,42.2,4711.1,7180.8
2015,Switzerland,,553.4,36.2,3335.2000000000003,3924.8
2015,United Kingdom,,406.6,85.8,18824.5,19316.9
2015,Finland,,45.5,12.8,1441.8,1500.1
2015,Iceland,,6.4,0.4,47.4,54.2
2015,Ireland,,0.7,3.9,807.0,811.6
2015,Luxembourg,,,1.6,459.0,460.6
2015,Greece,,66.5,4.9,195.7,267.1
2015,Spain,,37.5,20.7,1562.8,1621.0
2015,Slovenia,,8.9,1.0,69.6,79.5
2015,Czechia,,21.7,8.4,276.0,306.1
2015,Slovak Republic,,2.2,4.1,100.3,106.6
2015,Hungary,,13.0,4.8,191.1,208.9
2015,Poland,,11.9,42.9,509.6,564.4
2015,Estonia,,0.8,4.5,45.0,50.3
2015,Lithuania,,1.2,3.3,67.9,72.4
2015,Canada,,254.1,268.3,4581.4,5103.8
2015,United States,,1512.1,325.5,37138.8,38976.4
2015,Japan,,0.2,15.5,8350.8,8366.5
2015,Korea,,,1.8,1855.3,1857.1
2015,Australia,,,2.5,4053.6,4056.1
2015,New Zealand,,18.8,0.1,479.5,498.4
