year,name,Humanitarian,Other Sectors,Refugees in Donor Countries,Education,Health,Other Economic Infrastructure,Government,Agriculture & Forestry and Fishing,Civil Society,Energy,Water Supply & Sanitation,Social Protection,Unallocated/ Unspecified,Conflict Peace & Security,Environment Protection,Action Relating to Debt,Developmental Food Aid/Food Security Assistance
2014,"DAC Countries, Total",14610.6,14877.8,6667.0,9512.3,19457.8,14569.4,9497.5,5591.9,4402.7,5332.3,4859.1,2836.7,2474.8,2677.0,4607.1,1670.2,1063.1
2015,"DAC Countries, Total",14745.6,14681.5,12291.4,8292.5,16428.8,12980.1,8457.1,5604.3,3804.1,5675.9,4539.8,2310.3,2030.3,2620.5,4012.3,669.8,1278.7
2016,"DAC Countries, Total",15672.7,14539.8,16161.8,9370.2,18286.6,12848.1,9365.2,5738.6,3660.6,6766.5,4659.3,2607.9,2229.8,2918.3,4190.1,2646.8,1321.3
2017,"DAC Countries, Total",18200.1,15328.7,14110.5,9392.3,19236.2,14146.3,9334.5,6092.4,4020.1,8111.6,4893.3,3031.4,2678.1,3344.3,4377.5,892.8,1354.6
2018,"DAC Countries, Total",18384.5,17191.2,10827.7,10677.3,19559.4,15689.4,9644.1,5944.3,4596.5,7794.3,5235.3,3016.9,2190.1,3813.5,4185.6,337.3,1694.6
2019,"DAC Countries, Total",19560.6,17105.5,9710.3,10732.3,17249.7,16439.4,9545.1,5820.0,4794.6,7883.2,4522.5,3078.9,1559.4,3589.7,4020.9,226.7,1252.1
2020,"DAC Countries, Total",19982.4,17780.5,8747.6,10471.5,22768.1,15610.4,13768.6,6244.4,5115.0,6850.4,3830.1,4525.5,1952.6,3415.9,4190.3,1198.8,1262.3
2021,"DAC Countries, Total",24886.2,20155.5,12882.6,10626.4,31306.7,16962.7,10837.9,6076.2,5391.4,6641.2,4021.9,5047.5,1207.8,4006.8,4638.5,1003.4,1708.0
2022,"DAC Countries, Total",26758.6,19950.0,31008.8,10351.8,33042.1,18037.9,17960.3,6801.4,5322.2,8504.4,4048.9,4328.4,4463.4,3281.0,3928.7,341.1,1553.3
2023,"DAC Countries, Total",28661.4,24377.4,32542.0,11016.8,21840.1,17907.4,25632.2,7161.4,6019.4,8455.3,4579.7,4109.4,4648.0,3473.9,5017.6,248.9,964.3
2014,Australia,314.1,1098.1,,545.0,494.1,297.3,532.7,142.3,140.1,38.0,136.0,99.4,27.1,53.0,117.7,7.9,27.7
2014,Austria,23.2,68.9,109.5,146.6,19.0,29.9,12.4,19.8,9.3,13.6,22.8,15.5,36.2,10.4,10.2,108.9,1.0
2014,Belgium,119.4,312.3,186.9,120.0,239.1,143.5,122.6,147.4,44.2,20.0,59.3,44.6,91.9,14.5,53.6,10.3,3.8
2014,Canada,682.7,704.6,216.4,245.1,648.3,176.1,181.7,209.9,83.5,6.0,49.4,34.0,92.6,44.2,25.5,,21.2
2014,Czechia,12.5,10.4,11.6,12.5,5.4,5.4,6.6,7.3,4.6,3.2,5.5,3.5,2.7,4.4,3.1,0.1,0.5
2014,Denmark,320.4,264.5,256.4,115.2,230.5,161.1,198.0,127.9,210.2,56.4,121.1,52.5,269.1,74.2,158.5,6.1,10.9
2014,EU Institutions,2272.6,1896.1,28.1,776.9,651.3,4958.4,2381.8,1022.6,462.1,1306.6,783.6,736.0,124.0,626.4,305.4,1.3,147.3
2014,Estonia,4.4,1.6,0.3,2.2,1.0,3.2,1.9,0.4,1.6,0.7,0.4,0.5,1.0,1.5,1.0,0.1,0.0
2014,Finland,149.7,173.8,16.2,98.4,151.7,119.1,106.8,117.7,71.6,86.3,72.7,44.0,67.7,54.6,57.8,12.6,4.6
2014,France,212.3,1476.0,486.2,1556.9,1174.6,1400.8,547.0,547.5,78.1,727.9,571.2,284.7,596.4,101.1,607.8,139.8,64.1
2014,Germany,1062.1,1716.2,172.5,1879.5,968.4,2627.9,793.8,519.3,763.7,1661.7,956.7,247.8,123.2,465.6,806.5,1113.7,134.1
2014,Greece,12.8,19.4,21.4,15.0,5.8,7.4,10.9,4.8,2.6,2.2,2.5,3.7,1.1,3.2,2.1,0.1,1.1
2014,Hungary,5.1,5.8,10.4,8.0,2.5,6.9,5.8,0.6,1.1,0.1,1.3,2.3,0.0,1.1,1.0,0.1,0.4
2014,Iceland,2.1,3.6,2.5,2.4,2.8,0.5,1.0,5.4,2.2,4.5,1.8,3.5,0.5,1.2,0.2,0.0,0.0
2014,Ireland,118.1,66.7,0.4,55.8,132.8,19.3,37.9,49.4,59.6,6.7,10.4,31.0,35.5,11.5,7.9,2.9,21.1
2014,Italy,182.9,154.9,840.6,112.2,153.4,99.8,152.9,88.2,59.7,32.0,51.0,86.4,35.3,33.2,55.9,39.4,16.9
2014,Japan,992.9,1846.5,0.6,519.1,725.5,4590.7,894.5,576.1,25.2,1249.6,1218.6,407.0,29.2,104.0,350.8,3.8,83.8
