date,North Africa (WB),Sub-Saharan Africa (WB),Africa,Sub-Saharan Africa (UN),Eastern and Southern Africa,Western and Central Africa,Northern Africa,Middle Africa,Western Africa,Southern Africa,Eastern Africa,source
2018-01-31,7.9,4.65,4.71,4.65,5.42,3.1,7.9,10.65,5.2,2.5,5.42,Price inflation data from the WFP VAM resource centre
2018-02-28,7.7,4.05,4.1,4.05,4.51,4.0,7.7,8.97,4.1,2.0,4.51,Price inflation data from the WFP VAM resource centre
2018-03-31,8.7,4.2,4.4,4.2,4.66,3.8,8.7,15.65,4.2,2.7,4.66,Price inflation data from the WFP VAM resource centre
2018-04-30,8.9,4.7,4.9,4.7,4.4,5.1,8.9,8.24,5.3,2.9,4.3,Price inflation data from the WFP VAM resource centre
2018-05-31,8.56,3.9,4.15,3.9,3.65,4.2,8.56,14.1,4.4,3.4,2.4,Price inflation data from the WFP VAM resource centre
2018-06-30,8.6,3.4,4.15,3.4,3.6,4.1,8.6,14.1,4.9,3.4,2.15,Price inflation data from the WFP VAM resource centre
2018-07-31,8.3,3.15,3.7,3.15,3.15,3.7,8.3,7.0,4.7,2.9,1.95,Price inflation data from the WFP VAM resource centre
2018-08-31,7.0,2.7,3.14,2.7,3.1,2.75,7.0,10.5,3.5,2.7,1.9,Price inflation data from the WFP VAM resource centre
2018-09-30,5.8,2.55,2.6,2.55,3.9,2.1,5.8,5.25,2.6,2.5,2.95,Price inflation data from the WFP VAM resource centre
2018-10-31,6.3,3.2,3.4,3.2,4.05,2.7,6.3,6.0,3.8,3.0,3.82,Price inflation data from the WFP VAM resource centre
2018-11-30,2.61,3.3,2.96,3.3,4.95,1.7,2.61,5.3,2.0,3.4,4.25,Price inflation data from the WFP VAM resource centre
2018-12-31,-0.69,2.9,2.9,2.9,4.1,2.05,-0.69,4.8,2.95,3.0,2.72,Price inflation data from the WFP VAM resource centre
2019-01-31,2.06,3.3,3.2,3.3,2.9,4.0,2.06,1.9,6.0,2.9,2.46,Price inflation data from the WFP VAM resource centre
2019-02-28,2.04,2.8,2.42,2.8,1.66,2.8,2.04,2.9,2.8,2.9,1.38,Price inflation data from the WFP VAM resource centre
2019-03-31,2.83,2.97,2.84,2.97,2.97,2.6,2.83,3.1,2.6,3.1,2.84,Price inflation data from the WFP VAM resource centre
2019-04-30,3.44,2.9,2.95,2.9,5.2,1.0,3.44,2.7,1.0,2.9,5.25,Price inflation data from the WFP VAM resource centre
2019-05-31,1.68,2.5,2.4,2.5,4.4,2.2,1.68,2.3,2.2,3.2,5.35,Price inflation data from the WFP VAM resource centre
2019-06-30,-1.4,3.4,3.35,3.4,3.9,3.1,-1.4,3.1,3.3,3.6,5.94,Price inflation data from the WFP VAM resource centre
2019-07-31,-1.2,3.25,3.2,3.25,3.35,2.5,-1.2,3.8,2.5,3.3,4.8,Price inflation data from the WFP VAM resource centre
2019-08-31,-0.2,4.0,3.9,4.0,4.7,2.75,-0.2,3.8,2.75,3.9,5.5,Price inflation data from the WFP VAM resource centre
2019-09-30,0.3,4.2,4.0,4.2,4.5,1.5,0.3,3.2,1.5,4.0,6.5,Price inflation data from the WFP VAM resource centre
2019-10-31,-0.3,4.5,3.9,4.5,6.2,1.9,-0.3,2.5,1.9,3.6,6.9,Price inflation data from the WFP VAM resource centre
2019-11-30,-0.8,3.8,3.55,3.8,6.4,2.4,-0.8,2.5,2.4,2.9,6.8,Price inflation data from the WFP VAM resource centre
2019-12-31,1.6,4.7,4.1,4.7,7.4,2.7,1.6,2.7,3.5,3.0,8.4,Price inflation data from the WFP VAM resource centre
2020-01-31,1.4,5.7,4.25,5.7,6.9,3.8,1.4,4.1,3.5,3.6,8.15,Price inflation data from the WFP VAM resource centre
2020-02-28,0.35,5.8,5.45,5.8,7.1,3.4,0.35,8.0,3.2,3.5,7.5,Price inflation data from the WFP VAM resource centre
2020-03-31,0.8,5.8,5.2,5.8,7.9,3.85,0.8,10.6,3.55,4.2,11.32,Price inflation data from the WFP VAM resource centre
2020-04-30,1.4,6.87,5.7,6.87,8.7,4.6,1.4,12.3,4.6,4.2,11.89,Price inflation data from the WFP VAM resource centre
2020-05-31,-0.3,5.84,4.7,5.84,8.7,4.5,-0.3,8.8,4.5,4.4,10.55,Price inflation data from the WFP VAM resource centre
2020-06-30,1.44,4.6,4.3,4.6,4.7,4.3,1.44,4.5,4.3,4.6,6.45,Price inflation data from the WFP VAM resource centre
2020-07-31,0.6,5.18,4.25,5.18,6.1,4.4,0.6,7.5,4.4,4.4,7.01,Price inflation data from the WFP VAM resource centre
2020-08-31,0.76,6.6,5.76,6.6,6.8,6.6,0.76,17.2,6.6,4.2,6.46,Price inflation data from the WFP VAM resource centre
2020-09-30,0.57,7.2,5.88,7.2,6.6,8.1,0.57,11.4,8.1,4.2,6.65,Price inflation data from the WFP VAM resource centre
2020-10-31,1.3,7.1,6.76,7.1,7.1,7.3,1.3,12.0,7.3,5.4,7.6,Price inflation data from the WFP VAM resource centre
2020-11-30,1.48,6.3,5.94,6.3,7.0,6.3,1.48,9.5,6.3,5.8,6.8,Price inflation data from the WFP VAM resource centre
2020-12-31,2.8,5.9,5.3,5.9,7.6,5.4,2.8,5.1,5.7,5.9,7.61,Price inflation data from the WFP VAM resource centre
2021-01-31,3.27,5.7,5.25,5.7,7.36,4.9,3.27,2.6,5.8,5.3,8.25,Price inflation data from the WFP VAM resource centre
2021-02-28,3.29,5.5,5.1,5.5,6.0,5.0,3.29,2.8,5.6,5.2,6.46,Price inflation data from the WFP VAM resource centre
2021-03-31,1.84,5.7,5.55,5.7,6.65,5.01,1.84,3.0,5.2,5.7,8.73,Price inflation data from the WFP VAM resource centre
2021-04-30,0.1,6.36,6.0,6.36,7.1,5.35,0.1,4.1,5.7,6.3,9.16,Price inflation data from the WFP VAM resource centre
2021-05-31,2.2,6.7,6.6,6.7,7.02,5.4,2.2,18.7,6.2,6.6,7.31,Price inflation data from the WFP VAM resource centre
2021-06-30,3.3,7.65,7.2,7.65,9.2,5.95,3.3,4.5,6.65,6.8,10.6,Price inflation data from the WFP VAM resource centre
2021-07-31,4.9,8.45,8.0,8.45,8.84,6.95,4.9,4.5,8.35,6.5,9.85,Price inflation data from the WFP VAM resource centre
2021-08-31,6.6,7.75,7.4,7.75,8.4,6.7,6.6,4.2,8.04,6.4,10.18,Price inflation data from the WFP VAM resource centre
2021-09-30,7.2,7.8,7.6,7.8,7.6,8.74,7.2,4.5,9.79,6.4,9.32,Price inflation data from the WFP VAM resource centre
2021-10-31,7.0,7.85,7.8,7.85,7.9,8.05,7.0,20.45,8.3,6.1,10.84,Price inflation data from the WFP VAM resource centre
2021-11-30,6.9,8.0,7.71,8.0,8.0,8.7,6.9,4.7,9.1,5.5,8.4,Price inflation data from the WFP VAM resource centre
2021-12-31,7.6,9.0,8.4,9.0,7.8,10.29,7.6,5.4,11.3,5.5,8.46,Price inflation data from the WFP VAM resource centre
2022-01-31,7.6,9.93,9.87,9.93,7.4,11.05,7.6,7.45,11.9,5.7,9.54,Price inflation data from the WFP VAM resource centre
2022-02-28,8.9,9.65,9.6,9.65,7.5,10.41,8.9,7.9,10.6,6.4,8.14,Price inflation data from the WFP VAM resource centre
2022-03-31,9.4,9.86,9.8,9.86,7.4,11.4,9.4,9.6,11.6,6.2,8.71,Price inflation data from the WFP VAM resource centre
2022-04-30,9.05,11.86,11.6,11.86,9.45,12.5,9.05,10.0,13.4,6.0,12.04,Price inflation data from the WFP VAM resource centre
2022-05-31,8.6,12.25,12.2,12.25,11.8,13.1,8.6,11.55,14.16,7.4,12.35,Price inflation data from the WFP VAM resource centre
2022-06-30,11.0,12.95,12.9,12.95,11.9,13.31,11.0,12.45,14.1,8.4,14.7,Price inflation data from the WFP VAM resource centre
2022-07-31,12.4,13.1,13.0,13.1,13.2,13.45,12.4,12.75,16.7,9.7,15.1,Price inflation data from the WFP VAM resource centre
2022-08-31,14.5,14.5,14.5,14.5,15.3,14.5,14.5,14.45,14.94,10.8,15.65,Price inflation data from the WFP VAM resource centre
2022-09-30,13.0,15.15,14.8,15.15,15.5,14.7,13.0,13.95,15.68,11.9,16.2,Price inflation data from the WFP VAM resource centre
2022-10-31,12.9,14.88,14.7,14.88,14.73,15.9,12.9,15.1,16.3,12.0,15.42,Price inflation data from the WFP VAM resource centre
2022-11-30,14.9,14.8,14.9,14.8,14.7,15.65,14.9,14.65,14.9,12.5,15.2,Price inflation data from the WFP VAM resource centre
2022-12-31,14.6,14.1,14.39,14.1,13.8,15.05,14.6,12.4,15.4,12.4,14.1,Price inflation data from the WFP VAM resource centre
2023-01-31,14.1,13.8,13.9,13.8,14.0,13.7,14.1,9.56,13.7,14.0,14.6,Price inflation data from the WFP VAM resource centre
2023-02-28,15.6,13.6,13.95,13.6,14.0,11.6,15.6,8.52,11.6,14.0,13.75,Price inflation data from the WFP VAM resource centre
2023-03-31,15.7,13.4,14.15,13.4,14.6,11.7,15.7,7.63,11.7,14.6,14.45,Price inflation data from the WFP VAM resource centre
2023-04-30,15.6,11.6,13.25,11.6,13.9,9.4,15.6,7.86,9.4,13.9,13.2,Price inflation data from the WFP VAM resource centre
2023-05-31,15.9,11.0,11.8,11.0,12.5,8.04,15.9,6.23,8.08,12.5,12.55,Price inflation data from the WFP VAM resource centre
2023-06-30,13.1,10.3,11.0,10.3,11.0,8.2,13.1,4.5,9.5,11.35,11.0,Price inflation data from the WFP VAM resource centre
2023-07-31,13.2,8.35,9.9,8.35,9.9,7.7,13.2,3.4,7.9,10.2,8.35,Price inflation data from the WFP VAM resource centre
