Country,Cause,Type,Year,Deaths per 100K people,Deaths,missing,source
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,23.27,"3,817",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Road injury,Injuries,2000.0,25.06,"4,110",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Congenital anomalies,Noncommunicable diseases,2000.0,39.67,"6,505",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Ischaemic heart disease,Noncommunicable diseases,2000.0,41.5,"6,806",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Stroke,Noncommunicable diseases,2000.0,50.98,"8,361",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,75.26,"12,343",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,113.74,"18,654",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,207.53,"34,034",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,242.72,"39,807",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,252.15,"41,352",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Congenital anomalies,Noncommunicable diseases,2019.0,23.28,"7,402",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Road injury,Injuries,2019.0,26.15,"8,317",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Ischaemic heart disease,Noncommunicable diseases,2019.0,31.51,"10,020",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Stroke,Noncommunicable diseases,2019.0,33.61,"10,687",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,40.27,"12,805",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,42.79,"13,608",False,"Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
