iso_code,name_short,latest_publication,risk_of_debt_distress,source
AFG,Afghanistan,28 June 2021,High,IMF DSA
BGD,Bangladesh,02 February 2023,Low,IMF DSA
BEN,Benin,24 May 2023,Moderate,IMF DSA
BTN,Bhutan,24 May 2022,Moderate,IMF DSA
BFA,Burkina Faso,03 October 2023,Moderate,IMF DSA
BDI,Burundi,25 July 2023,High,IMF DSA
KHM,Cambodia,18 December 2022,Low,IMF DSA
CMR,Cameroon,20 March 2023,High,IMF DSA
CPV,Cabo Verde,18 July 2023,Moderate,IMF DSA
CAF,Central African Republic,06 November 2023,High,IMF DSA
TCD,Chad,23 January 2023,High,IMF DSA
COM,Comoros,21 June 2023,High,IMF DSA
COD,DR Congo,05 July 2023,Moderate,IMF DSA
COG,Congo Republic,24 July 2023,In debt distress,IMF DSA
CIV,Cote d'Ivoire,12 June 2023,Moderate,IMF DSA
DJI,Djibouti,12 May 2020,High,IMF DSA
DMA,Dominica,05 July 2023,High,IMF DSA
ETH,Ethiopia,06 May 2020,High,IMF DSA
GMB,Gambia,21 June 2023,High,IMF DSA
GHA,Ghana,17 May 2023,In debt distress,IMF DSA
GRD,Grenada,19 July 2023,In debt distress,IMF DSA
GIN,Guinea,23 January 2023,Moderate,IMF DSA
GNB,Guinea-Bissau,15 February 2023,High,IMF DSA
GUY,Guyana,04 December 2023,Moderate,IMF DSA
HTI,Haiti,07 February 2023,High,IMF DSA
HND,Honduras,22 September 2023,Low,IMF DSA
KEN,Kenya,19 July 2023,High,IMF DSA
KIR,Kiribati,15 September 2023,High,IMF DSA
KGZ,Kyrgyz Republic,16 February 2023,Moderate,IMF DSA
LAO,Laos,22 May 2023,In debt distress,IMF DSA
LSO,Lesotho,20 July 2023,Moderate,IMF DSA
LBR,Liberia,14 September 2022,Moderate,IMF DSA
MDG,Madagascar,21 March 2023,Moderate,IMF DSA
MWI,Malawi,22 November 2023,In debt distress,IMF DSA
MDV,Maldives,11 November 2023,High,IMF DSA
MLI,Mali,30 March 2021,Moderate,IMF DSA
MHL,Marshall Islands,26 October 2023,High,IMF DSA
MRT,Mauritania,03 February 2023,Moderate,IMF DSA
FSM,"Micronesia, Fed. Sts.",01 November 2021,High,IMF DSA
MDA,Moldova,12 January 2023,Low,IMF DSA
MOZ,Mozambique,13 July 2023,High,IMF DSA
MMR,Myanmar,28 January 2021,Low,IMF DSA
NPL,Nepal,04 May 2023,Low,IMF DSA
NIC,Nicaragua,27 January 2023,Moderate,IMF DSA
NER,Niger,12 July 2023,Moderate,IMF DSA
PNG,Papua New Guinea,06 December 2023,High,IMF DSA
RWA,Rwanda,19 December 2022,Moderate,IMF DSA
WSM,Samoa,15 March 2023,High,IMF DSA
STP,Sao Tome and Principe,20 September 2022,In debt distress,IMF DSA
SEN,Senegal,07 July 2023,Moderate,IMF DSA
SLE,Sierra Leone,27 November 2023,High,IMF DSA
SLB,Solomon Islands,21 January 2022,Moderate,IMF DSA
SOM,Somalia,31 May 2023,In debt distress,IMF DSA
SSD,South Sudan,09 March 2023,High,IMF DSA
LCA,St. Lucia,09 September 2011,Moderate,IMF DSA
VCT,St. Vincent and the Grenadines,17 November 2022,High,IMF DSA
SDN,Sudan,01 July 2021,In debt distress,IMF DSA
TJK,Tajikistan,28 March 2023,High,IMF DSA
TZA,Tanzania,28 April 2023,Moderate,IMF DSA
TLS,Timor-Leste,22 September 2022,Moderate,IMF DSA
TGO,Togo,16 April 2020,Moderate,IMF DSA
TON,Tonga,03 November 2023,High,IMF DSA
TUV,Tuvalu,21 July 2023,High,IMF DSA
UGA,Uganda,23 June 2023,Moderate,IMF DSA
UZB,Uzbekistan,22 June 2022,Low,IMF DSA
VUT,Vanuatu,22 March 2023,Moderate,IMF DSA
YEM,Yemen,24 September 2014,Moderate,IMF DSA
ZMB,Zambia,13 July 2023,In debt distress,IMF DSA
ZWE,Zimbabwe,08 April 2022,In debt distress,IMF DSA
