year,High income,Low income,Lower-middle income,Upper-middle income
2000,93.0,49.0,64.0,86.0
2001,95.0,50.0,64.0,87.0
2002,95.0,52.0,64.0,86.0
2003,96.0,56.0,67.0,86.0
2004,96.0,60.0,69.0,87.0
2005,96.0,65.0,70.0,87.0
2006,96.0,66.0,70.0,90.0
2007,96.0,69.0,69.0,91.0
2008,96.0,70.0,73.0,93.0
2009,96.0,72.0,76.0,94.0
2010,96.0,72.0,77.0,94.0
2011,96.0,73.0,79.0,94.0
2012,96.0,72.0,79.0,95.0
2013,95.0,71.0,78.0,95.0
2014,96.0,73.0,80.0,93.0
2015,95.0,73.0,81.0,93.0
2016,95.0,73.0,83.0,93.0
2017,95.0,74.0,83.0,93.0
2018,95.0,74.0,85.0,93.0
2019,95.0,75.0,86.0,91.0
2020,94.0,73.0,82.0,88.0
2021,95.0,69.0,81.0,86.0
2022,95.0,68.0,86.0,91.0
2023,94.0,68.0,85.0,90.0
