country_name,Phase 2,Phase 3,Phase 4,Phase 5,from_date,to_date,source
Afghanistan,14730490,12944658,5975864,0,June 2022,November 2022,IPC
Angola,683303,1167337,416660,0,October 2021,March 2022,IPC
Burundi,3660306,1353231,50637,0,October 2022,December 2022,IPC
Benin,1039495,181584,0,0,October 2022,December 2022,CH
Burkina Faso,4675064,2275170,341650,1817,October 2022,December 2022,CH
Central African Republic,2004079,2011128,641565,0,September 2022,March 2023,IPC
Cote d'Ivoire,3395450,812942,36391,0,October 2022,December 2022,CH
Cameroon,6768449,3356781,240233,0,October 2022,December 2022,CH
DR Congo,47192223,21707327,2813131,0,January 2023,June 2023,IPC
Cabo Verde,138062,43003,3090,0,June 2022,August 2022,CH
Djibouti,414767,179778,12390,0,July 2022,December 2022,IPC
Dominican Republic,3405087,1410397,142483,0,October 2022,February 2023,IPC
Ethiopia,5998032,4558999,2425979,401313,July 2021,September 2021,IPC
Ghana,2598846,794119,28983,0,October 2022,December 2022,CH
Guinea,3831210,1198458,20830,0,June 2022,August 2022,CH
Gambia,584750,201062,6604,0,October 2022,December 2022,CH
Guinea-Bissau,267590,112034,0,0,October 2022,December 2022,CH
Guatemala,7622722,3111434,127928,0,October 2022,February 2023,IPC
Honduras,3719811,2291044,353195,0,June 2022,August 2022,IPC
Haiti,2784874,2891240,1813948,19206,September 2022,February 2023,IPC
Kenya,5109606,3142733,1211812,0,October 2022,December 2022,IPC
Lebanon,2143000,1906000,354000,0,January 2023,April 2023,IPC
Liberia,1019566,365748,7483,0,October 2022,December 2022,CH
Lesotho,511048,319429,0,0,October 2022,March 2023,IPC
Madagascar,2470452,1972981,252094,0,November 2022,March 2023,IPC
Mali,2734725,616820,14864,0,October 2022,December 2022,CH
Mozambique,5947710,1419830,23553,0,April 2022,September 2022,IPC
Mauritania,1434953,795937,83429,0,June 2022,August 2022,CH
Malawi,6679662,3822502,0,0,October 2022,March 2023,IPC
Namibia,835739,631697,118616,0,December 2021,March 2022,IPC
Niger,5421547,1965475,78857,0,October 2022,December 2022,CH
Nigeria,40577711,16283809,789497,2975,October 2022,December 2022,CH
Pakistan,6235537,6027992,2591242,0,September 2022,December 2022,IPC
Sudan,17746553,6189076,1549705,0,October 2022,February 2023,IPC
Senegal,4970959,846467,29671,0,October 2022,December 2022,CH
Sierra Leone,1929338,787646,0,0,October 2022,December 2022,CH
El Salvador,3286974,845944,60879,0,March 2022,May 2022,IPC
Somalia,3036040,4102930,1936740,322010,January 2023,March 2023,IPC
South Sudan,3840000,4311000,1966000,33000,December 2022,March 2023,IPC
Eswatini,438476,221770,37031,0,October 2022,March 2023,IPC
Chad,4026354,1997572,101289,0,June 2022,August 2022,CH
Togo,1362819,533348,35313,0,October 2022,December 2022,CH
Tanzania,3294113,1092754,18030,0,October 2022,February 2023,IPC
Uganda,2553245,1050595,50925,0,September 2022,January 2023,IPC
Yemen,9033000,10832000,6079500,0,October 2022,December 2022,IPC
South Africa,18362327,9598771,2197177,0,January 2021,March 2021,IPC
Zambia,6601009,1952123,0,0,October 2022,March 2023,IPC
Zimbabwe,3104734,2611638,768594,0,January 2021,March 2021,IPC
