date,iso_code,indicator_code,value
1960-01-01,ABW,SH.XPD.CHEX.PC.CD,
1961-01-01,ABW,SH.XPD.CHEX.PC.CD,
1962-01-01,ABW,SH.XPD.CHEX.PC.CD,
1963-01-01,ABW,SH.XPD.CHEX.PC.CD,
1964-01-01,ABW,SH.XPD.CHEX.PC.CD,
1965-01-01,ABW,SH.XPD.CHEX.PC.CD,
1966-01-01,ABW,SH.XPD.CHEX.PC.CD,
1967-01-01,ABW,SH.XPD.CHEX.PC.CD,
1968-01-01,ABW,SH.XPD.CHEX.PC.CD,
1969-01-01,ABW,SH.XPD.CHEX.PC.CD,
1970-01-01,ABW,SH.XPD.CHEX.PC.CD,
1971-01-01,ABW,SH.XPD.CHEX.PC.CD,
1972-01-01,ABW,SH.XPD.CHEX.PC.CD,
1973-01-01,ABW,SH.XPD.CHEX.PC.CD,
1974-01-01,ABW,SH.XPD.CHEX.PC.CD,
1975-01-01,ABW,SH.XPD.CHEX.PC.CD,
1976-01-01,ABW,SH.XPD.CHEX.PC.CD,
1977-01-01,ABW,SH.XPD.CHEX.PC.CD,
1978-01-01,ABW,SH.XPD.CHEX.PC.CD,
1979-01-01,ABW,SH.XPD.CHEX.PC.CD,
1980-01-01,ABW,SH.XPD.CHEX.PC.CD,
1981-01-01,ABW,SH.XPD.CHEX.PC.CD,
1982-01-01,ABW,SH.XPD.CHEX.PC.CD,
1983-01-01,ABW,SH.XPD.CHEX.PC.CD,
1984-01-01,ABW,SH.XPD.CHEX.PC.CD,
1985-01-01,ABW,SH.XPD.CHEX.PC.CD,
1986-01-01,ABW,SH.XPD.CHEX.PC.CD,
1987-01-01,ABW,SH.XPD.CHEX.PC.CD,
1988-01-01,ABW,SH.XPD.CHEX.PC.CD,
1989-01-01,ABW,SH.XPD.CHEX.PC.CD,
1990-01-01,ABW,SH.XPD.CHEX.PC.CD,
1991-01-01,ABW,SH.XPD.CHEX.PC.CD,
1992-01-01,ABW,SH.XPD.CHEX.PC.CD,
1993-01-01,ABW,SH.XPD.CHEX.PC.CD,
1994-01-01,ABW,SH.XPD.CHEX.PC.CD,
1995-01-01,ABW,SH.XPD.CHEX.PC.CD,
1996-01-01,ABW,SH.XPD.CHEX.PC.CD,
1997-01-01,ABW,SH.XPD.CHEX.PC.CD,
1998-01-01,ABW,SH.XPD.CHEX.PC.CD,
1999-01-01,ABW,SH.XPD.CHEX.PC.CD,
2000-01-01,ABW,SH.XPD.CHEX.PC.CD,
2001-01-01,ABW,SH.XPD.CHEX.PC.CD,
2002-01-01,ABW,SH.XPD.CHEX.PC.CD,
2003-01-01,ABW,SH.XPD.CHEX.PC.CD,
2004-01-01,ABW,SH.XPD.CHEX.PC.CD,
2005-01-01,ABW,SH.XPD.CHEX.PC.CD,
2006-01-01,ABW,SH.XPD.CHEX.PC.CD,
2007-01-01,ABW,SH.XPD.CHEX.PC.CD,
2008-01-01,ABW,SH.XPD.CHEX.PC.CD,
2009-01-01,ABW,SH.XPD.CHEX.PC.CD,
2010-01-01,ABW,SH.XPD.CHEX.PC.CD,
2011-01-01,ABW,SH.XPD.CHEX.PC.CD,
2012-01-01,ABW,SH.XPD.CHEX.PC.CD,
2013-01-01,ABW,SH.XPD.CHEX.PC.CD,
2014-01-01,ABW,SH.XPD.CHEX.PC.CD,
2015-01-01,ABW,SH.XPD.CHEX.PC.CD,
2016-01-01,ABW,SH.XPD.CHEX.PC.CD,
2017-01-01,ABW,SH.XPD.CHEX.PC.CD,
2018-01-01,ABW,SH.XPD.CHEX.PC.CD,
2019-01-01,ABW,SH.XPD.CHEX.PC.CD,
2020-01-01,ABW,SH.XPD.CHEX.PC.CD,
2021-01-01,ABW,SH.XPD.CHEX.PC.CD,
2022-01-01,ABW,SH.XPD.CHEX.PC.CD,
2023-01-01,ABW,SH.XPD.CHEX.PC.CD,
1960-01-01,AFE,SH.XPD.CHEX.PC.CD,
1961-01-01,AFE,SH.XPD.CHEX.PC.CD,
1962-01-01,AFE,SH.XPD.CHEX.PC.CD,
1963-01-01,AFE,SH.XPD.CHEX.PC.CD,
1964-01-01,AFE,SH.XPD.CHEX.PC.CD,
1965-01-01,AFE,SH.XPD.CHEX.PC.CD,
1966-01-01,AFE,SH.XPD.CHEX.PC.CD,
1967-01-01,AFE,SH.XPD.CHEX.PC.CD,
1968-01-01,AFE,SH.XPD.CHEX.PC.CD,
1969-01-01,AFE,SH.XPD.CHEX.PC.CD,
1970-01-01,AFE,SH.XPD.CHEX.PC.CD,
1971-01-01,AFE,SH.XPD.CHEX.PC.CD,
1972-01-01,AFE,SH.XPD.CHEX.PC.CD,
1973-01-01,AFE,SH.XPD.CHEX.PC.CD,
1974-01-01,AFE,SH.XPD.CHEX.PC.CD,
1975-01-01,AFE,SH.XPD.CHEX.PC.CD,
1976-01-01,AFE,SH.XPD.CHEX.PC.CD,
1977-01-01,AFE,SH.XPD.CHEX.PC.CD,
1978-01-01,AFE,SH.XPD.CHEX.PC.CD,
1979-01-01,AFE,SH.XPD.CHEX.PC.CD,
1980-01-01,AFE,SH.XPD.CHEX.PC.CD,
1981-01-01,AFE,SH.XPD.CHEX.PC.CD,
1982-01-01,AFE,SH.XPD.CHEX.PC.CD,
1983-01-01,AFE,SH.XPD.CHEX.PC.CD,
1984-01-01,AFE,SH.XPD.CHEX.PC.CD,
1985-01-01,AFE,SH.XPD.CHEX.PC.CD,
1986-01-01,AFE,SH.XPD.CHEX.PC.CD,
1987-01-01,AFE,SH.XPD.CHEX.PC.CD,
1988-01-01,AFE,SH.XPD.CHEX.PC.CD,
1989-01-01,AFE,SH.XPD.CHEX.PC.CD,
1990-01-01,AFE,SH.XPD.CHEX.PC.CD,
1991-01-01,AFE,SH.XPD.CHEX.PC.CD,
1992-01-01,AFE,SH.XPD.CHEX.PC.CD,
1993-01-01,AFE,SH.XPD.CHEX.PC.CD,
1994-01-01,AFE,SH.XPD.CHEX.PC.CD,
1995-01-01,AFE,SH.XPD.CHEX.PC.CD,
1996-01-01,AFE,SH.XPD.CHEX.PC.CD,
1997-01-01,AFE,SH.XPD.CHEX.PC.CD,
1998-01-01,AFE,SH.XPD.CHEX.PC.CD,
1999-01-01,AFE,SH.XPD.CHEX.PC.CD,
2000-01-01,AFE,SH.XPD.CHEX.PC.CD,43.1795228372368
2001-01-01,AFE,SH.XPD.CHEX.PC.CD,38.2403733317884
2002-01-01,AFE,SH.XPD.CHEX.PC.CD,35.3893938242988
2003-01-01,AFE,SH.XPD.CHEX.PC.CD,50.8460540792795
2004-01-01,AFE,SH.XPD.CHEX.PC.CD,62.5592083924407
2005-01-01,AFE,SH.XPD.CHEX.PC.CD,69.4852863304066
2006-01-01,AFE,SH.XPD.CHEX.PC.CD,76.0411240434661
2007-01-01,AFE,SH.XPD.CHEX.PC.CD,85.1519403196774
2008-01-01,AFE,SH.XPD.CHEX.PC.CD,87.5461437976285
2009-01-01,AFE,SH.XPD.CHEX.PC.CD,91.1372255372862
2010-01-01,AFE,SH.XPD.CHEX.PC.CD,105.4266179681
2011-01-01,AFE,SH.XPD.CHEX.PC.CD,113.689713895816
2012-01-01,AFE,SH.XPD.CHEX.PC.CD,110.501013666199
2013-01-01,AFE,SH.XPD.CHEX.PC.CD,108.335144725309
2014-01-01,AFE,SH.XPD.CHEX.PC.CD,101.823439306303
2015-01-01,AFE,SH.XPD.CHEX.PC.CD,93.7748478025413
2016-01-01,AFE,SH.XPD.CHEX.PC.CD,88.7445659145673
2017-01-01,AFE,SH.XPD.CHEX.PC.CD,92.9328629491339
2018-01-01,AFE,SH.XPD.CHEX.PC.CD,92.9642508697595
2019-01-01,AFE,SH.XPD.CHEX.PC.CD,89.9445460259529
2020-01-01,AFE,SH.XPD.CHEX.PC.CD,81.4924179824656
2021-01-01,AFE,SH.XPD.CHEX.PC.CD,92.2863864495709
2022-01-01,AFE,SH.XPD.CHEX.PC.CD,
2023-01-01,AFE,SH.XPD.CHEX.PC.CD,
1960-01-01,AFG,SH.XPD.CHEX.PC.CD,
1961-01-01,AFG,SH.XPD.CHEX.PC.CD,
1962-01-01,AFG,SH.XPD.CHEX.PC.CD,
1963-01-01,AFG,SH.XPD.CHEX.PC.CD,
1964-01-01,AFG,SH.XPD.CHEX.PC.CD,
1965-01-01,AFG,SH.XPD.CHEX.PC.CD,
1966-01-01,AFG,SH.XPD.CHEX.PC.CD,
1967-01-01,AFG,SH.XPD.CHEX.PC.CD,
1968-01-01,AFG,SH.XPD.CHEX.PC.CD,
1969-01-01,AFG,SH.XPD.CHEX.PC.CD,
1970-01-01,AFG,SH.XPD.CHEX.PC.CD,
1971-01-01,AFG,SH.XPD.CHEX.PC.CD,
1972-01-01,AFG,SH.XPD.CHEX.PC.CD,
1973-01-01,AFG,SH.XPD.CHEX.PC.CD,
1974-01-01,AFG,SH.XPD.CHEX.PC.CD,
1975-01-01,AFG,SH.XPD.CHEX.PC.CD,
1976-01-01,AFG,SH.XPD.CHEX.PC.CD,
1977-01-01,AFG,SH.XPD.CHEX.PC.CD,
1978-01-01,AFG,SH.XPD.CHEX.PC.CD,
1979-01-01,AFG,SH.XPD.CHEX.PC.CD,
1980-01-01,AFG,SH.XPD.CHEX.PC.CD,
1981-01-01,AFG,SH.XPD.CHEX.PC.CD,
1982-01-01,AFG,SH.XPD.CHEX.PC.CD,
1983-01-01,AFG,SH.XPD.CHEX.PC.CD,
1984-01-01,AFG,SH.XPD.CHEX.PC.CD,
1985-01-01,AFG,SH.XPD.CHEX.PC.CD,
1986-01-01,AFG,SH.XPD.CHEX.PC.CD,
1987-01-01,AFG,SH.XPD.CHEX.PC.CD,
1988-01-01,AFG,SH.XPD.CHEX.PC.CD,
1989-01-01,AFG,SH.XPD.CHEX.PC.CD,
1990-01-01,AFG,SH.XPD.CHEX.PC.CD,
1991-01-01,AFG,SH.XPD.CHEX.PC.CD,
1992-01-01,AFG,SH.XPD.CHEX.PC.CD,
1993-01-01,AFG,SH.XPD.CHEX.PC.CD,
1994-01-01,AFG,SH.XPD.CHEX.PC.CD,
1995-01-01,AFG,SH.XPD.CHEX.PC.CD,
1996-01-01,AFG,SH.XPD.CHEX.PC.CD,
1997-01-01,AFG,SH.XPD.CHEX.PC.CD,
1998-01-01,AFG,SH.XPD.CHEX.PC.CD,
1999-01-01,AFG,SH.XPD.CHEX.PC.CD,
2000-01-01,AFG,SH.XPD.CHEX.PC.CD,
2001-01-01,AFG,SH.XPD.CHEX.PC.CD,
2002-01-01,AFG,SH.XPD.CHEX.PC.CD,17.00758553
2003-01-01,AFG,SH.XPD.CHEX.PC.CD,17.81492424
2004-01-01,AFG,SH.XPD.CHEX.PC.CD,21.42946434
2005-01-01,AFG,SH.XPD.CHEX.PC.CD,25.10707283
2006-01-01,AFG,SH.XPD.CHEX.PC.CD,28.91982269
2007-01-01,AFG,SH.XPD.CHEX.PC.CD,32.71720505
2008-01-01,AFG,SH.XPD.CHEX.PC.CD,39.96989822
2009-01-01,AFG,SH.XPD.CHEX.PC.CD,43.26076889
2010-01-01,AFG,SH.XPD.CHEX.PC.CD,46.57987976
2011-01-01,AFG,SH.XPD.CHEX.PC.CD,52.36304855
2012-01-01,AFG,SH.XPD.CHEX.PC.CD,52.61354065
2013-01-01,AFG,SH.XPD.CHEX.PC.CD,56.30554199
2014-01-01,AFG,SH.XPD.CHEX.PC.CD,60.18957901
2015-01-01,AFG,SH.XPD.CHEX.PC.CD,60.05854034
2016-01-01,AFG,SH.XPD.CHEX.PC.CD,61.48645782
2017-01-01,AFG,SH.XPD.CHEX.PC.CD,66.90921783
2018-01-01,AFG,SH.XPD.CHEX.PC.CD,71.33430481
2019-01-01,AFG,SH.XPD.CHEX.PC.CD,74.23410797
2020-01-01,AFG,SH.XPD.CHEX.PC.CD,80.28805542
2021-01-01,AFG,SH.XPD.CHEX.PC.CD,81.31976318
2022-01-01,AFG,SH.XPD.CHEX.PC.CD,
2023-01-01,AFG,SH.XPD.CHEX.PC.CD,
1960-01-01,AFW,SH.XPD.CHEX.PC.CD,
1961-01-01,AFW,SH.XPD.CHEX.PC.CD,
1962-01-01,AFW,SH.XPD.CHEX.PC.CD,
1963-01-01,AFW,SH.XPD.CHEX.PC.CD,
1964-01-01,AFW,SH.XPD.CHEX.PC.CD,
1965-01-01,AFW,SH.XPD.CHEX.PC.CD,
1966-01-01,AFW,SH.XPD.CHEX.PC.CD,
1967-01-01,AFW,SH.XPD.CHEX.PC.CD,
1968-01-01,AFW,SH.XPD.CHEX.PC.CD,
1969-01-01,AFW,SH.XPD.CHEX.PC.CD,
1970-01-01,AFW,SH.XPD.CHEX.PC.CD,
1971-01-01,AFW,SH.XPD.CHEX.PC.CD,
1972-01-01,AFW,SH.XPD.CHEX.PC.CD,
1973-01-01,AFW,SH.XPD.CHEX.PC.CD,
1974-01-01,AFW,SH.XPD.CHEX.PC.CD,
1975-01-01,AFW,SH.XPD.CHEX.PC.CD,
1976-01-01,AFW,SH.XPD.CHEX.PC.CD,
1977-01-01,AFW,SH.XPD.CHEX.PC.CD,
1978-01-01,AFW,SH.XPD.CHEX.PC.CD,
1979-01-01,AFW,SH.XPD.CHEX.PC.CD,
1980-01-01,AFW,SH.XPD.CHEX.PC.CD,
1981-01-01,AFW,SH.XPD.CHEX.PC.CD,
1982-01-01,AFW,SH.XPD.CHEX.PC.CD,
1983-01-01,AFW,SH.XPD.CHEX.PC.CD,
1984-01-01,AFW,SH.XPD.CHEX.PC.CD,
1985-01-01,AFW,SH.XPD.CHEX.PC.CD,
1986-01-01,AFW,SH.XPD.CHEX.PC.CD,
1987-01-01,AFW,SH.XPD.CHEX.PC.CD,
1988-01-01,AFW,SH.XPD.CHEX.PC.CD,
1989-01-01,AFW,SH.XPD.CHEX.PC.CD,
1990-01-01,AFW,SH.XPD.CHEX.PC.CD,
1991-01-01,AFW,SH.XPD.CHEX.PC.CD,
1992-01-01,AFW,SH.XPD.CHEX.PC.CD,
1993-01-01,AFW,SH.XPD.CHEX.PC.CD,
1994-01-01,AFW,SH.XPD.CHEX.PC.CD,
1995-01-01,AFW,SH.XPD.CHEX.PC.CD,
1996-01-01,AFW,SH.XPD.CHEX.PC.CD,
1997-01-01,AFW,SH.XPD.CHEX.PC.CD,
1998-01-01,AFW,SH.XPD.CHEX.PC.CD,
1999-01-01,AFW,SH.XPD.CHEX.PC.CD,
2000-01-01,AFW,SH.XPD.CHEX.PC.CD,19.9319910597885
2001-01-01,AFW,SH.XPD.CHEX.PC.CD,20.5949832545489
2002-01-01,AFW,SH.XPD.CHEX.PC.CD,21.7711990471626
2003-01-01,AFW,SH.XPD.CHEX.PC.CD,33.4668752552486
2004-01-01,AFW,SH.XPD.CHEX.PC.CD,37.9164998694285
2005-01-01,AFW,SH.XPD.CHEX.PC.CD,43.3928347433656
2006-01-01,AFW,SH.XPD.CHEX.PC.CD,49.903259542111
2007-01-01,AFW,SH.XPD.CHEX.PC.CD,53.8988787697373
2008-01-01,AFW,SH.XPD.CHEX.PC.CD,62.0963513519559
2009-01-01,AFW,SH.XPD.CHEX.PC.CD,56.6508803253798
2010-01-01,AFW,SH.XPD.CHEX.PC.CD,60.1874674138688
2011-01-01,AFW,SH.XPD.CHEX.PC.CD,67.1748464422327
2012-01-01,AFW,SH.XPD.CHEX.PC.CD,69.6096181921816
2013-01-01,AFW,SH.XPD.CHEX.PC.CD,77.1422499994464
2014-01-01,AFW,SH.XPD.CHEX.PC.CD,80.0270550179751
2015-01-01,AFW,SH.XPD.CHEX.PC.CD,71.6926286025817
2016-01-01,AFW,SH.XPD.CHEX.PC.CD,62.5061628544771
