date,iso_code,indicator_code,value
2018-01-01,AGO,SI.POV.DDAY,31.1
2020-01-01,ALB,SI.POV.DDAY,0.0
2018-01-01,ARE,SI.POV.DDAY,0.0
2022-01-01,ARG,SI.POV.DDAY,0.6
2022-01-01,ARM,SI.POV.DDAY,0.8
2018-01-01,AUS,SI.POV.DDAY,0.5
2021-01-01,AUT,SI.POV.DDAY,0.5
2005-01-01,AZE,SI.POV.DDAY,0.0
2020-01-01,BDI,SI.POV.DDAY,62.1
2021-01-01,BEL,SI.POV.DDAY,0.0
2021-01-01,BEN,SI.POV.DDAY,12.7
2021-01-01,BFA,SI.POV.DDAY,25.3
2022-01-01,BGD,SI.POV.DDAY,5.0
2021-01-01,BGR,SI.POV.DDAY,0.7
2011-01-01,BIH,SI.POV.DDAY,0.1
2020-01-01,BLR,SI.POV.DDAY,0.0
1999-01-01,BLZ,SI.POV.DDAY,19.6
2021-01-01,BOL,SI.POV.DDAY,2.0
2022-01-01,BRA,SI.POV.DDAY,3.5
2022-01-01,BTN,SI.POV.DDAY,0.0
2015-01-01,BWA,SI.POV.DDAY,15.4
2021-01-01,CAF,SI.POV.DDAY,65.7
2019-01-01,CAN,SI.POV.DDAY,0.2
2020-01-01,CHE,SI.POV.DDAY,0.0
2022-01-01,CHL,SI.POV.DDAY,0.4
2021-01-01,CHN,SI.POV.DDAY,0.0
2021-01-01,CIV,SI.POV.DDAY,9.7
2021-01-01,CMR,SI.POV.DDAY,23.0
2020-01-01,COD,SI.POV.DDAY,78.9
2011-01-01,COG,SI.POV.DDAY,35.4
2022-01-01,COL,SI.POV.DDAY,6.0
2014-01-01,COM,SI.POV.DDAY,18.6
2015-01-01,CPV,SI.POV.DDAY,4.6
2023-01-01,CRI,SI.POV.DDAY,0.9
2021-01-01,CYP,SI.POV.DDAY,0.0
2021-01-01,CZE,SI.POV.DDAY,0.1
2020-01-01,DEU,SI.POV.DDAY,0.2
2017-01-01,DJI,SI.POV.DDAY,19.1
2021-01-01,DNK,SI.POV.DDAY,0.2
2022-01-01,DOM,SI.POV.DDAY,0.8
2011-01-01,DZA,SI.POV.DDAY,0.0
2022-01-01,EAS,SI.POV.DDAY,1.0
2022-01-01,ECS,SI.POV.DDAY,0.5
2023-01-01,ECU,SI.POV.DDAY,3.8
2019-01-01,EGY,SI.POV.DDAY,1.5
2021-01-01,ESP,SI.POV.DDAY,0.6
2021-01-01,EST,SI.POV.DDAY,0.3
2015-01-01,ETH,SI.POV.DDAY,27.0
2018-01-01,FCS,SI.POV.DDAY,30.9
2021-01-01,FIN,SI.POV.DDAY,0.0
2019-01-01,FJI,SI.POV.DDAY,1.3
2021-01-01,FRA,SI.POV.DDAY,0.1
2013-01-01,FSM,SI.POV.DDAY,16.0
2017-01-01,GAB,SI.POV.DDAY,2.5
2021-01-01,GBR,SI.POV.DDAY,0.2
2022-01-01,GEO,SI.POV.DDAY,4.3
2016-01-01,GHA,SI.POV.DDAY,25.2
2018-01-01,GIN,SI.POV.DDAY,13.8
2020-01-01,GMB,SI.POV.DDAY,17.2
2021-01-01,GNB,SI.POV.DDAY,26.0
2021-01-01,GRC,SI.POV.DDAY,0.6
2018-01-01,GRD,SI.POV.DDAY,0.3
2014-01-01,GTM,SI.POV.DDAY,9.5
1998-01-01,GUY,SI.POV.DDAY,11.9
2022-01-01,HIC,SI.POV.DDAY,0.5
2019-01-01,HND,SI.POV.DDAY,12.7
2021-01-01,HRV,SI.POV.DDAY,0.3
2012-01-01,HTI,SI.POV.DDAY,29.2
2021-01-01,HUN,SI.POV.DDAY,0.4
2019-01-01,IDA,SI.POV.DDAY,26.2
2023-01-01,IDN,SI.POV.DDAY,1.8
2021-01-01,IND,SI.POV.DDAY,12.9
2021-01-01,IRL,SI.POV.DDAY,0.1
2022-01-01,IRN,SI.POV.DDAY,0.5
2012-01-01,IRQ,SI.POV.DDAY,0.1
2017-01-01,ISL,SI.POV.DDAY,0.0
2021-01-01,ISR,SI.POV.DDAY,0.2
2021-01-01,ITA,SI.POV.DDAY,0.8
2021-01-01,JAM,SI.POV.DDAY,0.3
2010-01-01,JOR,SI.POV.DDAY,0.0
2013-01-01,JPN,SI.POV.DDAY,0.7
2021-01-01,KAZ,SI.POV.DDAY,0.0
2021-01-01,KEN,SI.POV.DDAY,36.1
2022-01-01,KGZ,SI.POV.DDAY,0.3
2019-01-01,KIR,SI.POV.DDAY,1.7
2021-01-01,KOR,SI.POV.DDAY,0.0
2018-01-01,LAO,SI.POV.DDAY,7.1
2011-01-01,LBN,SI.POV.DDAY,0.0
2016-01-01,LBR,SI.POV.DDAY,27.6
2015-01-01,LCA,SI.POV.DDAY,0.1
2022-01-01,LCN,SI.POV.DDAY,3.5
2017-01-01,LIC,SI.POV.DDAY,44.5
2019-01-01,LKA,SI.POV.DDAY,1.0
2022-01-01,LMC,SI.POV.DDAY,12.6
2022-01-01,LMY,SI.POV.DDAY,10.8
2017-01-01,LSO,SI.POV.DDAY,32.4
2021-01-01,LTU,SI.POV.DDAY,0.3
2021-01-01,LUX,SI.POV.DDAY,0.1
2021-01-01,LVA,SI.POV.DDAY,0.4
2013-01-01,MAR,SI.POV.DDAY,1.4
2021-01-01,MDA,SI.POV.DDAY,0.0
2012-01-01,MDG,SI.POV.DDAY,80.7
2019-01-01,MDV,SI.POV.DDAY,0.0
2018-01-01,MEA,SI.POV.DDAY,4.7
2022-01-01,MEX,SI.POV.DDAY,1.2
2019-01-01,MHL,SI.POV.DDAY,0.9
2019-01-01,MKD,SI.POV.DDAY,2.7
2021-01-01,MLI,SI.POV.DDAY,20.8
2020-01-01,MLT,SI.POV.DDAY,0.3
2017-01-01,MMR,SI.POV.DDAY,2.0
2021-01-01,MNE,SI.POV.DDAY,2.0
2022-01-01,MNG,SI.POV.DDAY,0.2
2019-01-01,MOZ,SI.POV.DDAY,74.5
2019-01-01,MRT,SI.POV.DDAY,5.4
2017-01-01,MUS,SI.POV.DDAY,0.1
2019-01-01,MWI,SI.POV.DDAY,70.1
2021-01-01,MYS,SI.POV.DDAY,0.0
2015-01-01,NAM,SI.POV.DDAY,15.6
2021-01-01,NER,SI.POV.DDAY,50.6
2018-01-01,NGA,SI.POV.DDAY,30.9
2014-01-01,NIC,SI.POV.DDAY,3.9
2021-01-01,NLD,SI.POV.DDAY,0.1
2019-01-01,NOR,SI.POV.DDAY,0.2
2022-01-01,NPL,SI.POV.DDAY,0.4
2012-01-01,NRU,SI.POV.DDAY,1.7
2018-01-01,PAK,SI.POV.DDAY,4.9
2023-01-01,PAN,SI.POV.DDAY,1.3
