date,iso_code,indicator,indicator_code,value
2020-01-01,AFE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,42.4471977973822
2020-01-01,AFG,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,45.0
2020-01-01,AFW,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,60.7776428917134
2020-01-01,AGO,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,48.3
2020-01-01,ALB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,8.8
2020-01-01,AND,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.4
2020-01-01,ARB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,25.7799987530914
2020-01-01,ARE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.6
2020-01-01,ARG,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,7.6
2020-01-01,ARM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,9.7
2020-01-01,ATG,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.4
2020-01-01,AUS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.1
2020-01-01,AUT,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.0
2020-01-01,AZE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,17.3
2020-01-01,BDI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,38.6
2020-01-01,BEL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.4
2020-01-01,BEN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,56.5
2020-01-01,BFA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,52.8
2020-01-01,BGD,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,24.3
2020-01-01,BGR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.1
2020-01-01,BHR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.8
2020-01-01,BHS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,10.5
2020-01-01,BIH,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,4.9
2020-01-01,BLR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.2
2020-01-01,BLZ,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,10.0
2020-01-01,BOL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,20.7
2020-01-01,BRA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,13.1
2020-01-01,BRB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.4
2020-01-01,BRN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,9.6
2020-01-01,BTN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,23.2
2020-01-01,BWA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,36.1
2020-01-01,CAF,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,77.5
2020-01-01,CAN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,4.4
2020-01-01,CEB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.92658547392053
2020-01-01,CHE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.5
2020-01-01,CHL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.8
2020-01-01,CHN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.5
2020-01-01,CIV,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,57.9
2020-01-01,CMR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,48.3
2020-01-01,COD,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,63.8
2020-01-01,COG,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,33.0
2020-01-01,COL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.4
2020-01-01,COM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,47.2
2020-01-01,CPV,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,12.2
2020-01-01,CRI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,6.7
2020-01-01,CSS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,14.0499521768394
2020-01-01,CUB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,4.1
2020-01-01,CYP,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.3
2020-01-01,CZE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.3
2020-01-01,DEU,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.1
2020-01-01,DJI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,47.2
2020-01-01,DMA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,31.7
2020-01-01,DNK,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.1
2020-01-01,DOM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,27.9
2020-01-01,DZA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,19.5
2020-01-01,EAP,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.5513498559687
2020-01-01,EAR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,26.7254846153556
2020-01-01,EAS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.0
2020-01-01,ECA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,9.37448974001963
2020-01-01,ECS,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,6.5
2020-01-01,ECU,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.1
2020-01-01,EGY,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,16.6
2020-01-01,EMU,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.05844048629935
2020-01-01,ERI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,29.7
2020-01-01,ESP,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.7
2020-01-01,EST,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,1.7
2020-01-01,ETH,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,35.4
2020-01-01,EUU,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.2244856014062
