date,value,value_high,value_low,iso_code
2022-08-19,36938585,36938585,36938585,AFG
2022-08-20,36852967,36852967,36852967,AFG
2022-08-21,36822577,36822577,36822577,AFG
2022-08-22,36915824,36915824,36915824,AFG
2022-08-23,37003963,37003963,37003963,AFG
2022-08-24,37074594,37074594,37074594,AFG
2022-08-25,36985776,36985776,36985776,AFG
2022-08-26,36912845,36912845,36912845,AFG
2022-08-27,36856624,36856624,36856624,AFG
2022-08-28,36837908,36837908,36837908,AFG
2022-08-29,36789941,36789941,36789941,AFG
2022-08-30,36696504,36696504,36696504,AFG
2022-08-31,36647238,36647238,36647238,AFG
2022-09-01,36607138,36607138,36607138,AFG
2022-09-02,36807372,36807372,36807372,AFG
2022-09-03,36722470,36722470,36722470,AFG
2022-09-04,36571113,36571113,36571113,AFG
2022-09-05,36547111,36547111,36547111,AFG
2022-09-06,36608716,36608716,36608716,AFG
2022-09-07,36646980,36646980,36646980,AFG
2022-09-08,36656674,36656674,36656674,AFG
2022-09-09,36577822,36577822,36577822,AFG
2022-09-10,36645344,36645344,36645344,AFG
2022-09-11,36694549,36694549,36694549,AFG
2022-09-12,36670032,36670032,36670032,AFG
2022-09-13,36673815,36673815,36673815,AFG
2022-09-14,36701613,36701613,36701613,AFG
2022-09-15,36680662,36680662,36680662,AFG
2022-09-16,36623630,36623630,36623630,AFG
2022-09-17,36628390,36628390,36628390,AFG
2022-09-18,36752062,36752062,36752062,AFG
2022-09-19,36757259,36757259,36757259,AFG
2022-09-20,36760963,36760963,36760963,AFG
2022-09-21,36733570,36733570,36733570,AFG
2022-09-22,36678245,36678245,36678245,AFG
2022-09-23,36547026,36547026,36547026,AFG
2022-09-24,36613557,36613557,36613557,AFG
2022-09-25,36525510,36525510,36525510,AFG
2022-09-26,36429124,36429124,36429124,AFG
2022-09-27,36474799,36474799,36474799,AFG
2022-09-28,36316088,36316088,36316088,AFG
2022-09-29,36345565,36345565,36345565,AFG
2022-09-30,36359054,36359054,36359054,AFG
2022-10-01,36382670,36382670,36382670,AFG
2022-10-02,36106190,36106190,36106190,AFG
2022-10-03,36045602,36045602,36045602,AFG
2022-10-04,36175401,36175401,36175401,AFG
2022-10-05,36277054,36277054,36277054,AFG
2022-10-06,36365163,36365163,36365163,AFG
2022-10-07,36391208,36391208,36391208,AFG
2022-10-08,36275135,36275135,36275135,AFG
2022-10-09,36280200,36280200,36280200,AFG
2022-10-10,36221709,36221709,36221709,AFG
2022-10-11,36141984,36141984,36141984,AFG
2022-10-12,35917420,35917420,35917420,AFG
2022-10-13,35982163,35982163,35982163,AFG
2022-10-14,35944266,35944266,35944266,AFG
2022-10-15,36002923,36002923,36002923,AFG
2022-10-16,36220032,36220032,36220032,AFG
2022-10-17,36382300,36382300,36382300,AFG
2022-10-18,36360738,36360738,36360738,AFG
2022-10-19,36466019,36466019,36466019,AFG
2022-10-20,36505411,36505411,36505411,AFG
2022-10-21,36630296,36630296,36630296,AFG
2022-10-22,36786378,36786378,36786378,AFG
2022-10-23,36874639,36874639,36874639,AFG
2022-10-24,36790983,36790983,36790983,AFG
2022-10-25,37020457,37020457,37020457,AFG
2022-10-26,37100569,37100569,37100569,AFG
2022-10-27,36890212,36890212,36890212,AFG
2022-10-28,37042151,37042151,37042151,AFG
2022-10-29,37033925,37033925,37033925,AFG
2022-10-30,37032026,37032026,37032026,AFG
2022-10-31,37043389,37043389,37043389,AFG
2022-11-01,36978440,36978440,36978440,AFG
2022-11-02,36913589,36913589,36913589,AFG
2022-11-03,36954716,36954716,36954716,AFG
2022-11-04,36847912,36847912,36847912,AFG
2022-11-05,36809541,36809541,36809541,AFG
2022-11-06,36714392,36714392,36714392,AFG
2022-11-07,36750679,36750679,36750679,AFG
2022-11-08,36662416,36662416,36662416,AFG
2022-11-09,36793677,36793677,36793677,AFG
2022-11-10,36894286,36894286,36894286,AFG
2022-11-11,37008241,37008241,37008241,AFG
2022-11-12,36999531,36999531,36999531,AFG
2022-11-13,36941617,36941617,36941617,AFG
2022-11-14,37044228,37044228,37044228,AFG
2022-11-15,36999592,36999592,36999592,AFG
2022-11-16,36983005,36983005,36983005,AFG
2022-11-17,36832026,36832026,36832026,AFG
2022-11-18,36808692,36808692,36808692,AFG
2022-11-19,36561051,36561051,36561051,AFG
