date,value,value_high,value_low,iso_code
2022-07-04,3695930,3695930,3695930,AGO
2022-07-05,3721142,3721142,3721142,AGO
2022-07-06,3753374,3753374,3753374,AGO
2022-07-07,3791679,3791679,3791679,AGO
2022-07-08,3790056,3790056,3790056,AGO
2022-07-09,3805765,3805765,3805765,AGO
2022-07-10,3939134,3939134,3939134,AGO
2022-07-11,3853026,3853026,3853026,AGO
2022-07-12,3820682,3820682,3820682,AGO
2022-07-13,3820195,3820195,3820195,AGO
2022-07-14,3759655,3759655,3759655,AGO
2022-07-15,3738797,3738797,3738797,AGO
2022-07-16,3682123,3682123,3682123,AGO
2022-07-17,3714318,3714318,3714318,AGO
2022-07-18,3704239,3704239,3704239,AGO
2022-07-19,3788739,3788739,3788739,AGO
2022-07-20,3849751,3849751,3849751,AGO
2022-07-21,3870635,3870635,3870635,AGO
2022-07-22,3935692,3935692,3935692,AGO
2022-07-23,3950755,3950755,3950755,AGO
2022-07-24,3849358,3849358,3849358,AGO
2022-07-25,3796114,3796114,3796114,AGO
2022-07-26,3900655,3900655,3900655,AGO
2022-07-27,3868510,3868510,3868510,AGO
2022-07-28,3876480,3876480,3876480,AGO
2022-07-29,3855932,3855932,3855932,AGO
2022-07-30,3837399,3837399,3837399,AGO
2022-07-31,3770761,3770761,3770761,AGO
2022-08-01,3666802,3666802,3666802,AGO
2022-08-02,3548665,3548665,3548665,AGO
2022-08-03,3477975,3477975,3477975,AGO
2022-08-04,3494340,3494340,3494340,AGO
2022-08-05,3466703,3466703,3466703,AGO
2022-08-06,3550196,3550196,3550196,AGO
2022-08-07,3562627,3562627,3562627,AGO
2022-08-08,3556680,3556680,3556680,AGO
2022-08-09,3595339,3595339,3595339,AGO
2022-08-10,3536483,3536483,3536483,AGO
2022-08-11,3483763,3483763,3483763,AGO
2022-08-12,3569630,3569630,3569630,AGO
2022-08-13,3557875,3557875,3557875,AGO
2022-08-14,3506853,3506853,3506853,AGO
2022-08-15,3471878,3471878,3471878,AGO
2022-08-16,3449228,3449228,3449228,AGO
2022-08-17,3477545,3477545,3477545,AGO
2022-08-18,3449912,3449912,3449912,AGO
2022-08-19,3497991,3497991,3497991,AGO
2022-08-20,3562261,3562261,3562261,AGO
2022-08-21,3713347,3713347,3713347,AGO
2022-08-22,3719502,3719502,3719502,AGO
2022-08-23,3783447,3783447,3783447,AGO
2022-08-24,3841915,3841915,3841915,AGO
2022-08-25,3895678,3895678,3895678,AGO
2022-08-26,3959793,3959793,3959793,AGO
2022-08-27,3924524,3924524,3924524,AGO
2022-08-28,3933271,3933271,3933271,AGO
2022-08-29,3961687,3961687,3961687,AGO
2022-08-30,4005647,4005647,4005647,AGO
2022-08-31,3951512,3951512,3951512,AGO
2022-09-01,3957307,3957307,3957307,AGO
2022-09-02,4020305,4020305,4020305,AGO
2022-09-03,4014855,4014855,4014855,AGO
2022-09-04,3987792,3987792,3987792,AGO
2022-09-05,3884161,3884161,3884161,AGO
2022-09-06,3873914,3873914,3873914,AGO
2022-09-07,3880660,3880660,3880660,AGO
2022-09-08,3765782,3765782,3765782,AGO
2022-09-09,3695014,3695014,3695014,AGO
2022-09-10,3779031,3779031,3779031,AGO
2022-09-11,3721720,3721720,3721720,AGO
2022-09-12,3658751,3658751,3658751,AGO
2022-09-13,3764453,3764453,3764453,AGO
2022-09-14,3870275,3870275,3870275,AGO
2022-09-15,3868166,3868166,3868166,AGO
2022-09-16,3948447,3948447,3948447,AGO
2022-09-17,3668203,3668203,3668203,AGO
2022-09-18,3692491,3692491,3692491,AGO
2022-09-19,3628283,3628283,3628283,AGO
2022-09-20,3875356,3875356,3875356,AGO
2022-09-21,3868091,3868091,3868091,AGO
2022-09-22,3976507,3976507,3976507,AGO
2022-09-23,4000313,4000313,4000313,AGO
2022-09-24,3942016,3942016,3942016,AGO
2022-09-25,3829545,3829545,3829545,AGO
2022-09-26,3802225,3802225,3802225,AGO
2022-09-27,3821818,3821818,3821818,AGO
2022-09-28,3844563,3844563,3844563,AGO
2022-09-29,3834103,3834103,3834103,AGO
2022-09-30,3913167,3913167,3913167,AGO
2022-10-01,4498683,4498683,4498683,AGO
2022-10-02,4510496,4510496,4510496,AGO
2022-10-03,4517432,4517432,4517432,AGO
2022-10-04,4756359,4756359,4756359,AGO
