date,value,value_high,value_low,iso_code
2022-07-16,471209,677316,346650,ARM
2022-07-17,471209,677316,346650,ARM
2022-07-18,471209,677316,346650,ARM
2022-07-19,471209,677316,346650,ARM
2022-07-20,471209,677316,346650,ARM
2022-07-21,469740,677401,345232,ARM
2022-07-22,471245,676951,347046,ARM
2022-07-23,471245,676951,347046,ARM
2022-07-24,471245,676951,347046,ARM
2022-07-25,471245,676951,347046,ARM
2022-07-26,471245,676951,347046,ARM
2022-07-27,471245,676951,347046,ARM
2022-07-28,471245,676951,347046,ARM
2022-07-29,470704,676100,341383,ARM
2022-07-30,470704,676100,341383,ARM
2022-07-31,471183,676627,346938,ARM
2022-08-01,472495,681112,347453,ARM
2022-08-02,472495,681112,347453,ARM
2022-08-03,472495,681112,347453,ARM
2022-08-04,472495,681112,347453,ARM
2022-08-05,472495,681112,347453,ARM
2022-08-06,472495,681112,347453,ARM
2022-08-07,472495,681112,347453,ARM
2022-08-08,472495,681112,347453,ARM
2022-08-09,472495,681112,347453,ARM
2022-08-10,472495,681112,347453,ARM
2022-08-11,471017,679828,346119,ARM
2022-08-12,471017,679828,346119,ARM
2022-08-13,471017,679828,346119,ARM
2022-08-14,471017,679828,346119,ARM
2022-08-15,471017,679828,346119,ARM
2022-08-16,471017,679828,346119,ARM
2022-08-17,471083,679828,346119,ARM
2022-08-18,471083,679828,346119,ARM
2022-08-19,471083,679828,346119,ARM
2022-08-20,471083,679828,346119,ARM
2022-08-21,474240,681936,347083,ARM
2022-08-22,474240,681936,347083,ARM
2022-08-23,474240,681936,347083,ARM
2022-08-24,474240,681936,347083,ARM
2022-08-25,474240,681936,347083,ARM
2022-08-26,474240,681936,347083,ARM
2022-08-27,474240,681936,347083,ARM
2022-08-28,474240,681936,347083,ARM
2022-08-29,474240,681936,347083,ARM
2022-08-30,474240,681936,347083,ARM
2022-08-31,475835,684381,347499,ARM
2022-09-01,479499,685526,352507,ARM
2022-09-02,479499,685526,352507,ARM
2022-09-03,479499,685526,352507,ARM
2022-09-04,479499,685526,352507,ARM
2022-09-05,479499,685526,352507,ARM
2022-09-06,479499,685526,352507,ARM
2022-09-07,479499,685526,352507,ARM
2022-09-08,479499,685526,352507,ARM
2022-09-09,479499,685526,352558,ARM
2022-09-10,479499,685526,352558,ARM
2022-09-11,479399,686575,353593,ARM
2022-09-12,479399,686575,353593,ARM
2022-09-13,479399,686575,353593,ARM
2022-09-14,479399,686575,353593,ARM
2022-09-15,479399,686575,353593,ARM
2022-09-16,479399,686575,353593,ARM
2022-09-17,479370,686575,353593,ARM
2022-09-18,479370,686575,353593,ARM
2022-09-19,479370,686575,353593,ARM
2022-09-20,480935,687257,359260,ARM
2022-09-21,480943,685305,358180,ARM
2022-09-22,480943,685305,358180,ARM
2022-09-23,480943,685305,358180,ARM
2022-09-24,480943,685305,358180,ARM
2022-09-25,480943,685305,358180,ARM
2022-09-26,480943,685305,358180,ARM
2022-09-27,481690,688095,358333,ARM
2022-09-28,481864,690477,358349,ARM
2022-09-29,481864,690477,358349,ARM
2022-09-30,481864,689612,358349,ARM
2022-10-01,479898,688986,358044,ARM
2022-10-02,473541,679022,355640,ARM
2022-10-03,474796,682676,355750,ARM
2022-10-04,474796,682676,355750,ARM
2022-10-05,474796,682676,355750,ARM
2022-10-06,475370,683421,356218,ARM
2022-10-07,475649,683421,357940,ARM
2022-10-08,475649,683421,357940,ARM
2022-10-09,475649,683421,357940,ARM
2022-10-10,475649,683421,357940,ARM
2022-10-11,474631,683969,357514,ARM
2022-10-12,474631,683969,357514,ARM
2022-10-13,474631,683969,357514,ARM
2022-10-14,474631,683969,357514,ARM
2022-10-15,476055,695286,359319,ARM
2022-10-16,476055,695286,359319,ARM
