date,value,value_high,value_low,iso_code
2022-08-23,4074822,4539818,3594876,BDI
2022-08-24,4074822,4539818,3594876,BDI
2022-08-25,4074822,4539818,3594876,BDI
2022-08-26,4074822,4539818,3594876,BDI
2022-08-27,4074822,4539818,3594876,BDI
2022-08-28,4074822,4539818,3594876,BDI
2022-08-29,4074822,4539818,3594876,BDI
2022-08-30,4074822,4539818,3594876,BDI
2022-08-31,4075532,4539818,3594876,BDI
2022-09-01,4074296,4540716,3585584,BDI
2022-09-02,4074296,4540716,3585584,BDI
2022-09-03,4074296,4540716,3585584,BDI
2022-09-04,4074296,4540716,3585584,BDI
2022-09-05,4074296,4540716,3585584,BDI
2022-09-06,4074296,4540716,3585584,BDI
2022-09-07,4074296,4540716,3585584,BDI
2022-09-08,4074296,4540716,3585584,BDI
2022-09-09,4073255,4539923,3585584,BDI
2022-09-10,4073255,4539923,3585584,BDI
2022-09-11,4072099,4540219,3589612,BDI
2022-09-12,4072099,4540219,3589612,BDI
2022-09-13,4072099,4540219,3589612,BDI
2022-09-14,4072099,4540219,3589612,BDI
2022-09-15,4072099,4540219,3589612,BDI
2022-09-16,4071967,4540219,3589612,BDI
2022-09-17,4072099,4540219,3589612,BDI
2022-09-18,4072099,4540219,3589612,BDI
2022-09-19,4072099,4540219,3589612,BDI
2022-09-20,4072099,4540219,3589612,BDI
2022-09-21,4090595,4560373,3600574,BDI
2022-09-22,4090374,4560373,3600574,BDI
2022-09-23,4090223,4559641,3600574,BDI
2022-09-24,4090374,4560373,3600574,BDI
2022-09-25,4090595,4560373,3600574,BDI
2022-09-26,4090595,4560373,3600574,BDI
2022-09-27,4090595,4560373,3600574,BDI
2022-09-28,4090595,4560373,3600574,BDI
2022-09-29,4090595,4560373,3600574,BDI
2022-09-30,4090030,4560087,3600707,BDI
2022-10-01,4089940,4564217,3596629,BDI
2022-10-02,4099190,4564964,3617835,BDI
2022-10-03,4099302,4564964,3617835,BDI
2022-10-04,4099302,4564964,3617835,BDI
2022-10-05,4099302,4564964,3617835,BDI
2022-10-06,4110522,4579521,3615767,BDI
2022-10-07,4110522,4579521,3615767,BDI
2022-10-08,4110522,4579521,3615767,BDI
2022-10-09,4110522,4579521,3615767,BDI
2022-10-10,4110892,4580331,3615767,BDI
2022-10-11,4109701,4580397,3618441,BDI
2022-10-12,4109550,4579588,3618441,BDI
2022-10-13,4109550,4579588,3618441,BDI
2022-10-14,4112883,4581443,3626193,BDI
2022-10-15,4139188,4597905,3641949,BDI
2022-10-16,4152083,4599778,3652384,BDI
2022-10-17,4152083,4599778,3652384,BDI
2022-10-18,4152083,4599778,3652384,BDI
2022-10-19,4152083,4599778,3652384,BDI
2022-10-20,4152083,4599778,3652384,BDI
2022-10-21,4150774,4600174,3643784,BDI
2022-10-22,4150050,4600174,3643784,BDI
2022-10-23,4150774,4600174,3643784,BDI
2022-10-24,4150774,4601298,3643784,BDI
2022-10-25,4150774,4601298,3643784,BDI
2022-10-26,4136742,4586273,3629372,BDI
2022-10-27,4136018,4585149,3629372,BDI
2022-10-28,4158465,4596538,3649786,BDI
2022-10-29,4158465,4596538,3649786,BDI
2022-10-30,4158465,4596538,3649786,BDI
2022-10-31,4158675,4596538,3649786,BDI
2022-11-01,4176387,4614281,3653481,BDI
2022-11-02,4176925,4614531,3652973,BDI
2022-11-03,4175926,4614860,3657654,BDI
2022-11-04,4177561,4621488,3662111,BDI
2022-11-05,4176271,4625316,3661415,BDI
2022-11-06,4176271,4625316,3661415,BDI
2022-11-07,4177483,4621260,3661205,BDI
2022-11-08,4176916,4624297,3660937,BDI
2022-11-09,4177483,4621260,3661205,BDI
2022-11-10,4208268,4641784,3683030,BDI
2022-11-11,4241242,4689535,3705403,BDI
2022-11-12,4243700,4691763,3704020,BDI
2022-11-13,4243700,4691763,3704020,BDI
2022-11-14,4241604,4684195,3695283,BDI
2022-11-15,4244341,4692486,3702702,BDI
2022-11-16,4284024,4719040,3735686,BDI
2022-11-17,4284024,4719040,3735686,BDI
2022-11-18,4282527,4721312,3736518,BDI
2022-11-19,4283021,4720273,3735024,BDI
2022-11-20,4279847,4711820,3731230,BDI
2022-11-21,4302417,4740798,3737737,BDI
2022-11-22,4302417,4740798,3737737,BDI
2022-11-23,4302417,4740798,3737737,BDI
