date,value,value_high,value_low,iso_code
2022-01-05,5070418,5070418,5070418,BEN
2021-10-11,5126952,5126952,5126952,BEN
2021-10-12,5168735,5168735,5168735,BEN
2021-10-13,5177724,5177724,5177724,BEN
2021-10-14,5178767,5178767,5178767,BEN
2021-10-15,5222533,5222533,5222533,BEN
2021-10-16,5189221,5189221,5189221,BEN
2021-10-17,5174550,5174550,5174550,BEN
2021-10-18,5124725,5124725,5124725,BEN
2021-10-19,5149705,5149705,5149705,BEN
2021-10-20,5157303,5157303,5157303,BEN
2021-10-21,5245242,5245242,5245242,BEN
2021-10-22,5304641,5304641,5304641,BEN
2021-10-23,5267768,5267768,5267768,BEN
2021-10-24,5289770,5289770,5289770,BEN
2021-10-25,5208759,5208759,5208759,BEN
2021-10-26,5184281,5184281,5184281,BEN
2021-10-27,5112585,5112585,5112585,BEN
2021-10-28,5107018,5107018,5107018,BEN
2021-10-29,5063968,5063968,5063968,BEN
2021-10-30,5042542,5042542,5042542,BEN
2021-10-31,5039073,5039073,5039073,BEN
2021-11-01,5020195,5020195,5020195,BEN
2021-11-02,5067878,5067878,5067878,BEN
2021-11-03,5097661,5097661,5097661,BEN
2021-11-04,5034603,5034603,5034603,BEN
2021-11-05,5061425,5061425,5061425,BEN
2021-11-06,5098341,5098341,5098341,BEN
2021-11-07,5054210,5054210,5054210,BEN
2021-11-08,5049433,5049433,5049433,BEN
2021-11-09,5069253,5069253,5069253,BEN
2021-11-10,5082814,5082814,5082814,BEN
2021-11-11,5018957,5018957,5018957,BEN
2021-11-12,5001050,5001050,5001050,BEN
2021-11-13,5001242,5001242,5001242,BEN
2021-11-14,4984363,4984363,4984363,BEN
2021-11-15,4971735,4971735,4971735,BEN
2021-11-16,4867419,4867419,4867419,BEN
2021-11-17,4893571,4893571,4893571,BEN
2021-11-18,4847353,4847353,4847353,BEN
2021-11-19,4897202,4897202,4897202,BEN
2021-11-20,4850747,4850747,4850747,BEN
2021-11-21,4813707,4813707,4813707,BEN
2021-11-22,4779137,4779137,4779137,BEN
2021-11-23,4803545,4803545,4803545,BEN
2021-11-24,4790809,4790809,4790809,BEN
2021-11-25,4838900,4838900,4838900,BEN
2021-11-26,4895388,4895388,4895388,BEN
2021-11-27,4890823,4890823,4890823,BEN
2021-11-28,4894173,4894173,4894173,BEN
2021-11-29,5000799,5000799,5000799,BEN
2021-11-30,5031130,5031130,5031130,BEN
2021-12-01,5032652,5032652,5032652,BEN
2021-12-02,5042493,5042493,5042493,BEN
2021-12-03,5019834,5019834,5019834,BEN
2021-12-04,5029719,5029719,5029719,BEN
2021-12-05,5001425,5001425,5001425,BEN
2021-12-06,4972352,4972352,4972352,BEN
2021-12-07,4958104,4958104,4958104,BEN
2021-12-08,4975178,4975178,4975178,BEN
2021-12-09,4976575,4976575,4976575,BEN
2021-12-10,4986300,4986300,4986300,BEN
2021-12-11,5050380,5050380,5050380,BEN
2021-12-12,5084654,5084654,5084654,BEN
2021-12-13,5060202,5060202,5060202,BEN
2021-12-14,5072309,5072309,5072309,BEN
2021-12-15,5092870,5092870,5092870,BEN
2021-12-16,5144980,5144980,5144980,BEN
2021-12-17,5126577,5126577,5126577,BEN
2021-12-18,5097711,5097711,5097711,BEN
2021-12-19,5093563,5093563,5093563,BEN
2021-12-20,5108261,5108261,5108261,BEN
2021-12-21,5086663,5086663,5086663,BEN
2021-12-22,5112301,5112301,5112301,BEN
2021-12-23,5143092,5143092,5143092,BEN
2021-12-24,5131604,5131604,5131604,BEN
2021-12-25,5128681,5128681,5128681,BEN
2021-12-26,5122675,5122675,5122675,BEN
2021-12-27,5178483,5178483,5178483,BEN
2021-12-28,5251521,5251521,5251521,BEN
2021-12-29,5176360,5176360,5176360,BEN
2021-12-30,5110019,5110019,5110019,BEN
2021-12-31,5113763,5113763,5113763,BEN
2022-01-01,5060123,5060123,5060123,BEN
2022-01-02,5062145,5062145,5062145,BEN
2022-01-03,5109074,5109074,5109074,BEN
2022-01-04,5067918,5067918,5067918,BEN
2022-01-05,5070417,5070417,5070417,BEN
2022-01-06,5117122,5117122,5117122,BEN
2022-01-07,5108519,5108519,5108519,BEN
2022-01-08,5080856,5080856,5080856,BEN
2022-01-09,5036287,5036287,5036287,BEN
2022-01-10,4955347,4955347,4955347,BEN
2022-01-11,4917495,4917495,4917495,BEN
