date,value,value_high,value_low,iso_code
2022-09-01,185365,212368,157608,BTN
2022-09-02,185365,212368,157608,BTN
2022-09-03,185365,212368,157608,BTN
2022-09-04,185365,212368,157608,BTN
2022-09-05,185367,212374,157610,BTN
2022-09-06,185367,212374,157610,BTN
2022-09-07,185367,212374,157610,BTN
2022-09-08,185367,212374,157610,BTN
2022-09-09,185367,212374,157610,BTN
2022-09-10,185367,212374,157610,BTN
2022-09-11,184971,211882,157441,BTN
2022-09-12,184971,211882,157441,BTN
2022-09-13,184971,211882,157441,BTN
2022-09-14,184971,211875,157439,BTN
2022-09-15,184971,211882,157441,BTN
2022-09-16,184971,211882,157441,BTN
2022-09-17,184971,211875,157439,BTN
2022-09-18,184971,211875,157439,BTN
2022-09-19,184971,211875,157439,BTN
2022-09-20,184971,211875,157439,BTN
2022-09-21,186284,213577,158145,BTN
2022-09-22,186284,213577,158145,BTN
2022-09-23,186285,213584,158147,BTN
2022-09-24,186285,213584,158147,BTN
2022-09-25,186284,213577,158145,BTN
2022-09-26,186284,213577,158145,BTN
2022-09-27,186284,213577,158145,BTN
2022-09-28,186284,213577,158145,BTN
2022-09-29,186284,213577,158145,BTN
2022-09-30,186284,213577,158145,BTN
2022-10-01,186488,214312,158119,BTN
2022-10-02,186488,214312,158119,BTN
2022-10-03,186376,214312,158119,BTN
2022-10-04,186376,214312,158119,BTN
2022-10-05,186376,214312,158119,BTN
2022-10-06,187060,214670,158865,BTN
2022-10-07,187193,214724,158865,BTN
2022-10-08,187060,214670,158865,BTN
2022-10-09,187060,214670,158865,BTN
2022-10-10,187060,214670,158865,BTN
2022-10-11,187425,215168,160300,BTN
2022-10-12,187425,215168,160300,BTN
2022-10-13,187425,215168,160300,BTN
2022-10-14,187425,215168,160300,BTN
2022-10-15,188144,216326,160974,BTN
2022-10-16,188144,216326,160974,BTN
2022-10-17,188220,216326,160974,BTN
2022-10-18,188571,216271,161172,BTN
2022-10-19,188571,216271,161172,BTN
2022-10-20,188571,216271,161172,BTN
2022-10-21,188292,215384,161046,BTN
2022-10-22,188292,215384,161014,BTN
2022-10-23,188292,215384,161014,BTN
2022-10-24,188292,215384,161046,BTN
2022-10-25,188292,215384,161046,BTN
2022-10-26,188292,215384,161046,BTN
2022-10-27,188292,215384,161046,BTN
2022-10-28,188221,215225,161277,BTN
2022-10-29,188221,215225,161277,BTN
2022-10-30,188221,215225,161309,BTN
2022-10-31,188221,215225,161309,BTN
2022-11-01,188518,215890,161776,BTN
2022-11-02,188518,215890,161776,BTN
2022-11-03,188512,215890,161776,BTN
2022-11-04,188512,215890,161776,BTN
2022-11-05,188512,215890,161776,BTN
2022-11-06,188512,215890,161776,BTN
2022-11-07,188512,215890,161776,BTN
2022-11-08,188522,215890,161776,BTN
2022-11-09,188522,215890,161776,BTN
2022-11-10,188021,215365,161052,BTN
2022-11-11,188707,216635,162560,BTN
2022-11-12,188707,216635,162560,BTN
2022-11-13,188707,216635,162560,BTN
2022-11-14,188707,216635,162560,BTN
2022-11-15,188707,216635,162560,BTN
2022-11-16,187977,216276,161661,BTN
2022-11-17,187977,216276,161661,BTN
2022-11-18,187977,216276,161661,BTN
2022-11-19,187977,216276,161661,BTN
2022-11-20,187977,216276,161661,BTN
2022-11-21,188862,216977,162494,BTN
2022-11-22,188862,216977,162494,BTN
2022-11-23,188862,216977,162494,BTN
2022-11-24,188862,216977,162494,BTN
2022-11-25,188074,216059,161389,BTN
2022-11-26,188074,216059,161389,BTN
2022-11-27,188074,216059,161426,BTN
2022-11-28,188074,216059,161426,BTN
2022-11-29,188074,216059,161426,BTN
2022-11-30,188074,216059,161426,BTN
2022-12-01,188667,216794,161373,BTN
