date,value,value_high,value_low,iso_code
2022-07-18,1647673,1726337,1570915,CAF
2022-07-19,1672897,1751561,1596139,CAF
2022-07-20,1674293,1752957,1597535,CAF
2022-07-21,1695556,1775208,1620049,CAF
2022-07-22,1688334,1767007,1612834,CAF
2022-07-23,1690486,1769159,1614986,CAF
2022-07-24,1695242,1773915,1619742,CAF
2022-07-25,1690871,1769544,1615371,CAF
2022-07-26,1691838,1770511,1616338,CAF
2022-07-27,1704004,1782677,1628504,CAF
2022-07-28,1719363,1798036,1643863,CAF
2022-07-29,1713866,1792145,1639675,CAF
2022-07-30,1723044,1801323,1648853,CAF
2022-07-31,1732212,1810516,1658046,CAF
2022-08-01,1725764,1802221,1650256,CAF
2022-08-02,1726029,1802486,1650521,CAF
2022-08-03,1732057,1808514,1656549,CAF
2022-08-04,1735344,1811801,1659836,CAF
2022-08-05,1760961,1837418,1685453,CAF
2022-08-06,1793323,1869780,1717815,CAF
2022-08-07,1773099,1849481,1697591,CAF
2022-08-08,1785847,1862229,1710339,CAF
2022-08-09,1815854,1892236,1740346,CAF
2022-08-10,1812645,1889027,1737137,CAF
2022-08-11,1830241,1906051,1754428,CAF
2022-08-12,1848869,1924679,1773056,CAF
2022-08-13,1823295,1899105,1747482,CAF
2022-08-14,1811348,1887158,1735535,CAF
2022-08-15,1793495,1869305,1717682,CAF
2022-08-16,1786183,1861993,1709983,CAF
2022-08-17,1781865,1857675,1705665,CAF
2022-08-18,1764019,1839829,1687819,CAF
2022-08-19,1766980,1842790,1691167,CAF
2022-08-20,1720886,1796689,1644689,CAF
2022-08-21,1727755,1804435,1651454,CAF
2022-08-22,1721195,1797875,1644894,CAF
2022-08-23,1690522,1767202,1614221,CAF
2022-08-24,1683535,1760215,1607621,CAF
2022-08-25,1711836,1788516,1635922,CAF
2022-08-26,1697584,1774264,1621670,CAF
2022-08-27,1689243,1765923,1613329,CAF
2022-08-28,1678005,1754685,1602091,CAF
2022-08-29,1685977,1762657,1610063,CAF
2022-08-30,1684680,1761360,1608766,CAF
2022-08-31,1683150,1760379,1607886,CAF
2022-09-01,1690001,1767084,1613951,CAF
2022-09-02,1685286,1761501,1609251,CAF
2022-09-03,1679372,1755638,1603388,CAF
2022-09-04,1670114,1746329,1594079,CAF
2022-09-05,1638053,1714268,1562018,CAF
2022-09-06,1648542,1724757,1572507,CAF
2022-09-07,1647933,1724148,1571898,CAF
2022-09-08,1633352,1710151,1557317,CAF
2022-09-09,1630801,1707600,1554766,CAF
2022-09-10,1625105,1701904,1549070,CAF
2022-09-11,1598195,1674333,1522174,CAF
2022-09-12,1590610,1666748,1514589,CAF
2022-09-13,1606908,1683046,1530887,CAF
2022-09-14,1620957,1697095,1544936,CAF
2022-09-15,1622905,1699043,1546884,CAF
2022-09-16,1619932,1696654,1543911,CAF
2022-09-17,1613615,1689753,1537594,CAF
2022-09-18,1595213,1671351,1519192,CAF
2022-09-19,1608229,1684367,1532208,CAF
2022-09-20,1596654,1672792,1520633,CAF
2022-09-21,1593894,1670128,1517869,CAF
2022-09-22,1605981,1682799,1529956,CAF
2022-09-23,1618685,1695113,1542479,CAF
2022-09-24,1607828,1683014,1533598,CAF
2022-09-25,1600980,1676155,1526489,CAF
2022-09-26,1584845,1660020,1510354,CAF
2022-09-27,1597747,1672922,1523256,CAF
2022-09-28,1583817,1659003,1509368,CAF
2022-09-29,1564864,1640050,1490415,CAF
2022-09-30,1561104,1636290,1486655,CAF
2022-10-01,1559776,1634454,1486247,CAF
2022-10-02,1577104,1652309,1504121,CAF
2022-10-03,1578465,1653143,1504936,CAF
2022-10-04,1588484,1663162,1514955,CAF
2022-10-05,1603660,1678338,1530131,CAF
2022-10-06,1584826,1659216,1513096,CAF
2022-10-07,1579077,1653467,1507347,CAF
2022-10-08,1580046,1654412,1508382,CAF
2022-10-09,1578183,1652549,1506519,CAF
2022-10-10,1586821,1660678,1515157,CAF
2022-10-11,1573342,1647641,1502016,CAF
2022-10-12,1587742,1662041,1516416,CAF
2022-10-13,1585389,1659805,1514180,CAF
2022-10-14,1594372,1668671,1523046,CAF
2022-10-15,1583291,1656966,1512377,CAF
2022-10-16,1587282,1661008,1516419,CAF
2022-10-17,1609739,1683465,1538876,CAF
2022-10-18,1611248,1684974,1540385,CAF
