date,value,value_high,value_low,iso_code
2022-09-24,5211317,5211317,5211317,CIV
2022-09-25,5179237,5179237,5179237,CIV
2022-09-26,5089016,5089016,5089016,CIV
2022-09-27,5029072,5029072,5029072,CIV
2022-09-28,4936373,4936373,4936373,CIV
2022-09-29,4936090,4936090,4936090,CIV
2022-09-30,4901924,4901924,4901924,CIV
2022-10-01,4876252,4876252,4876252,CIV
2022-10-02,4851895,4851895,4851895,CIV
2022-10-03,4898322,4898322,4898322,CIV
2022-10-04,4854190,4854190,4854190,CIV
2022-10-05,4809150,4809150,4809150,CIV
2022-10-06,4890868,4890868,4890868,CIV
2022-10-07,4802682,4802682,4802682,CIV
2022-10-08,4796609,4796609,4796609,CIV
2022-10-09,4842239,4842239,4842239,CIV
2022-10-10,4853036,4853036,4853036,CIV
2022-10-11,4854481,4854481,4854481,CIV
2022-10-12,4828846,4828846,4828846,CIV
2022-10-13,4825358,4825358,4825358,CIV
2022-10-14,4818832,4818832,4818832,CIV
2022-10-15,4782337,4782337,4782337,CIV
2022-10-16,4729074,4729074,4729074,CIV
2022-10-17,4750024,4750024,4750024,CIV
2022-10-18,4827436,4827436,4827436,CIV
2022-10-19,4864318,4864318,4864318,CIV
2022-10-20,4904097,4904097,4904097,CIV
2022-10-21,4925335,4925335,4925335,CIV
2022-10-22,4939899,4939899,4939899,CIV
2022-10-23,4970130,4970130,4970130,CIV
2022-10-24,4940564,4940564,4940564,CIV
2022-10-25,4898272,4898272,4898272,CIV
2022-10-26,4870570,4870570,4870570,CIV
2022-10-27,4844557,4844557,4844557,CIV
2022-10-28,4800428,4800428,4800428,CIV
2022-10-29,4780231,4780231,4780231,CIV
2022-10-30,4764356,4764356,4764356,CIV
2022-10-31,4724850,4724850,4724850,CIV
2022-11-01,4750653,4750653,4750653,CIV
2022-11-02,4717680,4717680,4717680,CIV
2022-11-03,4787658,4787658,4787658,CIV
2022-11-04,4827766,4827766,4827766,CIV
2022-11-05,4809181,4809181,4809181,CIV
2022-11-06,4836048,4836048,4836048,CIV
2022-11-07,4835405,4835405,4835405,CIV
2022-11-08,4907962,4907962,4907962,CIV
2022-11-09,4889659,4889659,4889659,CIV
2022-11-10,4944544,4944544,4944544,CIV
2022-11-11,4942464,4942464,4942464,CIV
2022-11-12,4937053,4937053,4937053,CIV
2022-11-13,4932227,4932227,4932227,CIV
2022-11-14,4894953,4894953,4894953,CIV
2022-11-15,4876681,4876681,4876681,CIV
2022-11-16,4796502,4796502,4796502,CIV
2022-11-17,4658670,4658670,4658670,CIV
2022-11-18,4645919,4645919,4645919,CIV
2022-11-19,4684261,4684261,4684261,CIV
2022-11-20,4657922,4657922,4657922,CIV
2022-11-21,4649630,4649630,4649630,CIV
2022-11-22,4658582,4658582,4658582,CIV
2022-11-23,4637980,4637980,4637980,CIV
2022-11-24,4649477,4649477,4649477,CIV
2022-11-25,4631473,4631473,4631473,CIV
2022-11-26,4692642,4692642,4692642,CIV
2022-11-27,4811415,4811415,4811415,CIV
2022-11-28,4778017,4778017,4778017,CIV
2022-11-29,4755893,4755893,4755893,CIV
2022-11-30,4786854,4786854,4786854,CIV
2022-12-01,4785036,4785036,4785036,CIV
2022-12-02,4750805,4750805,4750805,CIV
2022-12-03,4791625,4791625,4791625,CIV
2022-12-04,4851175,4851175,4851175,CIV
2022-12-05,4854573,4854573,4854573,CIV
2022-12-06,4822365,4822365,4822365,CIV
2022-12-07,4790816,4790816,4790816,CIV
2022-12-08,4702478,4702478,4702478,CIV
2022-12-09,4664491,4664491,4664491,CIV
2022-12-10,4648841,4648841,4648841,CIV
2022-12-11,4662920,4662920,4662920,CIV
2022-12-12,4746653,4746653,4746653,CIV
2022-12-13,4770019,4770019,4770019,CIV
2022-12-14,4789653,4789653,4789653,CIV
2022-12-15,4817516,4817516,4817516,CIV
2022-12-16,4828654,4828654,4828654,CIV
2022-12-17,4858294,4858294,4858294,CIV
2022-12-18,4821997,4821997,4821997,CIV
2022-12-19,4804074,4804074,4804074,CIV
2022-12-20,4825296,4825296,4825296,CIV
2022-12-21,4841587,4841587,4841587,CIV
2022-12-22,4808518,4808518,4808518,CIV
2022-12-23,4778119,4778119,4778119,CIV
2022-12-24,4807735,4807735,4807735,CIV
