date,value,value_high,value_low,iso_code
2022-08-06,50220213,50220213,50220213,COD
2022-08-07,50136614,50136614,50136614,COD
2022-08-08,49002638,49002638,49002638,COD
2022-08-09,48885210,48885210,48885210,COD
2022-08-10,48403512,48403512,48403512,COD
2022-08-11,48053705,48053705,48053705,COD
2022-08-12,47933238,47933238,47933238,COD
2022-08-13,47900778,47900778,47900778,COD
2022-08-14,47960602,47960602,47960602,COD
2022-08-15,47838947,47838947,47838947,COD
2022-08-16,48543818,48543818,48543818,COD
2022-08-17,48091920,48091920,48091920,COD
2022-08-18,48502040,48502040,48502040,COD
2022-08-19,47772668,47772668,47772668,COD
2022-08-20,48395420,48395420,48395420,COD
2022-08-21,49724667,49724667,49724667,COD
2022-08-22,50311440,50311440,50311440,COD
2022-08-23,49455252,49455252,49455252,COD
2022-08-24,49079317,49079317,49079317,COD
2022-08-25,49032321,49032321,49032321,COD
2022-08-26,49161277,49161277,49161277,COD
2022-08-27,49187686,49187686,49187686,COD
2022-08-28,48676836,48676836,48676836,COD
2022-08-29,48692255,48692255,48692255,COD
2022-08-30,48445681,48445681,48445681,COD
2022-08-31,48744230,48744230,48744230,COD
2022-09-01,47872386,47872386,47872386,COD
2022-09-02,48792966,48792966,48792966,COD
2022-09-03,48801002,48801002,48801002,COD
2022-09-04,48582604,48582604,48582604,COD
2022-09-05,48661635,48661635,48661635,COD
2022-09-06,48024146,48024146,48024146,COD
2022-09-07,48470414,48470414,48470414,COD
2022-09-08,48892469,48892469,48892469,COD
2022-09-09,48483491,48483491,48483491,COD
2022-09-10,48617481,48617481,48617481,COD
2022-09-11,48465283,48465283,48465283,COD
2022-09-12,49009717,49009717,49009717,COD
2022-09-13,49771318,49771318,49771318,COD
2022-09-14,49348731,49348731,49348731,COD
2022-09-15,48243655,48243655,48243655,COD
2022-09-16,47377202,47377202,47377202,COD
2022-09-17,47108073,47108073,47108073,COD
2022-09-18,46238973,46238973,46238973,COD
2022-09-19,46249685,46249685,46249685,COD
2022-09-20,47714048,47714048,47714048,COD
2022-09-21,47514185,47514185,47514185,COD
2022-09-22,47559095,47559095,47559095,COD
2022-09-23,47638771,47638771,47638771,COD
2022-09-24,47956376,47956376,47956376,COD
2022-09-25,48430988,48430988,48430988,COD
2022-09-26,48296655,48296655,48296655,COD
2022-09-27,48378290,48378290,48378290,COD
2022-09-28,49116237,49116237,49116237,COD
2022-09-29,49342771,49342771,49342771,COD
2022-09-30,49401573,49401573,49401573,COD
2022-10-01,49597281,49597281,49597281,COD
2022-10-02,49747357,49747357,49747357,COD
2022-10-03,49270494,49270494,49270494,COD
2022-10-04,48771400,48771400,48771400,COD
2022-10-05,48122778,48122778,48122778,COD
2022-10-06,47234723,47234723,47234723,COD
2022-10-07,47460244,47460244,47460244,COD
2022-10-08,47315466,47315466,47315466,COD
2022-10-09,47519848,47519848,47519848,COD
2022-10-10,47361810,47361810,47361810,COD
2022-10-11,47546239,47546239,47546239,COD
2022-10-12,47298457,47298457,47298457,COD
2022-10-13,47099383,47099383,47099383,COD
2022-10-14,48224958,48224958,48224958,COD
2022-10-15,49254562,49254562,49254562,COD
2022-10-16,50120879,50120879,50120879,COD
2022-10-17,50721442,50721442,50721442,COD
2022-10-18,50861160,50861160,50861160,COD
2022-10-19,50747253,50747253,50747253,COD
2022-10-20,50066368,50066368,50066368,COD
2022-10-21,49804911,49804911,49804911,COD
2022-10-22,49319042,49319042,49319042,COD
2022-10-23,48653792,48653792,48653792,COD
2022-10-24,49408002,49408002,49408002,COD
2022-10-25,49268922,49268922,49268922,COD
2022-10-26,49319154,49319154,49319154,COD
2022-10-27,49529777,49529777,49529777,COD
2022-10-28,48780635,48780635,48780635,COD
2022-10-29,48779186,48779186,48779186,COD
2022-10-30,48445979,48445979,48445979,COD
2022-10-31,48233604,48233604,48233604,COD
2022-11-01,48031035,48031035,48031035,COD
2022-11-02,47963665,47963665,47963665,COD
2022-11-03,48359492,48359492,48359492,COD
2022-11-04,49490472,49490472,49490472,COD
2022-11-05,51129722,51129722,51129722,COD
2022-11-06,51263191,51263191,51263191,COD
