date,value,value_high,value_low,iso_code
2022-11-07,12862361,12862361,12862361,COL
2022-11-08,12828484,12828484,12828484,COL
2022-11-09,13207818,13207818,13207818,COL
2022-11-10,13136600,13136600,13136600,COL
2022-11-11,13677819,13677819,13677819,COL
2022-11-12,14117726,14117726,14117726,COL
2022-11-13,14391536,14391536,14391536,COL
2022-11-14,14072844,14072844,14072844,COL
2022-11-15,14534767,14534767,14534767,COL
2022-11-16,14605478,14605478,14605478,COL
2022-11-17,15323210,15323210,15323210,COL
2022-11-18,15303939,15303939,15303939,COL
2022-11-19,15096976,15096976,15096976,COL
2022-11-20,15132823,15132823,15132823,COL
2022-11-21,15469518,15469518,15469518,COL
2022-11-22,15915476,15915476,15915476,COL
2022-11-23,16248374,16248374,16248374,COL
2022-11-24,16236091,16236091,16236091,COL
2022-11-25,16530711,16530711,16530711,COL
2022-11-26,16803934,16803934,16803934,COL
2022-11-27,16941942,16941942,16941942,COL
2022-11-28,17077874,17077874,17077874,COL
2022-11-29,17126074,17126074,17126074,COL
2022-11-30,17195261,17195261,17195261,COL
2022-12-01,17469800,17469800,17469800,COL
2022-12-02,17875957,17875957,17875957,COL
2022-12-03,17811275,17811275,17811275,COL
2022-12-04,18062925,18062925,18062925,COL
2022-12-05,18147318,18147318,18147318,COL
2022-12-06,18275876,18275876,18275876,COL
2022-12-07,18075608,18075608,18075608,COL
2022-12-08,18093358,18093358,18093358,COL
2022-12-09,18184709,18184709,18184709,COL
2022-12-10,18110918,18110918,18110918,COL
2022-12-11,18502008,18502008,18502008,COL
2022-12-12,18744693,18744693,18744693,COL
2022-12-13,18384010,18384010,18384010,COL
2022-12-14,18700027,18700027,18700027,COL
2022-12-15,18199869,18199869,18199869,COL
2022-12-16,18067628,18067628,18067628,COL
2022-12-17,18890179,18890179,18890179,COL
2022-12-18,19278975,19278975,19278975,COL
2022-12-19,19071928,19071928,19071928,COL
2022-12-20,18565219,18565219,18565219,COL
2022-12-21,18245161,18245161,18245161,COL
2022-12-22,18104784,18104784,18104784,COL
2022-12-23,17837811,17837811,17837811,COL
2022-12-24,17831184,17831184,17831184,COL
2022-12-25,17841719,17841719,17841719,COL
2022-12-26,17416320,17416320,17416320,COL
2022-12-27,17357716,17357716,17357716,COL
2022-12-28,17436647,17436647,17436647,COL
2022-12-29,17156273,17156273,17156273,COL
2022-12-30,17080117,17080117,17080117,COL
2022-12-31,17345227,17345227,17345227,COL
2023-01-01,16908440,16908440,16908440,COL
2023-01-02,17025997,17025997,17025997,COL
2023-01-03,16871905,16871905,16871905,COL
2023-01-04,16833467,16833467,16833467,COL
2023-01-05,16838474,16838474,16838474,COL
2023-01-06,16828588,16828588,16828588,COL
2023-01-07,16975464,16975464,16975464,COL
2023-01-08,16648401,16648401,16648401,COL
2023-01-09,16526664,16526664,16526664,COL
2023-01-10,16445854,16445854,16445854,COL
2023-01-11,16394215,16394215,16394215,COL
2023-01-12,16346709,16346709,16346709,COL
2023-01-13,16105491,16105491,16105491,COL
2023-01-14,15585400,15585400,15585400,COL
2023-01-15,15157475,15157475,15157475,COL
2023-01-16,15081674,15081674,15081674,COL
2023-01-17,15343167,15343167,15343167,COL
2023-01-18,15496534,15496534,15496534,COL
2023-01-19,15661277,15661277,15661277,COL
2023-01-20,15411375,15411375,15411375,COL
2023-01-21,15691244,15691244,15691244,COL
2023-01-22,15288494,15288494,15288494,COL
2023-01-23,15351975,15351975,15351975,COL
2023-01-24,15394152,15394152,15394152,COL
2023-01-25,15207127,15207127,15207127,COL
2023-01-26,15180465,15180465,15180465,COL
2023-01-27,15317637,15317637,15317637,COL
2023-01-28,15453514,15453514,15453514,COL
2023-01-29,15870808,15870808,15870808,COL
2023-01-30,15714678,15714678,15714678,COL
2023-01-31,15572933,15572933,15572933,COL
2023-02-01,15370954,15370954,15370954,COL
2023-02-02,15332078,15332078,15332078,COL
2023-02-03,15336158,15336158,15336158,COL
2023-02-04,15130753,15130753,15130753,COL
2023-02-05,15220952,15220952,15220952,COL
2023-02-06,15300487,15300487,15300487,COL
2023-02-07,15358969,15358969,15358969,COL
2023-02-08,15448897,15448897,15448897,COL
2023-02-09,15314222,15314222,15314222,COL
2023-02-10,15410916,15410916,15410916,COL
2023-02-11,15876436,15876436,15876436,COL
2023-02-12,16479160,16479160,16479160,COL
2023-02-13,16456525,16456525,16456525,COL
2023-02-14,16623655,16623655,16623655,COL
2023-02-15,17230078,17230078,17230078,COL
2023-02-16,17123437,17123437,17123437,COL
2023-02-17,18230350,18230350,18230350,COL
2023-02-18,18003196,18003196,18003196,COL
2023-02-19,19111011,19111011,19111011,COL
2023-02-20,18928564,18928564,18928564,COL
2023-02-21,18668311,18668311,18668311,COL
2023-02-22,18657126,18657126,18657126,COL
2023-02-23,18969501,18969501,18969501,COL
2023-02-24,18684122,18684122,18684122,COL
2023-02-25,18692202,18692202,18692202,COL
2023-02-26,18717138,18717138,18717138,COL
2023-02-27,18402575,18402575,18402575,COL
2023-02-28,18584441,18584441,18584441,COL
2023-03-01,18862844,18862844,18862844,COL
2023-03-02,18816765,18816765,18816765,COL
2023-03-03,18960612,18960612,18960612,COL
2023-03-04,18952578,18952578,18952578,COL
2023-03-05,18999724,18999724,18999724,COL
2023-03-06,19028299,19028299,19028299,COL
2023-03-07,18940570,18940570,18940570,COL
2023-03-08,18888979,18888979,18888979,COL
2023-03-09,18824670,18824670,18824670,COL
2023-03-10,19075481,19075481,19075481,COL
2023-03-11,19075599,19075599,19075599,COL
2023-03-12,19016225,19016225,19016225,COL
2023-03-13,18142009,18142009,18142009,COL
2023-03-14,17973083,17973083,17973083,COL
2023-03-15,17444863,17444863,17444863,COL
2023-03-16,17616878,17616878,17616878,COL
2023-03-17,16865076,16865076,16865076,COL
2023-03-18,16464989,16464989,16464989,COL
2023-03-19,15614849,15614849,15614849,COL
2023-03-20,16524858,16524858,16524858,COL
2023-03-21,17728016,17728016,17728016,COL
2023-03-22,18004274,18004274,18004274,COL
2023-03-23,17553142,17553142,17553142,COL
2023-03-24,18024957,18024957,18024957,COL
2023-03-25,18048666,18048666,18048666,COL
2023-03-26,18390689,18390689,18390689,COL
2023-03-27,18775926,18775926,18775926,COL
2023-03-28,18479824,18479824,18479824,COL
2023-03-29,18296229,18296229,18296229,COL
2023-03-30,18104629,18104629,18104629,COL
2023-03-31,17849161,17849161,17849161,COL
2023-04-01,18044600,18044600,18044600,COL
2023-04-02,18009155,18009155,18009155,COL
2023-04-03,18080351,18080351,18080351,COL
2023-04-04,18116871,18116871,18116871,COL
2023-04-05,18268289,18268289,18268289,COL
2023-04-06,18359734,18359734,18359734,COL
2023-04-07,18157829,18157829,18157829,COL
2023-04-08,18247775,18247775,18247775,COL
2023-04-09,18073553,18073553,18073553,COL
2023-04-10,18379740,18379740,18379740,COL
2023-04-11,18565693,18565693,18565693,COL
2023-04-12,18006915,18006915,18006915,COL
2023-04-13,18063480,18063480,18063480,COL
2023-04-14,17679552,17679552,17679552,COL
2023-04-15,17819537,17819537,17819537,COL
2023-04-16,17639021,17639021,17639021,COL
2023-04-17,16882202,16882202,16882202,COL
2023-04-18,15943419,15943419,15943419,COL
2023-04-19,15914400,15914400,15914400,COL
2023-04-20,16093293,16093293,16093293,COL
2023-04-21,15485011,15485011,15485011,COL
2023-04-22,15285432,15285432,15285432,COL
2023-04-23,14113964,14113964,14113964,COL
2023-04-24,14288843,14288843,14288843,COL
2023-04-25,14789239,14789239,14789239,COL
2023-04-26,14589300,14589300,14589300,COL
2023-04-27,14976097,14976097,14976097,COL
2023-04-28,14475577,14475577,14475577,COL
2023-04-29,14864097,14864097,14864097,COL
2023-04-30,14569083,14569083,14569083,COL
2023-05-01,14292315,14292315,14292315,COL
2023-05-02,14293217,14293217,14293217,COL
2023-05-03,14229068,14229068,14229068,COL
2023-05-04,14245866,14245866,14245866,COL
2023-05-05,14327020,14327020,14327020,COL
2023-05-06,14021314,14021314,14021314,COL
2023-05-07,14273620,14273620,14273620,COL
2023-05-08,14245666,14245666,14245666,COL
2023-05-09,14266551,14266551,14266551,COL
2023-05-10,14480536,14480536,14480536,COL
2023-05-11,14597701,14597701,14597701,COL
