date,value,value_high,value_low,iso_code
2022-09-13,1316459,1667813,1096569,CUB
2022-09-14,1316459,1667813,1096569,CUB
2022-09-15,1316459,1667813,1096569,CUB
2022-09-16,1316459,1667813,1096569,CUB
2022-09-17,1316459,1667813,1096569,CUB
2022-09-18,1316459,1667813,1096569,CUB
2022-09-19,1316459,1667813,1096569,CUB
2022-09-20,1316459,1667813,1096569,CUB
2022-09-21,1316407,1665104,1088675,CUB
2022-09-22,1316407,1665104,1088675,CUB
2022-09-23,1316407,1665104,1088675,CUB
2022-09-24,1316407,1665104,1088675,CUB
2022-09-25,1316407,1665104,1088675,CUB
2022-09-26,1316407,1665104,1088675,CUB
2022-09-27,1316407,1665104,1088675,CUB
2022-09-28,1316407,1665104,1088675,CUB
2022-09-29,1316407,1665104,1088675,CUB
2022-09-30,1316407,1665104,1088675,CUB
2022-10-01,1315771,1666637,1090879,CUB
2022-10-02,1315771,1666637,1090879,CUB
2022-10-03,1315771,1666637,1090879,CUB
2022-10-04,1315771,1666637,1090879,CUB
2022-10-05,1315771,1666637,1090879,CUB
2022-10-06,1313670,1663810,1082742,CUB
2022-10-07,1313670,1663810,1082742,CUB
2022-10-08,1313670,1663810,1082742,CUB
2022-10-09,1313670,1663810,1082742,CUB
2022-10-10,1313670,1663810,1082742,CUB
2022-10-11,1311377,1662773,1078970,CUB
2022-10-12,1311377,1662773,1078970,CUB
2022-10-13,1311377,1662773,1078970,CUB
2022-10-14,1311377,1662773,1078970,CUB
2022-10-15,1310295,1666556,1083790,CUB
2022-10-16,1310295,1666556,1083790,CUB
2022-10-17,1310295,1666556,1083790,CUB
2022-10-18,1310302,1666556,1085149,CUB
2022-10-19,1310302,1666556,1085149,CUB
2022-10-20,1310302,1666556,1085149,CUB
2022-10-21,1308391,1667159,1084103,CUB
2022-10-22,1308391,1667159,1084103,CUB
2022-10-23,1308391,1667159,1084103,CUB
2022-10-24,1308391,1667159,1084103,CUB
2022-10-25,1308391,1667159,1084103,CUB
2022-10-26,1308391,1667159,1084103,CUB
2022-10-27,1308391,1667159,1084103,CUB
2022-10-28,1307687,1666689,1083355,CUB
2022-10-29,1307687,1666689,1083355,CUB
2022-10-30,1307687,1666689,1083355,CUB
2022-10-31,1307687,1666689,1083355,CUB
2022-11-01,1330132,1679750,1125553,CUB
2022-11-02,1330132,1679750,1125553,CUB
2022-11-03,1330132,1679750,1125553,CUB
2022-11-04,1330132,1679750,1125553,CUB
2022-11-05,1330132,1679750,1125553,CUB
2022-11-06,1330132,1679750,1125553,CUB
2022-11-07,1330132,1679750,1125553,CUB
2022-11-08,1330132,1679750,1125553,CUB
2022-11-09,1330132,1679750,1125553,CUB
2022-11-10,1330132,1679750,1125553,CUB
2022-11-11,1332247,1682043,1121876,CUB
2022-11-12,1332247,1682043,1121876,CUB
2022-11-13,1332247,1682043,1121876,CUB
2022-11-14,1332247,1682043,1121876,CUB
2022-11-15,1332247,1682043,1121876,CUB
2022-11-16,1332247,1682043,1121876,CUB
2022-11-17,1332247,1682043,1121876,CUB
2022-11-18,1332247,1682043,1121876,CUB
2022-11-19,1332247,1682043,1121876,CUB
2022-11-20,1332247,1682043,1121876,CUB
2022-11-21,1336123,1687870,1122368,CUB
2022-11-22,1336123,1687870,1122368,CUB
2022-11-23,1336123,1687870,1122368,CUB
2022-11-24,1336123,1687870,1122368,CUB
2022-11-25,1336735,1690141,1124335,CUB
2022-11-26,1336735,1690141,1124335,CUB
2022-11-27,1336735,1690141,1124335,CUB
2022-11-28,1336735,1690141,1124335,CUB
2022-11-29,1336735,1690141,1124335,CUB
2022-11-30,1336735,1690141,1124335,CUB
2022-12-01,1341657,1695980,1121909,CUB
2022-12-02,1341657,1695980,1121909,CUB
2022-12-03,1341657,1695980,1121909,CUB
2022-12-04,1341657,1695980,1121909,CUB
2022-12-05,1341657,1695980,1121909,CUB
2022-12-06,1339477,1693358,1123940,CUB
2022-12-07,1339477,1693358,1123940,CUB
2022-12-08,1339477,1693358,1123940,CUB
2022-12-09,1339477,1693358,1123940,CUB
2022-12-10,1339477,1693358,1123940,CUB
2022-12-11,1339249,1694399,1122392,CUB
2022-12-12,1339249,1694399,1122392,CUB
2022-12-13,1339249,1694399,1122392,CUB
