date,value,value_high,value_low,iso_code
2022-11-07,5141716,6673361,4324764,DZA
2022-11-08,5141716,6673361,4324764,DZA
2022-11-09,5141716,6673361,4324764,DZA
2022-11-10,5141716,6673361,4324764,DZA
2022-11-11,5138952,6675313,4327235,DZA
2022-11-12,5138952,6675313,4327235,DZA
2022-11-13,5138952,6675313,4327235,DZA
2022-11-14,5138952,6675313,4327235,DZA
2022-11-15,5138952,6675313,4327235,DZA
2022-11-16,5138952,6675313,4327235,DZA
2022-11-17,5138952,6675313,4327235,DZA
2022-11-18,5138952,6675313,4327235,DZA
2022-11-19,5138952,6675313,4327235,DZA
2022-11-20,5138952,6675313,4327235,DZA
2022-11-21,5130570,6657601,4319780,DZA
2022-11-22,5130570,6657601,4319780,DZA
2022-11-23,5130570,6657601,4319780,DZA
2023-02-21,4398526,5571099,3607260,DZA
2022-11-24,5130570,6657601,4319780,DZA
2022-11-25,5136391,6664950,4325336,DZA
2022-11-26,5136391,6664950,4325336,DZA
2022-11-27,5136391,6664950,4325336,DZA
2022-11-28,5136391,6664950,4325336,DZA
2022-11-29,5136391,6664950,4325336,DZA
2022-11-30,5136391,6664950,4325336,DZA
2022-12-01,5136613,6668731,4324629,DZA
2022-12-02,5136613,6668731,4324629,DZA
2022-12-03,5136613,6668731,4324629,DZA
2022-12-04,5136613,6668731,4324629,DZA
2022-12-05,5136613,6668731,4324629,DZA
2022-12-06,5136838,6680097,4325932,DZA
2022-12-07,5136838,6680097,4325932,DZA
2022-12-08,5136838,6680097,4325932,DZA
2022-12-09,5136838,6680097,4325932,DZA
2022-12-10,5136838,6680097,4325932,DZA
2022-12-11,5143195,6684474,4324572,DZA
2022-12-12,5143195,6684474,4324572,DZA
2022-12-13,5143160,6684474,4324572,DZA
2022-12-14,5143160,6683467,4324572,DZA
2022-12-15,5143160,6683467,4324572,DZA
2022-12-16,5143160,6684474,4324572,DZA
2022-12-17,5143160,6684474,4324572,DZA
2022-12-18,5143160,6683467,4324572,DZA
2022-12-19,5143160,6683467,4324572,DZA
2022-12-20,5191164,6711715,4369448,DZA
2022-12-21,5190944,6703636,4372621,DZA
2022-12-22,5190944,6703636,4372621,DZA
2022-12-23,5190944,6703636,4372621,DZA
2022-12-24,5190944,6703636,4372621,DZA
2022-12-25,5190944,6703636,4372621,DZA
2022-12-26,5190944,6703636,4372621,DZA
2022-12-27,5190944,6703636,4372621,DZA
2022-12-28,5190944,6703636,4372621,DZA
2022-12-29,5190944,6703636,4372621,DZA
2022-12-30,5190944,6703636,4372621,DZA
2022-12-31,5191010,6705777,4375501,DZA
2023-01-01,5187592,6699980,4373061,DZA
2023-01-02,5187592,6699980,4373061,DZA
2023-01-03,5187592,6699980,4373061,DZA
2023-01-04,5187592,6699980,4373061,DZA
2023-01-05,5189704,6714677,4377330,DZA
2023-01-06,5190725,6714677,4377330,DZA
2023-01-07,5190725,6714677,4377330,DZA
2023-01-08,5190725,6714677,4377330,DZA
2023-01-09,5186407,6714677,4377330,DZA
2023-01-10,5186407,6714677,4377330,DZA
2023-01-11,5185673,6726687,4380062,DZA
2023-01-12,5185673,6726687,4380062,DZA
2023-01-13,5185673,6726687,4380062,DZA
2023-04-13,4798869,6097579,3995979,DZA
2023-01-14,5185673,6726687,4380062,DZA
2023-01-15,5186103,6726687,4380062,DZA
2023-01-16,5183573,6726687,4380062,DZA
2023-01-17,5184792,6748914,4381223,DZA
2023-01-18,5184840,6748914,4381223,DZA
2023-01-19,5187491,6748914,4381223,DZA
2023-01-20,5187491,6748914,4381223,DZA
2023-01-21,5188097,6767059,4382801,DZA
2023-01-22,5185464,6767059,4382801,DZA
2023-01-23,5185322,6767059,4382801,DZA
2023-01-24,5184444,6774229,4383328,DZA
2023-01-25,5154204,6732033,4363372,DZA
2023-01-26,5154204,6730737,4363372,DZA
2023-01-27,5157728,6732869,4364898,DZA
2023-01-28,5155760,6732869,4364898,DZA
2023-01-29,5155760,6732869,4364898,DZA
2023-01-30,5151654,6730975,4362289,DZA
2023-01-31,5151654,6730975,4362289,DZA
2023-02-01,5152776,6739975,4362615,DZA
2023-02-02,5153129,6739975,4362615,DZA
2023-02-03,5154521,6739975,4362615,DZA
2023-02-04,5154521,6739975,4362615,DZA
2023-02-05,5153129,6739975,4362615,DZA
2023-02-06,5155230,6739975,4365354,DZA
2023-02-07,5156622,6739975,4365354,DZA
2023-02-08,5152061,6745283,4341413,DZA
2023-02-09,5152061,6745283,4341413,DZA
2023-02-10,5153088,6746483,4343551,DZA
2023-02-11,5159658,6756797,4351277,DZA
2023-02-12,5158131,6756797,4351277,DZA
2023-02-13,5157984,6756797,4351277,DZA
2023-02-14,5143021,6767884,4343352,DZA
2023-02-15,5143021,6767884,4343352,DZA
2023-02-16,5143021,6767884,4343352,DZA
2023-02-17,5143021,6767884,4343352,DZA
2023-02-18,5143021,6767884,4343352,DZA
2023-02-19,5143021,6767884,4343352,DZA
2023-02-20,5143021,6767884,4343352,DZA
2023-02-21,5143021,6767884,4343352,DZA
2023-02-22,5143021,6767884,4343352,DZA
2023-02-23,5143021,6767884,4343352,DZA
2023-05-13,4738568,5879492,4008518,DZA
2023-05-14,4738568,5879492,4008518,DZA
2023-05-15,4738568,5879492,4008518,DZA
2023-05-16,4738568,5879492,4008518,DZA
2023-05-17,4736661,5879345,4008099,DZA
2023-05-18,4736661,5879345,4008099,DZA
2023-05-19,4736661,5879345,4008099,DZA
2023-05-20,4736661,5879345,4009525,DZA
2023-05-21,4735609,5876864,4007988,DZA
2023-05-22,4735609,5876864,4009667,DZA
2023-05-23,4735609,5876864,4007988,DZA
2023-02-24,5142369,6750277,4343836,DZA
2023-02-25,5142369,6750277,4343836,DZA
2023-02-26,5142369,6750277,4343836,DZA
2023-02-27,5142369,6750277,4343836,DZA
2023-02-28,5142369,6750277,4343836,DZA
2023-03-01,5142369,6750277,4343836,DZA
2023-03-02,5142369,6750277,4343836,DZA
2023-03-03,5142369,6750277,4343836,DZA
2023-03-04,5142566,6745728,4343036,DZA
2023-03-05,5142566,6745728,4343036,DZA
2023-03-06,5142566,6745728,4343036,DZA
2023-03-07,5142566,6745728,4343036,DZA
2023-03-08,5142566,6745728,4343036,DZA
2023-03-09,5142566,6745728,4343036,DZA
2023-03-10,5142566,6745728,4343036,DZA
2023-03-11,5142566,6745728,4343036,DZA
2023-03-12,5142566,6745728,4343036,DZA
2023-03-13,5142566,6745728,4343036,DZA
2023-03-14,5142868,6736801,4343174,DZA
2023-03-15,5142403,6736070,4343174,DZA
2023-03-16,5142403,6736070,4343174,DZA
2023-03-17,5142403,6736070,4343174,DZA
2023-03-18,5142403,6736070,4343174,DZA
2023-03-19,5142403,6736070,4343174,DZA
2023-03-20,5127714,6736070,4343174,DZA
2023-03-21,5127714,6736070,4343174,DZA
2023-03-22,5127714,6736070,4343174,DZA
2023-03-23,5127714,6736070,4343174,DZA
2023-03-24,5127714,6736070,4343174,DZA
2023-03-25,5134932,6763833,4343358,DZA
2023-03-26,5134932,6763743,4343358,DZA
2023-03-27,5128467,6763743,4340859,DZA
2023-03-28,5128467,6763743,4340859,DZA
2023-03-29,5128467,6763743,4340859,DZA
2023-03-30,5128467,6763743,4340859,DZA
2023-03-31,5128088,6763376,4340993,DZA
2023-04-01,5128088,6763376,4340993,DZA
2023-04-02,5128088,6763376,4340993,DZA
2023-04-03,5127708,6763376,4340993,DZA
2023-04-04,5127708,6763376,4340993,DZA
2023-04-05,5127708,6763376,4340993,DZA
2023-04-06,5120857,6763175,4338328,DZA
2023-04-07,5119716,6759196,4335843,DZA
2023-04-08,5119716,6759196,4335843,DZA
2023-04-09,5119716,6759196,4335843,DZA
2023-04-10,5119716,6747637,4335843,DZA
2023-04-11,5102530,6710388,4325573,DZA
2023-04-12,5102530,6710696,4325573,DZA
2023-04-13,5105534,6729169,4326359,DZA
2023-04-14,5105534,6729169,4326359,DZA
2023-04-15,5105534,6729169,4326359,DZA
2023-04-16,5104912,6729169,4325139,DZA
2023-04-17,5071680,6728636,4284500,DZA
2023-04-18,5071531,6721874,4284500,DZA
2023-04-19,5065667,6721874,4284500,DZA
2023-04-20,5062030,6721874,4271951,DZA
2023-04-21,5062030,6721874,4271951,DZA
2023-04-22,5062030,6721874,4271951,DZA
2023-04-23,5052601,6691746,4270896,DZA
2023-04-24,5052533,6691746,4267247,DZA
2023-04-25,4975711,6673324,4225835,DZA
2023-04-26,4737523,5871667,4013138,DZA
2023-04-27,4729195,5849387,4015236,DZA
2023-04-28,4729195,5849387,4015236,DZA
2023-04-29,4727416,5851386,4012088,DZA
2023-04-30,4727228,5845995,4006433,DZA
2023-05-01,4729107,5861667,4004119,DZA
2023-05-02,4729107,5861667,4004119,DZA
2023-05-03,4729107,5861667,4004119,DZA
2023-05-04,4729107,5861667,4004119,DZA
2023-05-05,4727371,5861715,4002050,DZA
2023-05-06,4727371,5861715,4002050,DZA
2023-05-07,4727371,5861715,4002050,DZA
2023-05-08,4727371,5861715,4002050,DZA
2023-05-09,4727371,5861715,4002050,DZA
2023-05-10,4727371,5861715,4002050,DZA
2023-05-11,4738568,5879492,4008518,DZA
2023-05-12,4738568,5879492,4008518,DZA
2023-05-13,4738476,5879345,4007860,DZA
2023-05-14,4738476,5879345,4007860,DZA
2023-05-15,4738476,5879345,4007860,DZA
2023-05-16,4738476,5879345,4007860,DZA
2023-05-17,4738476,5879345,4009377,DZA
2023-05-18,4738476,5879345,4009377,DZA
2023-05-19,4738476,5879345,4009377,DZA
2023-05-20,4738476,5879345,4009377,DZA
2023-05-21,4738783,5895115,4008215,DZA
2023-05-22,4741122,5895115,4009292,DZA
2023-05-23,4738783,5895115,4008215,DZA
2023-05-24,4741419,5895115,4009068,DZA
2023-05-25,4741419,5895115,4009068,DZA
2023-05-26,4741677,5894900,4009922,DZA
2023-05-27,4743900,5894900,4038213,DZA
2023-05-28,4743900,5894900,4038213,DZA
2023-05-29,4743900,5894900,4038213,DZA
2023-05-30,4746717,5894433,4038197,DZA
2023-05-31,4747658,5894433,4037772,DZA
2023-06-01,4747673,5924153,4035288,DZA
2023-06-02,4749423,5924335,4035005,DZA
2023-06-03,4749423,5924335,4035005,DZA
2023-06-04,4749423,5923895,4035005,DZA
2023-06-05,4749423,5923895,4035005,DZA
2023-06-06,4750318,5928225,4032430,DZA
2023-03-07,8740387,10141164,7651007,DZA
2023-03-08,8740387,10141164,7651007,DZA
2023-03-09,8740387,10141164,7651007,DZA
2023-03-10,8740387,10141164,7651007,DZA
2023-03-11,8742372,10155318,7653239,DZA
2023-03-12,8742310,10154931,7653239,DZA
2023-03-13,8742310,10154931,7653239,DZA
2023-03-14,8742310,10154931,7653239,DZA
2023-03-15,8741928,10154473,7653239,DZA
2023-03-16,8741928,10154473,7653239,DZA
2023-03-17,8741928,10154473,7653239,DZA
2023-03-18,8741928,10154473,7653565,DZA
2023-03-19,8741928,10154473,7653565,DZA
2023-06-16,8954376,10533359,7871438,DZA
2023-06-17,8954376,10533359,7871438,DZA
2023-06-18,8739044,10167897,7753365,DZA
2023-03-20,8739890,10154473,7653565,DZA
2023-03-21,8752816,10183319,7676984,DZA
2023-03-22,8752029,10183319,7673339,DZA
2023-03-23,8752774,10183319,7673339,DZA
2023-06-20,8943405,10510650,7868790,DZA
2023-06-21,8941404,10525223,7877607,DZA
2023-06-22,8941181,10523509,7872860,DZA
2023-06-23,8941404,10525223,7877607,DZA
2023-03-24,8752816,10183319,7676984,DZA
2023-03-25,8751174,10183326,7673996,DZA
2023-03-26,8750004,10179492,7673561,DZA
2023-03-27,8750004,10179492,7673561,DZA
2023-03-28,8751836,10179492,7673561,DZA
2023-03-29,8751836,10179492,7673561,DZA
2023-03-30,8751836,10179492,7673561,DZA
2023-03-31,8807056,10224239,7731088,DZA
2023-04-01,8822800,10252197,7759537,DZA
2023-04-02,8823109,10252197,7759537,DZA
2023-04-03,8823109,10252197,7759537,DZA
2023-04-04,8823310,10252433,7759537,DZA
2023-04-05,8823310,10252433,7759537,DZA
2023-04-06,8823310,10252433,7759537,DZA
2023-04-07,8823310,10252433,7759537,DZA
2023-04-08,8823310,10252433,7759537,DZA
2023-04-09,8825956,10253367,7759580,DZA
2023-04-10,8825956,10253367,7759580,DZA
2023-04-11,8853489,10282471,7780913,DZA
2023-04-12,8858064,10282085,7782380,DZA
2023-04-13,8858064,10282085,7782380,DZA
2023-04-14,8854509,10282085,7782380,DZA
2023-04-15,8858064,10282085,7782380,DZA
2023-04-16,8860709,10282207,7805980,DZA
2023-04-17,8860710,10281384,7808783,DZA
2023-04-18,8857529,10281882,7808200,DZA
2023-04-19,8852192,10260925,7801728,DZA
2023-04-20,8851931,10260083,7804749,DZA
2023-04-21,8864076,10279886,7820394,DZA
2023-04-22,8866458,10279592,7825248,DZA
2023-04-23,8890089,10303550,7846530,DZA
2023-04-24,8895152,10303550,7850879,DZA
2023-04-25,8895152,10303584,7850879,DZA
