date,value,value_high,value_low,iso_code
2022-11-07,11446718,14495800,9200659,EGY
2022-11-08,11425206,14478173,9219353,EGY
2022-11-09,11344961,14474481,9203063,EGY
2022-11-10,11344426,14469429,9202383,EGY
2022-11-11,11324733,14460299,9209317,EGY
2022-11-12,11319840,14460299,9209317,EGY
2022-11-13,11230230,14335366,9141303,EGY
2022-11-14,11255864,14350894,9147221,EGY
2022-11-15,11196763,14351272,9151259,EGY
2022-11-16,11195656,14351272,9148678,EGY
2022-11-17,11191872,14339067,9147932,EGY
2022-11-18,11197799,14339067,9147932,EGY
2022-11-19,11200731,14340062,9147751,EGY
2022-11-20,11188504,14327329,9143678,EGY
2022-11-21,11174248,14292764,9140503,EGY
2022-11-22,11207364,14339928,9147840,EGY
2022-11-23,11252177,14527145,9161689,EGY
2023-02-21,11586453,15672667,8769021,EGY
2022-11-24,11376483,15261896,9193805,EGY
2022-11-25,11376481,15287138,9199899,EGY
2022-11-26,11376481,15287138,9199899,EGY
2022-11-27,11376481,15287138,9199899,EGY
2022-11-28,11411453,15280584,9252171,EGY
2022-11-29,11417974,15280584,9252171,EGY
2022-11-30,11417974,15280584,9252171,EGY
2022-12-01,11400301,15280584,9252171,EGY
2022-12-02,11400301,15280584,9252171,EGY
2022-12-03,11445365,15343965,9278260,EGY
2022-12-04,11449077,15358274,9286241,EGY
2022-12-05,11458190,15358274,9286241,EGY
2022-12-06,11482246,15358921,9276221,EGY
2022-12-07,11482246,15358921,9277896,EGY
2022-12-08,11480621,15358921,9273378,EGY
2022-12-09,11472045,15379449,9302384,EGY
2022-12-10,11475583,15386759,9303373,EGY
2022-12-11,11492926,15402946,9308542,EGY
2022-12-12,11492926,15402946,9305968,EGY
2022-12-13,11495968,15430715,9320136,EGY
2022-12-14,11493847,15430715,9320136,EGY
2022-12-15,11493847,15430715,9320136,EGY
2022-12-16,11494378,15417630,9320136,EGY
2022-12-17,11494378,15417630,9293431,EGY
2022-12-18,11494378,15417630,9293431,EGY
2022-12-19,11494378,15417630,9293431,EGY
2022-12-20,11494378,15417630,9293431,EGY
2022-12-21,11520626,15472649,9288898,EGY
2022-12-22,11520626,15474126,9288898,EGY
2022-12-23,11532193,15474126,9288898,EGY
2022-12-24,11529460,15466086,9288898,EGY
2022-12-25,11528343,15553969,9288898,EGY
2022-12-26,11528343,15553969,9288898,EGY
2022-12-27,11585483,15562009,9288898,EGY
2022-12-28,11585483,15562009,9288898,EGY
2022-12-29,11608625,15554826,9333562,EGY
2022-12-30,11608625,15554826,9333562,EGY
2022-12-31,11622434,15552458,9339031,EGY
2023-01-01,11634148,15612431,9344349,EGY
2023-01-02,11634148,15612431,9344349,EGY
2023-01-03,11631415,15604391,9344349,EGY
2023-01-04,11631415,15604391,9344349,EGY
2023-01-05,11779815,16316732,9403625,EGY
2023-01-06,11779270,16316732,9403625,EGY
2023-01-07,11779270,16316732,9403625,EGY
2023-01-08,11779123,16316732,9401803,EGY
2023-01-09,11789854,16316732,9401803,EGY
2023-01-10,11789854,16267426,9401803,EGY
2023-01-11,11799315,16238272,9430128,EGY
2023-01-12,11799315,16238272,9430128,EGY
2023-01-13,11799315,16238272,9430128,EGY
2023-04-13,11612181,15800636,9305050,EGY
2023-01-14,11795411,16232219,9426262,EGY
2023-01-15,11790897,16232219,9426262,EGY
2023-01-16,11790897,16232219,9426262,EGY
2023-01-17,11793404,16241249,9443458,EGY
2023-01-18,11793404,16241249,9443458,EGY
2023-01-19,11793404,16241249,9443458,EGY
2023-01-20,11792888,16241249,9442575,EGY
2023-01-21,11791441,16243969,9434113,EGY
2023-01-22,11791441,16243969,9434113,EGY
2023-01-23,11787662,16237916,9430247,EGY
2023-01-24,11787446,16239552,9439269,EGY
2023-01-25,11787446,16239552,9439269,EGY
2023-01-26,11791757,16245605,9444957,EGY
2023-01-27,11791757,16245605,9444957,EGY
2023-01-28,11791757,16245605,9444957,EGY
2023-01-29,11791757,16245605,9444957,EGY
2023-01-30,11791757,16245605,9444957,EGY
2023-01-31,11791757,16245605,9444957,EGY
2023-02-01,11789742,16246001,9444877,EGY
2023-02-02,11789335,16246001,9444877,EGY
2023-02-03,11789335,16246001,9444877,EGY
2023-02-04,11789335,16246001,9444877,EGY
2023-02-05,11789335,16246001,9444877,EGY
2023-02-06,11789335,16246001,9444877,EGY
2023-02-07,11789335,16246001,9444877,EGY
2023-02-08,11789335,16246001,9444877,EGY
2023-02-09,11789335,16246001,9444877,EGY
2023-02-10,11795849,16244128,9446546,EGY
2023-02-11,11946198,16379673,9504111,EGY
2023-02-12,11946198,16379673,9504111,EGY
2023-02-13,11946198,16379673,9502859,EGY
2023-02-14,11891279,16369460,9491441,EGY
2023-02-15,11887422,16363377,9487575,EGY
2023-02-16,11881194,16363377,9478040,EGY
2023-02-17,11881194,16363377,9478040,EGY
2023-02-18,11886042,16372471,9484283,EGY
2023-02-19,11886042,16372471,9484283,EGY
2023-02-20,11886042,16372471,9484283,EGY
2023-02-21,11886042,16372471,9484283,EGY
2023-02-22,11885051,16369460,9483728,EGY
2023-02-23,11885051,16369460,9483728,EGY
2023-02-24,11800931,16334946,9484843,EGY
2023-02-25,11800931,16334946,9484843,EGY
2023-02-26,11800931,16334946,9483021,EGY
2023-02-27,11800931,16334946,9483021,EGY
2023-02-28,11800931,16334946,9483021,EGY
2023-03-01,11795982,16328863,9479155,EGY
2023-03-02,11780927,16300767,9477977,EGY
2023-03-03,11773179,16285932,9473966,EGY
2023-03-04,11776821,16293810,9485251,EGY
2023-03-05,11776821,16293810,9485251,EGY
2023-03-06,11776821,16293810,9485251,EGY
2023-03-07,11776821,16293810,9485251,EGY
2023-03-08,11776821,16293810,9485251,EGY
2023-03-09,11776821,16293810,9485251,EGY
2023-03-10,11782142,16286517,9488070,EGY
2023-03-11,12048554,16628928,9608064,EGY
2023-03-12,12048554,16628928,9608064,EGY
2023-03-13,12048554,16628928,9608064,EGY
2023-03-14,12040580,16632358,9581674,EGY
2023-03-15,12040580,16632358,9581674,EGY
2023-03-16,12040580,16632358,9581674,EGY
2023-03-17,12040580,16632358,9581674,EGY
2023-03-18,12040580,16632358,9581674,EGY
2023-03-19,12040580,16632358,9581674,EGY
2023-03-20,12040580,16632358,9581674,EGY
2023-03-21,12040580,16632358,9581674,EGY
2023-03-22,12040580,16632358,9581674,EGY
2023-03-23,12040580,16632358,9581674,EGY
2023-03-24,12040580,16632358,9581674,EGY
2023-03-25,11988061,16729278,9546775,EGY
2023-03-26,11988061,16729278,9546775,EGY
2023-03-27,11983897,16715690,9557951,EGY
2023-03-28,11981873,16715690,9545502,EGY
2023-03-29,11983897,16715690,9557951,EGY
2023-03-30,11983897,16715690,9557951,EGY
2023-03-31,11983897,16715690,9557951,EGY
2023-04-01,11978248,16698020,9553760,EGY
2023-04-02,11978248,16698020,9553760,EGY
2023-04-03,11978248,16698020,9553760,EGY
2023-04-04,11978248,16698020,9553760,EGY
2023-04-05,11978248,16698020,9553760,EGY
2023-04-06,11978248,16698020,9553760,EGY
2023-04-07,11987323,16613232,9566195,EGY
2023-04-08,11987323,16613232,9566195,EGY
2023-04-09,11987323,16613232,9566195,EGY
2023-04-10,11987323,16613232,9566195,EGY
2023-04-11,11959745,16439410,9559584,EGY
2023-04-12,11942447,16420685,9538999,EGY
2023-04-13,12005894,16645648,9559834,EGY
2023-04-14,12005894,16645648,9559834,EGY
