date,value,value_high,value_low,iso_code
2022-07-23,22066736,22066736,22066736,ETH
2022-07-24,21861628,21861628,21861628,ETH
2022-07-25,22401589,22401589,22401589,ETH
2022-07-26,22536098,22536098,22536098,ETH
2022-07-27,22574261,22574261,22574261,ETH
2022-07-28,21205704,21205704,21205704,ETH
2022-07-29,20489459,20489459,20489459,ETH
2022-07-30,20707008,20707008,20707008,ETH
2022-07-31,19932616,19932616,19932616,ETH
2022-08-01,19566531,19566531,19566531,ETH
2022-08-02,19242228,19242228,19242228,ETH
2022-08-03,18831765,18831765,18831765,ETH
2022-08-04,18616418,18616418,18616418,ETH
2022-08-05,18824101,18824101,18824101,ETH
2022-08-06,18806407,18806407,18806407,ETH
2022-08-07,19196559,19196559,19196559,ETH
2022-08-08,17799791,17799791,17799791,ETH
2022-08-09,17682357,17682357,17682357,ETH
2022-08-10,16863390,16863390,16863390,ETH
2022-08-11,16721394,16721394,16721394,ETH
2022-08-12,15982522,15982522,15982522,ETH
2022-08-13,16323439,16323439,16323439,ETH
2022-08-14,16161721,16161721,16161721,ETH
2022-08-15,16409884,16409884,16409884,ETH
2022-08-16,16543385,16543385,16543385,ETH
2022-08-17,17565303,17565303,17565303,ETH
2022-08-18,17784180,17784180,17784180,ETH
2022-08-19,18537720,18537720,18537720,ETH
2022-08-20,18223549,18223549,18223549,ETH
2022-08-21,18632627,18632627,18632627,ETH
2022-08-22,18408026,18408026,18408026,ETH
2022-08-23,17896391,17896391,17896391,ETH
2022-08-24,18144178,18144178,18144178,ETH
2022-08-25,18105291,18105291,18105291,ETH
2022-08-26,18119255,18119255,18119255,ETH
2022-08-27,19580066,19580066,19580066,ETH
2022-08-28,19521676,19521676,19521676,ETH
2022-08-29,19573741,19573741,19573741,ETH
2022-08-30,19959762,19959762,19959762,ETH
2022-08-31,20479899,20479899,20479899,ETH
2022-09-01,20619732,20619732,20619732,ETH
2022-09-02,20400111,20400111,20400111,ETH
2022-09-03,20603205,20603205,20603205,ETH
2022-09-04,20757839,20757839,20757839,ETH
2022-09-05,20860693,20860693,20860693,ETH
2022-09-06,20791942,20791942,20791942,ETH
2022-09-07,21502301,21502301,21502301,ETH
2022-09-08,21574522,21574522,21574522,ETH
2022-09-09,21533840,21533840,21533840,ETH
2022-09-10,21145149,21145149,21145149,ETH
2022-09-11,21751621,21751621,21751621,ETH
2022-09-12,22374979,22374979,22374979,ETH
2022-09-13,22545418,22545418,22545418,ETH
2022-09-14,22391121,22391121,22391121,ETH
2022-09-15,22389896,22389896,22389896,ETH
2022-09-16,22246586,22246586,22246586,ETH
2022-09-17,21276008,21276008,21276008,ETH
2022-09-18,20595629,20595629,20595629,ETH
2022-09-19,20523043,20523043,20523043,ETH
2022-09-20,20485336,20485336,20485336,ETH
2022-09-21,20163255,20163255,20163255,ETH
2022-09-22,19992639,19992639,19992639,ETH
2022-09-23,19743433,19743433,19743433,ETH
2022-09-24,19806491,19806491,19806491,ETH
2022-09-25,19747286,19747286,19747286,ETH
2022-09-26,19497794,19497794,19497794,ETH
2022-09-27,19685802,19685802,19685802,ETH
2022-09-28,19639279,19639279,19639279,ETH
2022-09-29,19371525,19371525,19371525,ETH
2022-09-30,19436364,19436364,19436364,ETH
2022-10-01,19523056,19523056,19523056,ETH
2022-10-02,18927039,18927039,18927039,ETH
2022-10-03,19185264,19185264,19185264,ETH
2022-10-04,18922096,18922096,18922096,ETH
2022-10-05,18807565,18807565,18807565,ETH
2022-10-06,17250754,17250754,17250754,ETH
2022-10-07,16654144,16654144,16654144,ETH
2022-10-08,16891222,16891222,16891222,ETH
2022-10-09,17148582,17148582,17148582,ETH
2022-10-10,17880852,17880852,17880852,ETH
2022-10-11,18226993,18226993,18226993,ETH
2022-10-12,17325571,17325571,17325571,ETH
2022-10-13,17383173,17383173,17383173,ETH
2022-10-14,17342057,17342057,17342057,ETH
2022-10-15,17389238,17389238,17389238,ETH
2022-10-16,16843020,16843020,16843020,ETH
2022-10-17,18567577,18567577,18567577,ETH
2022-10-18,18127505,18127505,18127505,ETH
2022-10-19,18160286,18160286,18160286,ETH
2022-10-20,18274560,18274560,18274560,ETH
2022-10-21,17891282,17891282,17891282,ETH
2022-10-22,17898583,17898583,17898583,ETH
2022-10-23,18199287,18199287,18199287,ETH
