date,value,value_high,value_low,iso_code
2022-09-22,8557054,8557054,8557054,GIN
2022-09-23,8679838,8679838,8679838,GIN
2022-09-24,8684000,8684000,8684000,GIN
2022-09-25,8726223,8726223,8726223,GIN
2022-09-26,8720252,8720252,8720252,GIN
2022-09-27,8690066,8690066,8690066,GIN
2022-09-28,8701995,8701995,8701995,GIN
2022-09-29,8740278,8740278,8740278,GIN
2022-09-30,8676245,8676245,8676245,GIN
2022-10-01,8687801,8687801,8687801,GIN
2022-10-02,8679649,8679649,8679649,GIN
2022-10-03,8522075,8522075,8522075,GIN
2022-10-04,8489571,8489571,8489571,GIN
2022-10-05,8471922,8471922,8471922,GIN
2022-10-06,8478522,8478522,8478522,GIN
2022-10-07,8533114,8533114,8533114,GIN
2022-10-08,8611796,8611796,8611796,GIN
2022-10-09,8599183,8599183,8599183,GIN
2022-10-10,8549000,8549000,8549000,GIN
2022-10-11,8539472,8539472,8539472,GIN
2022-10-12,8590652,8590652,8590652,GIN
2022-10-13,8499571,8499571,8499571,GIN
2022-10-14,8391011,8391011,8391011,GIN
2022-10-15,8488448,8488448,8488448,GIN
2022-10-16,8493972,8493972,8493972,GIN
2022-10-17,8540164,8540164,8540164,GIN
2022-10-18,8546465,8546465,8546465,GIN
2022-10-19,8501999,8501999,8501999,GIN
2022-10-20,8491044,8491044,8491044,GIN
2022-10-21,8462631,8462631,8462631,GIN
2022-10-22,8454656,8454656,8454656,GIN
2022-10-23,8384888,8384888,8384888,GIN
2022-10-24,8370244,8370244,8370244,GIN
2022-10-25,8325717,8325717,8325717,GIN
2022-10-26,8239349,8239349,8239349,GIN
2022-10-27,8251352,8251352,8251352,GIN
2022-10-28,8109559,8109559,8109559,GIN
2022-10-29,8064362,8064362,8064362,GIN
2022-10-30,8066481,8066481,8066481,GIN
2022-10-31,8081828,8081828,8081828,GIN
2022-11-01,8084406,8084406,8084406,GIN
2022-11-02,8127794,8127794,8127794,GIN
2022-11-03,8106334,8106334,8106334,GIN
2022-11-04,8087695,8087695,8087695,GIN
2022-11-05,8192621,8192621,8192621,GIN
2022-11-06,8242352,8242352,8242352,GIN
2022-11-07,8317272,8317272,8317272,GIN
2022-11-08,8436354,8436354,8436354,GIN
2022-11-09,8428325,8428325,8428325,GIN
2022-11-10,8426595,8426595,8426595,GIN
2022-11-11,8404835,8404835,8404835,GIN
2022-11-12,8374593,8374593,8374593,GIN
2022-11-13,8346125,8346125,8346125,GIN
2022-11-14,8357780,8357780,8357780,GIN
2022-11-15,8376176,8376176,8376176,GIN
2022-11-16,8312995,8312995,8312995,GIN
2022-11-17,8295176,8295176,8295176,GIN
2022-11-18,8349142,8349142,8349142,GIN
2022-11-19,8371829,8371829,8371829,GIN
2022-11-20,8432670,8432670,8432670,GIN
2022-11-21,8327806,8327806,8327806,GIN
2022-11-22,8292117,8292117,8292117,GIN
2022-11-23,8269939,8269939,8269939,GIN
2022-11-24,8338374,8338374,8338374,GIN
2022-11-25,8395692,8395692,8395692,GIN
2022-11-26,8332064,8332064,8332064,GIN
2022-11-27,8413015,8413015,8413015,GIN
2022-11-28,8438518,8438518,8438518,GIN
2022-11-29,8374064,8374064,8374064,GIN
2022-11-30,8371321,8371321,8371321,GIN
2022-12-01,8313417,8313417,8313417,GIN
2022-12-02,8253341,8253341,8253341,GIN
2022-12-03,8312724,8312724,8312724,GIN
2022-12-04,8293046,8293046,8293046,GIN
2022-12-05,8232349,8232349,8232349,GIN
2022-12-06,8148675,8148675,8148675,GIN
2022-12-07,7921130,7921130,7921130,GIN
2022-12-08,7787855,7787855,7787855,GIN
2022-12-09,7789237,7789237,7789237,GIN
2022-12-10,7919340,7919340,7919340,GIN
2022-12-11,7922283,7922283,7922283,GIN
2022-12-12,7931688,7931688,7931688,GIN
2022-12-13,7992646,7992646,7992646,GIN
2022-12-14,7959835,7959835,7959835,GIN
2022-12-15,7998875,7998875,7998875,GIN
2022-12-16,8005877,8005877,8005877,GIN
2022-12-17,8042815,8042815,8042815,GIN
2022-12-18,8036182,8036182,8036182,GIN
2022-12-19,7977349,7977349,7977349,GIN
2022-12-20,7943866,7943866,7943866,GIN
2022-12-21,7956364,7956364,7956364,GIN
2022-12-22,8024869,8024869,8024869,GIN
