date,value,value_high,value_low,iso_code
2022-08-06,1319639,1319639,1319639,GTM
2022-08-07,1337167,1337167,1337167,GTM
2022-08-08,1339933,1339933,1339933,GTM
2022-08-09,1312892,1312892,1312892,GTM
2022-08-10,1292507,1292507,1292507,GTM
2022-08-11,1282017,1282017,1282017,GTM
2022-08-12,1277357,1277357,1277357,GTM
2022-08-13,1276535,1276535,1276535,GTM
2022-08-14,1254444,1254444,1254444,GTM
2022-08-15,1285408,1285408,1285408,GTM
2022-08-16,1284935,1284935,1284935,GTM
2022-08-17,1296207,1296207,1296207,GTM
2022-08-18,1276359,1276359,1276359,GTM
2022-08-19,1291334,1291334,1291334,GTM
2022-08-20,1276713,1276713,1276713,GTM
2022-08-21,1283644,1283644,1283644,GTM
2022-08-22,1296666,1296666,1296666,GTM
2022-08-23,1299355,1299355,1299355,GTM
2022-08-24,1285347,1285347,1285347,GTM
2022-08-25,1292065,1292065,1292065,GTM
2022-08-26,1287456,1287456,1287456,GTM
2022-08-27,1286984,1286984,1286984,GTM
2022-08-28,1294938,1294938,1294938,GTM
2022-08-29,1305021,1305021,1305021,GTM
2022-08-30,1280337,1280337,1280337,GTM
2022-08-31,1287963,1287963,1287963,GTM
2022-09-01,1296212,1296212,1296212,GTM
2022-09-02,1300518,1300518,1300518,GTM
2022-09-03,1302489,1302489,1302489,GTM
2022-09-04,1299591,1299591,1299591,GTM
2022-09-05,1310670,1310670,1310670,GTM
2022-09-06,1310611,1310611,1310611,GTM
2022-09-07,1324070,1324070,1324070,GTM
2022-09-08,1324841,1324841,1324841,GTM
2022-09-09,1322052,1322052,1322052,GTM
2022-09-10,1362930,1362930,1362930,GTM
2022-09-11,1341679,1341679,1341679,GTM
2022-09-12,1327007,1327007,1327007,GTM
2022-09-13,1335547,1335547,1335547,GTM
2022-09-14,1328618,1328618,1328618,GTM
2022-09-15,1328618,1328618,1328618,GTM
2022-09-16,1334855,1334855,1334855,GTM
2022-09-17,1298830,1298830,1298830,GTM
2022-09-18,1271729,1271729,1271729,GTM
2022-09-19,1306272,1306272,1306272,GTM
2022-09-20,1292852,1292852,1292852,GTM
2022-09-21,1300538,1300538,1300538,GTM
2022-09-22,1320024,1320024,1320024,GTM
2022-09-23,1301316,1301316,1301316,GTM
2022-09-24,1284752,1284752,1284752,GTM
2022-09-25,1296572,1296572,1296572,GTM
2022-09-26,1286176,1286176,1286176,GTM
2022-09-27,1286009,1286009,1286009,GTM
2022-09-28,1280014,1280014,1280014,GTM
2022-09-29,1285435,1285435,1285435,GTM
2022-09-30,1257809,1257809,1257809,GTM
2022-10-01,1231892,1231892,1231892,GTM
2022-10-02,1224230,1224230,1224230,GTM
2022-10-03,1229788,1229788,1229788,GTM
2022-10-04,1217139,1217139,1217139,GTM
2022-10-05,1218883,1218883,1218883,GTM
2022-10-06,1219879,1219879,1219879,GTM
2022-10-07,1209826,1209826,1209826,GTM
2022-10-08,1211847,1211847,1211847,GTM
2022-10-09,1218330,1218330,1218330,GTM
2022-10-10,1220659,1220659,1220659,GTM
2022-10-11,1212795,1212795,1212795,GTM
2022-10-12,1215223,1215223,1215223,GTM
2022-10-13,1214645,1214645,1214645,GTM
2022-10-14,1182809,1182809,1182809,GTM
2022-10-15,1158702,1158702,1158702,GTM
2022-10-16,1145703,1145703,1145703,GTM
2022-10-17,1133452,1133452,1133452,GTM
2022-10-18,1141537,1141537,1141537,GTM
2022-10-19,1140741,1140741,1140741,GTM
2022-10-20,1126979,1126979,1126979,GTM
2022-10-21,1112569,1112569,1112569,GTM
2022-10-22,1121480,1121480,1121480,GTM
2022-10-23,1134813,1134813,1134813,GTM
2022-10-24,1141879,1141879,1141879,GTM
2022-10-25,1157626,1157626,1157626,GTM
2022-10-26,1172256,1172256,1172256,GTM
2022-10-27,1168060,1168060,1168060,GTM
2022-10-28,1139251,1139251,1139251,GTM
2022-10-29,1155214,1155214,1155214,GTM
2022-10-30,1140953,1140953,1140953,GTM
2022-10-31,1119073,1119073,1119073,GTM
2022-11-01,1114129,1114129,1114129,GTM
2022-11-02,1146793,1146793,1146793,GTM
2022-11-03,1145761,1145761,1145761,GTM
2022-11-04,1156270,1156270,1156270,GTM
2022-11-05,1160320,1160320,1160320,GTM
2022-11-06,1158945,1158945,1158945,GTM
