date,value,value_high,value_low,iso_code
2022-07-18,120957,120957,120957,HND
2022-07-19,120896,120896,120896,HND
2022-07-20,133776,133776,133776,HND
2022-07-21,137975,137975,137975,HND
2022-07-22,140711,140711,140711,HND
2022-07-23,146626,146626,146626,HND
2022-07-24,147357,147357,147357,HND
2022-07-25,145348,145348,145348,HND
2022-07-26,149017,149017,149017,HND
2022-07-27,157594,157594,157594,HND
2022-07-28,154393,154393,154393,HND
2022-07-29,167532,167532,167532,HND
2022-07-30,173826,173826,173826,HND
2022-07-31,172948,172948,172948,HND
2022-08-01,174543,174543,174543,HND
2022-08-02,171322,171322,171322,HND
2022-08-03,167827,167827,167827,HND
2022-08-04,173878,173878,173878,HND
2022-08-05,180135,180135,180135,HND
2022-08-06,187778,187778,187778,HND
2022-08-07,185619,185619,185619,HND
2022-08-08,181014,181014,181014,HND
2022-08-09,178898,178898,178898,HND
2022-08-10,179627,179627,179627,HND
2022-08-11,179869,179869,179869,HND
2022-08-12,174771,174771,174771,HND
2022-08-13,173507,173507,173507,HND
2022-08-14,169178,169178,169178,HND
2022-08-15,172666,172666,172666,HND
2022-08-16,159334,159334,159334,HND
2022-08-17,160869,160869,160869,HND
2022-08-18,172249,172249,172249,HND
2022-08-19,193450,193450,193450,HND
2022-08-20,194656,194656,194656,HND
2022-08-21,205308,205308,205308,HND
2022-08-22,217172,217172,217172,HND
2022-08-23,220247,220247,220247,HND
2022-08-24,219321,219321,219321,HND
2022-08-25,224185,224185,224185,HND
2022-08-26,225218,225218,225218,HND
2022-08-27,222758,222758,222758,HND
2022-08-28,222717,222717,222717,HND
2022-08-29,227407,227407,227407,HND
2022-08-30,232773,232773,232773,HND
2022-08-31,232200,232200,232200,HND
2022-09-01,232853,232853,232853,HND
2022-09-02,249084,249084,249084,HND
2022-09-03,248179,248179,248179,HND
2022-09-04,252421,252421,252421,HND
2022-09-05,261231,261231,261231,HND
2022-09-06,262049,262049,262049,HND
2022-09-07,264662,264662,264662,HND
2022-09-08,266820,266820,266820,HND
2022-09-09,267767,267767,267767,HND
2022-09-10,276370,276370,276370,HND
2022-09-11,286283,286283,286283,HND
2022-09-12,297899,297899,297899,HND
2022-09-13,300574,300574,300574,HND
2022-09-14,322345,322345,322345,HND
2022-09-15,322403,322403,322403,HND
2022-09-16,359402,359402,359402,HND
2022-09-17,375478,375478,375478,HND
2022-09-18,400812,400812,400812,HND
2022-09-19,420307,420307,420307,HND
2022-09-20,438967,438967,438967,HND
2022-09-21,451225,451225,451225,HND
2022-09-22,457657,457657,457657,HND
2022-09-23,470060,470060,470060,HND
2022-09-24,478043,478043,478043,HND
2022-09-25,493174,493174,493174,HND
2022-09-26,506971,506971,506971,HND
2022-09-27,514880,514880,514880,HND
2022-09-28,523740,523740,523740,HND
2022-09-29,539770,539770,539770,HND
2022-09-30,549055,549055,549055,HND
2022-10-01,570667,570667,570667,HND
2022-10-02,576637,576637,576637,HND
2022-10-03,591274,591274,591274,HND
2022-10-04,607046,607046,607046,HND
2022-10-05,622039,622039,622039,HND
2022-10-06,622196,622196,622196,HND
2022-10-07,625191,625191,625191,HND
2022-10-08,632071,632071,632071,HND
2022-10-09,626996,626996,626996,HND
2022-10-10,634196,634196,634196,HND
2022-10-11,634655,634655,634655,HND
2022-10-12,636132,636132,636132,HND
2022-10-13,643965,643965,643965,HND
2022-10-14,645545,645545,645545,HND
2022-10-15,660328,660328,660328,HND
2022-10-16,702277,702277,702277,HND
2022-10-17,686433,686433,686433,HND
2022-10-18,692435,692435,692435,HND
