date,value,value_high,value_low,iso_code
2022-07-05,33527972,38346929,29387864,IDN
2022-07-06,33780400,38795526,29493457,IDN
2022-07-07,33790834,38795526,29493457,IDN
2022-07-08,33782688,38782561,29488301,IDN
2022-07-09,33782688,38782561,29488301,IDN
2022-07-10,33782688,38782561,29488301,IDN
2022-07-11,33665103,38648865,29368119,IDN
2022-07-12,33665103,38648865,29368119,IDN
2022-07-13,34136469,40601887,29832829,IDN
2022-07-14,34219528,40601887,29842010,IDN
2022-07-15,34219528,40601887,29867674,IDN
2022-07-16,34219528,40603166,29868282,IDN
2022-07-17,34459444,40921149,30019889,IDN
2022-07-18,34421036,40921149,29981137,IDN
2022-07-19,34078813,40437299,29725562,IDN
2022-07-20,34091140,40458320,29725562,IDN
2022-07-21,34071612,40500630,29706287,IDN
2022-07-22,33895007,40409552,29563683,IDN
2022-07-23,33895007,40409552,29563683,IDN
2022-07-24,33895007,40409552,29563683,IDN
2022-07-25,33895007,40409552,29563683,IDN
2022-07-26,33895007,40409552,29563683,IDN
2022-07-27,33894783,40409552,29563683,IDN
2022-07-28,33880288,40314282,29528354,IDN
2022-07-29,33880288,40314282,29528354,IDN
2022-07-30,33880288,40314282,29528354,IDN
2022-07-31,34000830,40096267,29547474,IDN
2022-08-01,33895800,39909394,29326651,IDN
2022-08-02,33928698,39909394,29498146,IDN
2022-08-03,33928698,39909394,29498146,IDN
2022-08-04,33936812,39909394,29498275,IDN
2022-08-05,34011513,40079640,29530379,IDN
2022-08-06,34011513,40079640,29530379,IDN
2022-08-07,34011513,40079640,29530379,IDN
2022-08-08,34005158,40052003,29527505,IDN
2022-08-09,33947258,39965167,29499737,IDN
2022-08-10,33947258,39965167,29499737,IDN
2022-08-11,33847505,39978684,29398292,IDN
2022-08-12,33847505,39978684,29398292,IDN
2022-08-13,33847505,39978684,29398292,IDN
2022-08-14,33847505,39978684,29398292,IDN
2022-08-15,33852003,39978684,29397405,IDN
2022-08-16,33852003,39978684,29397405,IDN
2022-08-17,33822599,39978684,29210447,IDN
2022-08-18,33822599,39978684,29210447,IDN
2022-08-19,33822599,39978684,29210447,IDN
2022-08-20,33822599,39978684,29210447,IDN
2022-08-21,33728167,39911274,29149090,IDN
2022-08-22,33728167,39911274,29149090,IDN
2022-08-23,33728167,39911274,29149090,IDN
2022-08-24,33752479,39916200,29185621,IDN
2022-08-25,33728167,39911274,29149090,IDN
2022-08-26,33728167,39911274,29149090,IDN
2022-08-27,33733536,39916200,29149090,IDN
2022-08-28,33728128,39911274,29149090,IDN
2022-08-29,33728128,39911274,29149090,IDN
2022-08-30,33728128,39911274,29149090,IDN
2022-08-31,33331012,39525205,28937954,IDN
2022-09-01,33293278,39503160,29052518,IDN
2022-09-02,33264362,39442298,29049162,IDN
2022-09-03,33264362,39442298,29049162,IDN
2022-09-04,33247960,39442298,29048788,IDN
2022-09-05,33247960,39442298,29048788,IDN
2022-09-06,33247960,39442298,29048788,IDN
2022-09-07,33247960,39442298,29048788,IDN
2022-09-08,33283978,39545877,29053836,IDN
2022-09-09,33283978,39545877,29053836,IDN
2022-09-10,33283978,39545877,29053836,IDN
2022-09-11,33191368,39511634,28993663,IDN
2022-09-12,33191368,39511634,28993663,IDN
2022-09-13,33216879,39511634,28998122,IDN
2022-09-14,33216879,39511634,28998122,IDN
2022-09-15,33186411,39511634,28814288,IDN
2022-09-16,33186411,39511634,28814288,IDN
2022-09-17,33186411,39511634,28814288,IDN
2022-09-18,33186411,39511634,28814288,IDN
2022-09-19,33200254,39558205,28846196,IDN
2022-09-20,33200309,39558205,28846196,IDN
2022-09-21,33145128,39477439,28770163,IDN
2022-09-22,33145128,39477439,28770163,IDN
2022-09-23,33145128,39477439,28770163,IDN
2022-09-24,33145128,39477439,28770163,IDN
2022-09-25,33145128,39477439,28770163,IDN
2022-09-26,33145128,39477439,28770163,IDN
2022-09-27,33201941,39477439,28770163,IDN
2022-09-28,33200571,39477439,28770163,IDN
2022-09-29,33200571,39477439,28770163,IDN
2022-09-30,33238117,39539318,28799899,IDN
2022-10-01,33230514,39527735,28794720,IDN
2022-10-02,33231493,39487251,28794720,IDN
2022-10-03,33217590,39465723,28800891,IDN
2022-10-04,32921962,39105610,28054439,IDN
2022-10-05,32865291,39095308,27929778,IDN
