date,value,value_high,value_low,iso_code
2022-11-07,1471623,1802487,1193293,JOR
2022-11-08,1471623,1802487,1193293,JOR
2022-11-09,1471623,1802487,1193293,JOR
2022-11-10,1471623,1802487,1193293,JOR
2022-11-11,1473928,1809902,1193528,JOR
2022-11-12,1473928,1809902,1193528,JOR
2022-11-13,1473928,1809902,1193528,JOR
2022-11-14,1473928,1809902,1193528,JOR
2022-11-15,1473928,1809902,1193528,JOR
2022-11-16,1474597,1809764,1192716,JOR
2022-11-17,1473928,1809902,1193528,JOR
2022-11-18,1473928,1809902,1193528,JOR
2022-11-19,1473928,1809902,1193528,JOR
2022-11-20,1473928,1809902,1193528,JOR
2022-11-21,1473928,1810972,1193855,JOR
2022-11-22,1473928,1810972,1193855,JOR
2022-11-23,1473928,1810972,1193855,JOR
2023-02-21,1499880,1866723,1199307,JOR
2022-11-24,1473928,1810972,1193855,JOR
2022-11-25,1476344,1810795,1193383,JOR
2022-11-26,1476344,1810795,1193383,JOR
2022-11-27,1476344,1810795,1193383,JOR
2022-11-28,1474456,1810795,1192777,JOR
2022-11-29,1474456,1810795,1192777,JOR
2022-11-30,1474456,1810795,1192777,JOR
2022-12-01,1506343,1866004,1198471,JOR
2022-12-02,1506343,1866004,1198471,JOR
2022-12-03,1518778,1896752,1205686,JOR
2022-12-04,1506972,1866004,1198471,JOR
2022-12-05,1506972,1866004,1198471,JOR
2022-12-06,1501528,1864444,1195951,JOR
2022-12-07,1501528,1864444,1195951,JOR
2022-12-08,1501528,1864444,1195951,JOR
2022-12-09,1476378,1828715,1184210,JOR
2022-12-10,1476378,1828715,1184210,JOR
2022-12-11,1473225,1828599,1181393,JOR
2022-12-12,1473225,1828599,1181393,JOR
2022-12-13,1473225,1828599,1181393,JOR
2022-12-14,1473225,1828599,1181393,JOR
2022-12-15,1473225,1828599,1181393,JOR
2022-12-16,1472219,1829159,1179917,JOR
2022-12-17,1471144,1829021,1179917,JOR
2022-12-18,1471144,1829021,1179917,JOR
2022-12-19,1471144,1829021,1179917,JOR
2022-12-20,1471144,1829021,1179917,JOR
2022-12-21,1473247,1829130,1180840,JOR
2022-12-22,1473247,1829130,1180840,JOR
2022-12-23,1473247,1829130,1180840,JOR
2022-12-24,1473247,1829130,1180840,JOR
2022-12-25,1473247,1829130,1180840,JOR
2022-12-26,1473247,1829130,1180840,JOR
2022-12-27,1493244,1853239,1198041,JOR
2022-12-28,1473247,1829130,1180840,JOR
2022-12-29,1472355,1827737,1179592,JOR
2022-12-30,1472355,1827737,1179592,JOR
2022-12-31,1472475,1826279,1180067,JOR
2023-01-01,1470809,1825794,1179568,JOR
2023-01-02,1470809,1825794,1179568,JOR
2023-01-03,1470809,1825794,1179568,JOR
2023-01-04,1470809,1825794,1179568,JOR
2023-01-05,1472652,1825828,1180821,JOR
2023-01-06,1472652,1825828,1180821,JOR
2023-01-07,1472652,1825828,1180821,JOR
