date,value,value_high,value_low,iso_code
2022-09-14,1879550,2356416,1479583,KGZ
2022-09-15,1880307,2356416,1479583,KGZ
2022-09-16,1880307,2356416,1479583,KGZ
2022-09-17,1881045,2354754,1475068,KGZ
2022-09-18,1857168,2347309,1458637,KGZ
2022-09-19,1781904,2264432,1401234,KGZ
2022-09-20,1585583,1988387,1223468,KGZ
2022-09-21,1583742,1979058,1222604,KGZ
2022-09-22,1583742,1979463,1223221,KGZ
2022-09-23,1583742,1979463,1223221,KGZ
2022-09-24,1578466,1968041,1217669,KGZ
2022-09-25,1577843,1967094,1216474,KGZ
2022-09-26,1580105,1972007,1216474,KGZ
2022-09-27,1574267,1971618,1209350,KGZ
2022-09-28,1549496,1941119,1198258,KGZ
2022-09-29,1543666,1940844,1197655,KGZ
2022-09-30,1551828,1943862,1201281,KGZ
2022-10-01,1586436,1985230,1213711,KGZ
2022-10-02,1565027,1968674,1210172,KGZ
2022-10-03,1565951,1970277,1212567,KGZ
2022-10-04,1568153,1971242,1215098,KGZ
2022-10-05,1568148,1971242,1215098,KGZ
2022-10-06,1565696,1971896,1213086,KGZ
2022-10-07,1565696,1971896,1213086,KGZ
2022-10-08,1565486,1971896,1213086,KGZ
2022-10-09,1565588,1971896,1213086,KGZ
2022-10-10,1565486,1971896,1213086,KGZ
2022-10-11,1564852,1971926,1215105,KGZ
2022-10-12,1564852,1971926,1215105,KGZ
2022-10-13,1564852,1971926,1215105,KGZ
2022-10-14,1564852,1971926,1215105,KGZ
2022-10-15,1560204,1968937,1212479,KGZ
2022-10-16,1560204,1968937,1212479,KGZ
2022-10-17,1560242,1968937,1212479,KGZ
2022-10-18,1564468,1968201,1212479,KGZ
2022-10-19,1569473,1969222,1212479,KGZ
2022-10-20,1569473,1969222,1212479,KGZ
2022-10-21,1569473,1970998,1214503,KGZ
2022-10-22,1572667,1970300,1214503,KGZ
2022-10-23,1572154,1970019,1214416,KGZ
2022-10-24,1558235,1964480,1214097,KGZ
2022-10-25,1558633,1964480,1214097,KGZ
2022-10-26,1558235,1964480,1214097,KGZ
2022-10-27,1559433,1964510,1214097,KGZ
2022-10-28,1561439,1958969,1212073,KGZ
2022-10-29,1561837,1958969,1212073,KGZ
2022-10-30,1561439,1958969,1212073,KGZ
2022-10-31,1562637,1962430,1212073,KGZ
2022-11-01,1577721,1983236,1226812,KGZ
2022-11-02,1577721,1984843,1226812,KGZ
2022-11-03,1588912,1991309,1227125,KGZ
2022-11-04,1577721,1984843,1226812,KGZ
2022-11-05,1576243,1983236,1226812,KGZ
2022-11-06,1577721,1984843,1226812,KGZ
2022-11-07,1577721,1984843,1226812,KGZ
2022-11-08,1576243,1983236,1226812,KGZ
2022-11-09,1576243,1983236,1226812,KGZ
2022-11-10,1576243,1983236,1226812,KGZ
2022-11-11,1577950,1978874,1220784,KGZ
2022-11-12,1577950,1978874,1220784,KGZ
2022-11-13,1577950,1978874,1220784,KGZ
2022-11-14,1577950,1978874,1220784,KGZ
2022-11-15,1577950,1978874,1220784,KGZ
2022-11-16,1574189,1968464,1219991,KGZ
2022-11-17,1577379,1978215,1219991,KGZ
2022-11-18,1577379,1976033,1219991,KGZ
2022-11-19,1577379,1976033,1219991,KGZ
2022-11-20,1577379,1976033,1219991,KGZ
2022-11-21,1574444,1972146,1219402,KGZ
2022-11-22,1577167,1972146,1223283,KGZ
2022-11-23,1577167,1973275,1223283,KGZ
2022-11-24,1586961,1984150,1226678,KGZ
2022-11-25,1595357,1986913,1234251,KGZ
2022-11-26,1593876,1986913,1234251,KGZ
2022-11-27,1594169,1986913,1234251,KGZ
2022-11-28,1591008,1984378,1231841,KGZ
2022-11-29,1572588,1949179,1214724,KGZ
2022-11-30,1568638,1946996,1214023,KGZ
2022-12-01,1558175,1945524,1199908,KGZ
2022-12-02,1558175,1945524,1199908,KGZ
2022-12-03,1564598,1946529,1206797,KGZ
2022-12-04,1560999,1948110,1200836,KGZ
2022-12-05,1560999,1948110,1200836,KGZ
2022-12-06,1563130,1943460,1202242,KGZ
2022-12-07,1563130,1943460,1202242,KGZ
2022-12-08,1562548,1943460,1200676,KGZ
2022-12-09,1562313,1943460,1200676,KGZ
2022-12-10,1562313,1943460,1200676,KGZ
2022-12-11,1563693,1944724,1200676,KGZ
2022-12-12,1563693,1944724,1202166,KGZ
2022-12-13,1563693,1944724,1200676,KGZ
2022-12-14,1563693,1944724,1200676,KGZ
