date,value,value_high,value_low,iso_code
2022-07-04,2886428,3695778,2252288,KHM
2022-07-05,2882948,3695714,2232284,KHM
2022-07-06,2871457,3683531,2231742,KHM
2022-07-07,2836453,3665835,2225007,KHM
2022-07-08,2834028,3662271,2224698,KHM
2022-07-09,2834028,3662271,2224698,KHM
2022-07-10,2833768,3660972,2220607,KHM
2022-07-11,2820941,3635136,2202739,KHM
2022-07-12,2813784,3632359,2194732,KHM
2022-07-13,2813760,3629866,2194694,KHM
2022-07-14,2813760,3629866,2194694,KHM
2022-07-15,2813722,3629866,2194694,KHM
2022-07-16,2813722,3629866,2194694,KHM
2022-07-17,2813722,3624879,2194694,KHM
2022-07-18,2813722,3624879,2194694,KHM
2022-07-19,2813722,3624879,2194694,KHM
2022-07-20,2813722,3624879,2194694,KHM
2022-07-21,2811893,3632543,2191877,KHM
2022-07-22,2826660,3660661,2198412,KHM
2022-07-23,2825784,3660661,2198412,KHM
2022-07-24,2825585,3661366,2198412,KHM
2022-07-25,2825585,3661366,2198564,KHM
2022-07-26,2826437,3661366,2198564,KHM
2022-07-27,2826004,3660592,2202959,KHM
2022-07-28,2830239,3667878,2215926,KHM
2022-07-29,2831672,3668153,2217438,KHM
2022-07-30,2831284,3668153,2217438,KHM
2022-07-31,2831284,3668153,2217438,KHM
2022-08-01,2837629,3672197,2208028,KHM
2022-08-02,2837629,3672197,2208028,KHM
2022-08-03,2837629,3672197,2208028,KHM
2022-08-04,2837904,3672197,2208028,KHM
2022-08-05,2837904,3672197,2208028,KHM
2022-08-06,2837904,3672197,2208691,KHM
2022-08-07,2837904,3672197,2208691,KHM
2022-08-08,2837570,3672197,2208691,KHM
2022-08-09,2837570,3672197,2208691,KHM
2022-08-10,2837570,3672197,2208691,KHM
2022-08-11,2841417,3678308,2209681,KHM
2022-08-12,2841417,3677540,2209681,KHM
2022-08-13,2841417,3677540,2209681,KHM
2022-08-14,2841152,3677540,2209681,KHM
2022-08-15,2841152,3677540,2209681,KHM
2022-08-16,2841152,3677540,2202965,KHM
2022-08-17,2841152,3677540,2202965,KHM
2022-08-18,2841152,3677413,2202965,KHM
2022-08-19,2841152,3677413,2202965,KHM
2022-08-20,2841152,3677413,2202965,KHM
2022-08-21,2839290,3673757,2204511,KHM
2022-08-22,2839290,3673757,2204511,KHM
2022-08-23,2838240,3673757,2204511,KHM
2022-08-24,2838127,3670264,2204511,KHM
2022-08-25,2838127,3670264,2204511,KHM
2022-08-26,2838127,3670264,2204511,KHM
2022-08-27,2835454,3670264,2204511,KHM
2022-08-28,2835454,3670264,2204511,KHM
2022-08-29,2835454,3670264,2204511,KHM
2022-08-30,2835454,3670518,2204896,KHM
2022-08-31,2835454,3670518,2204896,KHM
2022-09-01,2771436,3585745,2168071,KHM
2022-09-02,2771436,3585745,2168071,KHM
2022-09-03,2771436,3585745,2168071,KHM
2022-09-04,2771436,3585745,2168071,KHM
2022-09-05,2771436,3585745,2168071,KHM
2022-09-06,2771595,3585745,2170744,KHM
2022-09-07,2772667,3585745,2170744,KHM
2022-09-08,2772667,3589959,2173636,KHM
2022-09-09,2772821,3589959,2173636,KHM
2022-09-10,2772821,3589959,2173636,KHM
2022-09-11,2774657,3590456,2172555,KHM
2022-09-12,2774657,3590456,2172555,KHM
2022-09-13,2774657,3590456,2172555,KHM
2022-09-14,2774657,3590456,2172555,KHM
2022-09-15,2774657,3590456,2172555,KHM
2022-09-16,2774657,3590456,2172555,KHM
2022-09-17,2774657,3590456,2172555,KHM
2022-09-18,2774657,3590456,2172555,KHM
2022-09-19,2774657,3590456,2172555,KHM
2022-09-20,2774657,3590456,2172555,KHM
2022-09-21,2777588,3591934,2171654,KHM
2022-09-22,2777551,3591934,2171654,KHM
2022-09-23,2779995,3591934,2171654,KHM
2022-09-24,2777551,3591934,2171654,KHM
2022-09-25,2779995,3591934,2171654,KHM
2022-09-26,2779995,3591934,2171654,KHM
2022-09-27,2775338,3591934,2171654,KHM
2022-09-28,2775338,3591934,2171654,KHM
2022-09-29,2775338,3591934,2171654,KHM
2022-09-30,2775338,3591934,2171654,KHM
2022-10-01,2843839,3686781,2201612,KHM
2022-10-02,2843839,3686781,2201612,KHM
2022-10-03,2843839,3686781,2201612,KHM
2022-10-04,2843839,3686781,2201612,KHM
