date,value,value_high,value_low,iso_code
2022-09-07,1038375,1218693,865831,LBN
2022-09-08,1038375,1218693,865831,LBN
2022-09-09,1028922,1214541,855957,LBN
2022-09-10,1028922,1214541,855957,LBN
2022-09-11,1028346,1213736,859758,LBN
2022-09-12,1028346,1213736,859758,LBN
2022-09-13,1048824,1222429,872681,LBN
2022-09-14,1048492,1222429,872681,LBN
2022-09-15,1047505,1221737,872681,LBN
2022-09-16,1047505,1221737,872681,LBN
2022-09-17,1047628,1222403,873503,LBN
2022-09-18,1050870,1230291,876738,LBN
2022-09-19,1050870,1230291,876738,LBN
2022-09-20,1050870,1230291,876738,LBN
2022-09-21,1051864,1231037,877200,LBN
2022-09-22,1051864,1231037,877200,LBN
2022-09-23,1050025,1230029,876320,LBN
2022-09-24,1049279,1231712,876320,LBN
2022-09-25,1049526,1232721,878001,LBN
2022-09-26,1049526,1232721,878001,LBN
2022-09-27,1049387,1232721,878001,LBN
2022-09-28,1048942,1232540,878001,LBN
2022-09-29,1048942,1232540,878001,LBN
2022-09-30,1048279,1232540,877442,LBN
2022-10-01,1049859,1232945,879261,LBN
2022-10-02,1049859,1232945,879261,LBN
2022-10-03,1049859,1232945,879261,LBN
2022-10-04,1049859,1232945,879261,LBN
2022-10-05,1049859,1233319,879261,LBN
2022-10-06,1060208,1236622,886434,LBN
2022-10-07,1060208,1236622,886434,LBN
2022-10-08,1060208,1236622,886434,LBN
2022-10-09,1060208,1236622,886434,LBN
2022-10-10,1060268,1236125,886434,LBN
2022-10-11,1067396,1244051,890310,LBN
2022-10-12,1067396,1244051,890310,LBN
2022-10-13,1067871,1244051,890310,LBN
2022-10-14,1067909,1247202,888589,LBN
2022-10-15,1088193,1278368,904307,LBN
2022-10-16,1088225,1278368,904307,LBN
2022-10-17,1088225,1278368,904307,LBN
2022-10-18,1088225,1278368,904307,LBN
2022-10-19,1088225,1278368,904307,LBN
2022-10-20,1087676,1278016,904559,LBN
2022-10-21,1085507,1274285,904200,LBN
2022-10-22,1085135,1274285,904200,LBN
2022-10-23,1085526,1274782,904200,LBN
2022-10-24,1085400,1274751,904200,LBN
2022-10-25,1085615,1275152,904200,LBN
2022-10-26,1085615,1275152,904200,LBN
2022-10-27,1085615,1275152,904200,LBN
2022-10-28,1101861,1290509,924105,LBN
2022-10-29,1101861,1290509,924105,LBN
2022-10-30,1101861,1290509,924105,LBN
2022-10-31,1101139,1290101,924601,LBN
2022-11-01,1102166,1290681,923926,LBN
2022-11-02,1102166,1290334,923926,LBN
2022-11-03,1101624,1290334,923926,LBN
2022-11-04,1101624,1290334,923926,LBN
2022-11-05,1101624,1290334,923926,LBN
2022-11-06,1101624,1290334,923926,LBN
2022-11-07,1101467,1289831,922984,LBN
2022-11-08,1114983,1300268,932089,LBN
2022-11-09,1114983,1300268,932089,LBN
2022-11-10,1117678,1299404,932042,LBN
2022-11-11,1117612,1299404,932381,LBN
2022-11-12,1117612,1299404,932381,LBN
2022-11-13,1117612,1299404,932381,LBN
2022-11-14,1117612,1299404,932381,LBN
2022-11-15,1117612,1299404,932381,LBN
2022-11-16,1120944,1306514,935526,LBN
2022-11-17,1120944,1306514,935526,LBN
2022-11-18,1207842,1472056,982154,LBN
2022-11-19,1207842,1472056,982154,LBN
2022-11-20,1207842,1472056,982154,LBN
2022-11-21,1207069,1471587,982608,LBN
2022-11-22,1207069,1471587,982608,LBN
2022-11-23,1207069,1471587,982608,LBN
2022-11-24,1207069,1471587,982608,LBN
2022-11-25,1208600,1471587,983756,LBN
2022-11-26,1209857,1476647,983756,LBN
2022-11-27,1209857,1476647,983756,LBN
2022-11-28,1207127,1472490,981163,LBN
2022-11-29,1207127,1472490,981163,LBN
2022-11-30,1207127,1472490,981163,LBN
2022-12-01,1211629,1476870,984036,LBN
2022-12-02,1211629,1476870,984036,LBN
2022-12-03,1216920,1494480,990439,LBN
2022-12-04,1216920,1494480,990439,LBN
2022-12-05,1216920,1494480,990439,LBN
2022-12-06,1210636,1485527,984138,LBN
2022-12-07,1210636,1485527,984138,LBN
