date,value,value_high,value_low,iso_code
2022-08-12,4848421,5918852,3857552,MAR
2022-08-13,4843054,5937040,3864197,MAR
2022-08-14,4837624,5899101,3864197,MAR
2022-08-15,4837624,5899101,3864197,MAR
2022-08-16,4837624,5887667,3850191,MAR
2022-08-17,4821855,5784319,3809680,MAR
2022-08-18,4837624,5887667,3850191,MAR
2022-08-19,4837624,5887667,3850191,MAR
2022-08-20,4821855,5784319,3809680,MAR
2022-08-21,4839837,5800593,3839945,MAR
2022-08-22,4839837,5800593,3839945,MAR
2022-08-23,4839837,5800593,3839945,MAR
2022-08-24,4858383,5897810,3880278,MAR
2022-08-25,4858383,5909244,3894284,MAR
2022-08-26,4862392,5958445,3894284,MAR
2022-08-27,4862392,5958445,3894284,MAR
2022-08-28,4862392,5958445,3894284,MAR
2022-08-29,4862392,5958445,3894284,MAR
2022-08-30,4866166,5958445,3894284,MAR
2022-08-31,4846166,5853258,3864852,MAR
2022-09-01,4850484,5851114,3869857,MAR
2022-09-02,4850484,5851114,3869857,MAR
2022-09-03,4850484,5851114,3869857,MAR
2022-09-04,4850484,5854038,3872234,MAR
2022-09-05,4861663,5867447,3874044,MAR
2022-09-06,4863761,5867447,3874044,MAR
2022-09-07,4863761,5867447,3874044,MAR
2022-09-08,4867514,5910496,3874044,MAR
2022-09-09,4867514,5910496,3874044,MAR
2022-09-10,4867514,5910496,3874044,MAR
2022-09-11,4870072,5910496,3874472,MAR
2022-09-12,4870140,5910496,3874472,MAR
2022-09-13,4870140,5910496,3874472,MAR
2022-09-14,4872964,5910496,3873281,MAR
2022-09-15,4878627,5910496,3874682,MAR
2022-09-16,4878398,5910496,3874682,MAR
2022-09-17,4878627,5910496,3874682,MAR
2022-09-18,4878627,5910496,3874682,MAR
2022-09-19,4878398,5910496,3873712,MAR
2022-09-20,4878398,5910496,3873712,MAR
2022-09-21,4878282,5915920,3873482,MAR
2022-09-22,4878282,5915920,3873482,MAR
2022-09-23,4878282,5915920,3873482,MAR
2022-09-24,4878282,5915920,3873482,MAR
2022-09-25,4878282,5915920,3873482,MAR
2022-09-26,4878282,5915920,3873482,MAR
2022-09-27,4878282,5915920,3873482,MAR
2022-09-28,4878282,5915920,3873482,MAR
2022-09-29,4878282,5915920,3873482,MAR
2022-09-30,4873424,5915459,3872825,MAR
2022-10-01,4868208,5913536,3863931,MAR
2022-10-02,4868208,5913536,3863931,MAR
2022-10-03,4868208,5913536,3863931,MAR
2022-10-04,4868208,5913536,3863931,MAR
2022-10-05,4868208,5913536,3863931,MAR
2022-10-06,4874221,5909690,3865011,MAR
2022-10-07,4874221,5909690,3865011,MAR
2022-10-08,4874221,5909690,3865011,MAR
2022-10-09,4874221,5909690,3865011,MAR
2022-10-10,4874221,5909690,3865011,MAR
2022-10-11,4865042,5910638,3852748,MAR
2022-10-12,4865042,5910638,3852748,MAR
2022-10-13,4865042,5910638,3852748,MAR
2022-10-14,4865042,5912044,3852748,MAR
2022-10-15,4872364,5911318,3871488,MAR
2022-10-16,4872364,5909912,3871488,MAR
2022-10-17,4872364,5909912,3871488,MAR
2022-10-18,4872364,5909912,3871488,MAR
2022-10-19,4872364,5911318,3871488,MAR
2022-10-20,4872886,5911318,3871488,MAR
2022-10-21,4870506,5918166,3866571,MAR
2022-10-22,4861643,5924984,3855895,MAR
2022-10-23,4861643,5924984,3855895,MAR
2022-10-24,4861643,5924984,3855895,MAR
2022-10-25,4861643,5924984,3855895,MAR
2022-10-26,4861643,5924984,3855895,MAR
2022-10-27,4861643,5924984,3855895,MAR
2022-10-28,4859832,5922789,3855943,MAR
2022-10-29,4859832,5922789,3855943,MAR
2022-10-30,4859832,5922789,3855943,MAR
2022-10-31,4859832,5922789,3855943,MAR
2022-11-01,4859674,5914923,3855179,MAR
2022-11-02,4859674,5914923,3855179,MAR
2022-11-03,4859674,5914923,3855179,MAR
2022-11-04,4859674,5914923,3855179,MAR
2022-11-05,4859674,5914923,3855179,MAR
2022-11-06,4859674,5914923,3855179,MAR
2022-11-07,4859192,5914923,3854580,MAR
2022-11-08,4859192,5914923,3854580,MAR
2022-11-09,4859192,5914923,3854580,MAR
2022-11-10,4851123,5914249,3858753,MAR
2022-11-11,4853956,5914249,3859112,MAR
2022-11-12,4864023,5918125,3861078,MAR
