date,value,value_high,value_low,iso_code
2022-07-16,260500,322416,219903,MDA
2022-07-17,260500,322416,219903,MDA
2022-07-18,260500,322416,219903,MDA
2022-07-19,260500,322416,219903,MDA
2022-07-20,260500,322416,219903,MDA
2022-07-21,261364,327556,222010,MDA
2022-07-22,260742,323053,220642,MDA
2022-07-23,260742,323053,220642,MDA
2022-07-24,260742,323053,220642,MDA
2022-07-25,260742,323053,220642,MDA
2022-07-26,260742,323053,220642,MDA
2022-07-27,260742,323053,220642,MDA
2022-07-28,260742,323053,220642,MDA
2022-07-29,260742,323053,220642,MDA
2022-07-30,260742,323053,220642,MDA
2022-07-31,260742,323043,220642,MDA
2022-08-01,297490,372055,255815,MDA
2022-08-02,297490,372055,255815,MDA
2022-08-03,297490,372055,255815,MDA
2022-08-04,297490,372055,255815,MDA
2022-08-05,297490,372055,255815,MDA
2022-08-06,297286,372055,255815,MDA
2022-08-07,297286,372055,255815,MDA
2022-08-08,297286,372055,255815,MDA
2022-08-09,296612,372030,255936,MDA
2022-08-10,296612,371908,255936,MDA
2022-08-11,296438,370692,255430,MDA
2022-08-12,296438,370692,255430,MDA
2022-08-13,296438,370692,255430,MDA
2022-08-14,296438,372263,255430,MDA
2022-08-15,296426,372263,255430,MDA
2022-08-16,296426,372263,255430,MDA
2022-08-17,296260,371241,255430,MDA
2022-08-18,296260,371241,255430,MDA
2022-08-19,296260,371241,255430,MDA
2022-08-20,296260,371241,255430,MDA
2022-08-21,296295,365357,255514,MDA
2022-08-22,296103,365118,255514,MDA
2022-08-23,296103,365118,255514,MDA
2022-08-24,296103,365118,255514,MDA
2022-08-25,296103,365118,255514,MDA
2022-08-26,296103,365118,255514,MDA
2022-08-27,296103,365118,255514,MDA
2022-08-28,296069,365118,255514,MDA
2022-08-29,296069,365118,255514,MDA
2022-08-30,295604,365118,255514,MDA
2022-08-31,295604,365118,255514,MDA
2022-09-01,295666,365748,255658,MDA
2022-09-02,295666,365748,255658,MDA
2022-09-03,295666,365748,255349,MDA
2022-09-04,294547,365748,255376,MDA
2022-09-05,293843,365748,255376,MDA
2022-09-06,293843,365748,255376,MDA
2022-09-07,293843,365748,255376,MDA
2022-09-08,293843,365748,255376,MDA
2022-09-09,293843,365748,255376,MDA
2022-09-10,293843,365748,255376,MDA
2022-09-11,294028,366698,255526,MDA
2022-09-12,294028,366698,255526,MDA
2022-09-13,294028,366698,255526,MDA
2022-09-14,294028,366698,255526,MDA
2022-09-15,294028,366698,255526,MDA
2022-09-16,294028,366698,255526,MDA
2022-09-17,294028,366698,255526,MDA
2022-09-18,294028,366698,255526,MDA
2022-09-19,295251,366791,255918,MDA
2022-09-20,296001,366791,255918,MDA
2022-09-21,295807,367374,256131,MDA
2022-09-22,295975,367464,256131,MDA
2022-09-23,295807,367374,256131,MDA
2022-09-24,295975,367464,256131,MDA
2022-09-25,295958,370467,256131,MDA
2022-09-26,295958,370467,256293,MDA
2022-09-27,295958,370467,256293,MDA
2022-09-28,295958,370467,256293,MDA
2022-09-29,295958,370467,256293,MDA
2022-09-30,295958,370467,256293,MDA
2022-10-01,296156,371958,256090,MDA
2022-10-02,296156,371958,256090,MDA
2022-10-03,296156,371958,256090,MDA
2022-10-04,296344,371958,256091,MDA
2022-10-05,295442,371958,256091,MDA
2022-10-06,296761,369266,256822,MDA
2022-10-07,296761,369266,256822,MDA
2022-10-08,296761,369266,256822,MDA
2022-10-09,296784,369358,257914,MDA
2022-10-10,296836,369358,257914,MDA
2022-10-11,297589,369773,257226,MDA
2022-10-12,293681,359399,249302,MDA
2022-10-13,293681,359399,249302,MDA
2022-10-14,293681,359399,249302,MDA
2022-10-15,294704,361175,249942,MDA
2022-10-16,294225,357461,249942,MDA
