date,value,value_high,value_low,iso_code
2022-08-23,14164814,17073646,11784098,MMR
2022-08-24,14430064,17401012,12012544,MMR
2022-08-25,14424698,17437428,11998860,MMR
2022-08-26,14453943,17423012,12023056,MMR
2022-08-27,14455235,17398411,12012074,MMR
2022-08-28,14468809,17493653,12029227,MMR
2022-08-29,14497034,17493653,12028752,MMR
2022-08-30,14459849,17488868,12000778,MMR
2022-08-31,14375689,17345634,11930147,MMR
2022-09-01,14340279,17390434,11957784,MMR
2022-09-02,14337390,17353476,11950816,MMR
2022-09-03,14333785,17344837,11945580,MMR
2022-09-04,14324970,17337146,11936376,MMR
2022-09-05,14317453,17329102,11936376,MMR
2022-09-06,14319194,17323385,11936962,MMR
2022-09-07,14308170,17301791,11933216,MMR
2022-09-08,14319026,17320161,11934810,MMR
2022-09-09,14319026,17320161,11933813,MMR
2022-09-10,14319026,17320161,11933813,MMR
2022-09-11,14295690,17299740,11885254,MMR
2022-09-12,14295690,17305686,11891862,MMR
2022-09-13,14306370,17316045,11902184,MMR
2022-09-14,14283754,17291982,11888392,MMR
2022-09-15,14283168,17290945,11892368,MMR
2022-09-16,14252731,17251283,11877278,MMR
2022-09-17,14256713,17211148,11879130,MMR
2022-09-18,14249272,17249225,11884147,MMR
2022-09-19,14066442,17145386,11618745,MMR
2022-09-20,14176521,17204064,11663029,MMR
2022-09-21,14154714,17204670,11640862,MMR
2022-09-22,14142287,17177385,11605073,MMR
2022-09-23,14148945,17211551,11613649,MMR
2022-09-24,14147364,17212897,11615115,MMR
2022-09-25,14250363,17352488,11691995,MMR
2022-09-26,14241231,17348340,11691366,MMR
2022-09-27,14234657,17348340,11692875,MMR
2022-09-28,14227529,17344400,11692875,MMR
2022-09-29,14341935,17551446,11799572,MMR
2022-09-30,14254879,17523984,11697710,MMR
2022-10-01,14344525,17533886,11808659,MMR
2022-10-02,14299275,17505935,11703533,MMR
2022-10-03,14299275,17505935,11703533,MMR
2022-10-04,14288288,17521231,11703533,MMR
2022-10-05,14279054,17498457,11703533,MMR
2022-10-06,14275586,17491983,11676975,MMR
2022-10-07,14207164,17415236,11623565,MMR
2022-10-08,14204328,17410314,11623012,MMR
2022-10-09,14208096,17421733,11622232,MMR
2022-10-10,14196655,17422594,11628284,MMR
2022-10-11,14131434,17198308,11496931,MMR
2022-10-12,14130520,17183584,11497830,MMR
2022-10-13,14258145,17298551,11587220,MMR
2022-10-14,14244227,17289315,11582584,MMR
2022-10-15,14112795,17217295,11410835,MMR
2022-10-16,14083755,17173024,11383182,MMR
2022-10-17,14069048,17166985,11380288,MMR
2022-10-18,14068081,17166985,11380288,MMR
2022-10-19,14187189,17326264,11503036,MMR
2022-10-20,14091798,17221312,11464820,MMR
2022-10-21,14056910,17229576,11404757,MMR
2022-10-22,14012744,17171628,11357827,MMR
2022-10-23,13995408,17166652,11342149,MMR
2022-10-24,13924068,17117986,11256451,MMR
2022-10-25,14068042,17204513,11382559,MMR
2022-10-26,14083195,17252049,11409660,MMR
2022-10-27,14140037,17308325,11454849,MMR
2022-10-28,14142934,17252372,11408557,MMR
2022-10-29,14090020,17206476,11367402,MMR
2022-10-30,14074513,17197006,11360933,MMR
2022-10-31,14080368,17195896,11358920,MMR
2022-11-01,13491275,16618794,10768330,MMR
2022-11-02,15762515,18925508,12364796,MMR
2022-11-03,15357337,18609242,12013521,MMR
2022-11-04,15372509,18614901,12013521,MMR
2022-11-05,15399943,18618996,12010382,MMR
2022-11-06,15754489,18924479,12384219,MMR
2022-11-07,15750441,18924479,12352622,MMR
2022-11-08,15761840,18943673,12363709,MMR
2022-11-09,15751282,18873615,12362904,MMR
2022-11-10,15681590,18839579,12328109,MMR
2022-11-11,15734780,18933950,12369977,MMR
2022-11-12,15570833,18799322,12252495,MMR
2022-11-13,15532114,18792438,12248269,MMR
2022-11-14,15397446,18657122,12189795,MMR
2022-11-15,15411369,18677002,12204733,MMR
2022-11-16,15485936,18658660,12248554,MMR
2022-11-17,15497808,18660339,12248554,MMR
2022-11-18,15449865,18644074,12221756,MMR
2022-11-19,15415932,18638004,12221756,MMR
2022-11-20,15381335,18599003,12201332,MMR
2022-11-21,15420030,18599909,12232570,MMR
2022-11-22,15411602,18598859,12232570,MMR
2022-11-23,15407875,18598026,12230572,MMR
